codec,method_a,method_b,pairwise_rate_match,ppl_delta_a,ppl_delta_b,rate_a,rate_b,relative_rate_gap,run,winner
entropy_lower_bound,Q,Q+L,False,-0.09963767431405302,-0.5369728417740305,0.25027901785714285,0.25809151785714285,0.03027027027027027,Qwen2-7B attention,Q+L
csr16,Q,Q+L,False,-0.09963767431405302,-0.5369728417740305,0.25027901785714285,0.25809151785714285,0.03027027027027027,Qwen2-7B attention,Q+L
entropy_lower_bound,Q,Q+S,False,-0.09963767431405302,0.4432840590583851,0.25027901785714285,0.262480268673021,0.04648444958381835,Qwen2-7B attention,Q
csr16,Q,Q+S,False,-0.09963767431405302,0.4432840590583851,0.25027901785714285,0.2668371395188935,0.0620532872283254,Qwen2-7B attention,Q
entropy_lower_bound,Q,Q+S+L,False,-0.09963767431405302,0.16522966793337446,0.25027901785714285,0.26126023701259066,0.04203172775548925,Qwen2-7B attention,Q
csr16,Q,Q+S+L,False,-0.09963767431405302,0.16522966793337446,0.25027901785714285,0.2645112641003667,0.05380582294530762,Qwen2-7B attention,Q
entropy_lower_bound,Q+L,Q+S,False,-0.5369728417740305,0.4432840590583851,0.25809151785714285,0.262480268673021,0.016720307541841666,Qwen2-7B attention,Q+L
csr16,Q+L,Q+S,False,-0.5369728417740305,0.4432840590583851,0.25809151785714285,0.2668371395188935,0.03277512897012374,Qwen2-7B attention,Q+L
entropy_lower_bound,Q+L,Q+S+L,False,-0.5369728417740305,0.16522966793337446,0.25809151785714285,0.26126023701259066,0.012128593281859041,Qwen2-7B attention,Q+L
csr16,Q+L,Q+S+L,False,-0.5369728417740305,0.16522966793337446,0.25809151785714285,0.2645112641003667,0.02427021875630942,Qwen2-7B attention,Q+L
entropy_lower_bound,Q+S,Q+S+L,True,0.4432840590583851,0.16522966793337446,0.262480268673021,0.26126023701259066,0.004648089041504904,Qwen2-7B attention,Q+S+L
csr16,Q+S,Q+S+L,True,0.4432840590583851,0.16522966793337446,0.2668371395188935,0.2645112641003667,0.008716460619838556,Qwen2-7B attention,Q+S+L
entropy_lower_bound,Q,Q+L,False,0.3841422705710613,0.02877572990599475,0.2501756779100529,0.25812596450617287,0.03080002668979794,Qwen2-7B attn+MLP,Q+L
csr16,Q,Q+L,False,0.3841422705710613,0.02877572990599475,0.2501756779100529,0.25812596450617287,0.03080002668979794,Qwen2-7B attn+MLP,Q+L
entropy_lower_bound,Q,Q+S,False,0.3841422705710613,-0.27604240885189313,0.2501756779100529,0.26237700056987673,0.046503019065401434,Qwen2-7B attn+MLP,Q+S
csr16,Q,Q+S,False,0.3841422705710613,-0.27604240885189313,0.2501756779100529,0.2665270581657504,0.06134979453203861,Qwen2-7B attn+MLP,Q+S
entropy_lower_bound,Q,Q+S+L,False,0.3841422705710613,-0.2806887125768398,0.2501756779100529,0.26144629853532847,0.04310874045039347,Qwen2-7B attn+MLP,Q+S+L
csr16,Q,Q+S+L,False,0.3841422705710613,-0.2806887125768398,0.2501756779100529,0.2644905076876309,0.05412228175116252,Qwen2-7B attn+MLP,Q+S+L
entropy_lower_bound,Q+L,Q+S,False,0.02877572990599475,-0.27604240885189313,0.25812596450617287,0.26237700056987673,0.016202014865901775,Qwen2-7B attn+MLP,Q+S
csr16,Q+L,Q+S,False,0.02877572990599475,-0.27604240885189313,0.25812596450617287,0.2665270581657504,0.031520603264052004,Qwen2-7B attn+MLP,Q+S
entropy_lower_bound,Q+L,Q+S+L,False,0.02877572990599475,-0.2806887125768398,0.25812596450617287,0.26144629853532847,0.012699870098589045,Qwen2-7B attn+MLP,Q+S+L
csr16,Q+L,Q+S+L,False,0.02877572990599475,-0.2806887125768398,0.25812596450617287,0.2644905076876309,0.02406340869130427,Qwen2-7B attn+MLP,Q+S+L
entropy_lower_bound,Q+S,Q+S+L,True,-0.27604240885189313,-0.2806887125768398,0.26237700056987673,0.26144629853532847,0.003547193666086568,Qwen2-7B attn+MLP,Q+S+L
csr16,Q+S,Q+S+L,True,-0.27604240885189313,-0.2806887125768398,0.2665270581657504,0.2644905076876309,0.007641064633869199,Qwen2-7B attn+MLP,Q+S+L
