best_single_method,method,nominal_ratio,ppl,ppl_delta,qsl_gain_vs_best_single,rank_within_core,run,strategy
Q+S,Q,0.25,118.990225470425,5.523184964497091,-12.676713075315021,2,Pythia-70M,residual_q_only
Q+S,Q+L,0.257421875,123.53810292306322,10.071062417135309,-12.676713075315021,3,Pythia-70M,residual_q_l_same_budget
Q+S,Q+S,0.2579994201660156,118.98258847124357,5.515547965315662,-12.676713075315021,1,Pythia-70M,residual_q_s_same_budget
Q+S,Q+S+L,0.25708694458007814,131.6593015465586,18.192261040630683,-12.676713075315021,4,Pythia-70M,residual_q_s_l_same_budget
Q,Q,0.25,79.00524345630262,0.19559777345888563,0.9434424800249417,2,Pythia-160M,residual_q_only
Q,Q+L,0.25677083333333334,79.51208223111587,0.7024365482721322,0.9434424800249417,4,Pythia-160M,residual_q_l_same_budget
Q,Q+S,0.25799967447916666,79.19331827048444,0.383672587640703,0.9434424800249417,3,Pythia-160M,residual_q_s_same_budget
Q,Q+S+L,0.25724538167317706,78.06180097627768,-0.7478447065660561,0.9434424800249417,1,Pythia-160M,residual_q_s_l_same_budget
Q+L,Q,0.25,67.01586700727418,-0.09963767431405302,-0.7022025097074049,2,Qwen2-7B attention-only,residual_q_only
Q+L,Q+L,0.2578125,66.5785318398142,-0.5369728417740305,-0.7022025097074049,1,Qwen2-7B attention-only,residual_q_l_same_budget
Q+L,Q+S,0.25799996512276785,67.55878874064662,0.4432840590583851,-0.7022025097074049,4,Qwen2-7B attention-only,residual_q_s_same_budget
Q+L,Q+S+L,0.25767408098493305,67.28073434952161,0.16522966793337446,-0.7022025097074049,3,Qwen2-7B attention-only,residual_q_s_l_same_budget
Q+S,Q,0.25,45.960052470401905,0.3841422705710613,0.0046463037249466765,4,Qwen2-7B attn+MLP,residual_q_only
Q+S,Q+L,0.2579502865961199,45.60468592973684,0.02877572990599475,0.0046463037249466765,3,Qwen2-7B attn+MLP,residual_q_l_same_budget
Q+S,Q+S,0.2579999920342124,45.29986779097895,-0.27604240885189313,0.0046463037249466765,2,Qwen2-7B attn+MLP,residual_q_s_same_budget
Q+S,Q+S+L,0.25796344629250717,45.295221487254004,-0.2806887125768398,0.0046463037249466765,1,Qwen2-7B attn+MLP,residual_q_s_l_same_budget
