activation_rows,input_dim,layer,layer_short,mean_diag,trace
512,8960,model.layers.0.mlp.down_proj,L0:down_proj,0.012497280724346638,111.97563934326172
512,1536,model.layers.0.mlp.up_proj,L0:up_proj,0.1052420511841774,161.6518096923828
512,1536,model.layers.0.self_attn.o_proj,L0:o_proj,0.0960407555103302,147.5186004638672
512,1536,model.layers.0.self_attn.q_proj,L0:q_proj,0.31814852356910706,488.6761169433594
512,8960,model.layers.14.mlp.down_proj,L14:down_proj,0.01998320035636425,179.04946899414062
512,1536,model.layers.14.mlp.up_proj,L14:up_proj,0.2690240442752838,413.220947265625
512,1536,model.layers.14.self_attn.o_proj,L14:o_proj,0.09410357475280762,144.5430908203125
512,1536,model.layers.14.self_attn.q_proj,L14:q_proj,0.8420754075050354,1293.4278564453125
512,8960,model.layers.27.mlp.down_proj,L27:down_proj,2.4572975635528564,22017.384765625
512,1536,model.layers.27.mlp.up_proj,L27:up_proj,1.4634455442428589,2247.8525390625
512,1536,model.layers.27.self_attn.o_proj,L27:o_proj,0.9918933510780334,1523.5482177734375
512,1536,model.layers.27.self_attn.q_proj,L27:q_proj,1.0704209804534912,1644.1666259765625
