accuracy,compression_ratio_target,examples,residual_fraction,stage,status,task
0.1875,4.0,16,0.04,o_proj,ok,hellaswag
0.5625,4.0,16,0.04,qkv_proj,ok,piqa
0.1875,4.0,16,0.04,qkv_proj,ok,arc_easy
0.25,4.0,16,0.04,qkv_proj,ok,hellaswag
0.625,8.0,16,0.0,down_proj,ok,piqa
0.3125,8.0,16,0.0,down_proj,ok,arc_easy
0.3125,8.0,16,0.0,down_proj,ok,hellaswag
0.625,8.0,16,0.0,up_gate_proj,ok,piqa
0.3125,8.0,16,0.0,up_gate_proj,ok,arc_easy
0.1875,8.0,16,0.0,up_gate_proj,ok,hellaswag
0.4375,8.0,16,0.0,o_proj,ok,piqa
0.4375,8.0,16,0.0,o_proj,ok,arc_easy
0.375,8.0,16,0.0,o_proj,ok,hellaswag
0.25,8.0,16,0.0,qkv_proj,ok,piqa
0.3125,8.0,16,0.0,qkv_proj,ok,arc_easy
0.4375,8.0,16,0.0,qkv_proj,ok,hellaswag
0.625,8.0,16,0.01,down_proj,ok,piqa
0.25,8.0,16,0.01,down_proj,ok,arc_easy
0.1875,8.0,16,0.01,down_proj,ok,hellaswag
0.75,8.0,16,0.01,up_gate_proj,ok,piqa
0.375,8.0,16,0.01,up_gate_proj,ok,arc_easy
0.1875,8.0,16,0.01,up_gate_proj,ok,hellaswag
0.375,8.0,16,0.01,o_proj,ok,piqa
0.3125,8.0,16,0.01,o_proj,ok,arc_easy
0.375,8.0,16,0.01,o_proj,ok,hellaswag
0.25,8.0,16,0.01,qkv_proj,ok,piqa
0.25,8.0,16,0.01,qkv_proj,ok,arc_easy
0.25,8.0,16,0.01,qkv_proj,ok,hellaswag
0.75,8.0,16,0.02,down_proj,ok,piqa
0.125,8.0,16,0.02,down_proj,ok,arc_easy
0.125,8.0,16,0.02,down_proj,ok,hellaswag
0.75,8.0,16,0.02,up_gate_proj,ok,piqa
0.375,8.0,16,0.02,up_gate_proj,ok,arc_easy
0.1875,8.0,16,0.02,up_gate_proj,ok,hellaswag
0.375,8.0,16,0.02,o_proj,ok,piqa
0.125,8.0,16,0.02,o_proj,ok,arc_easy
0.1875,8.0,16,0.02,o_proj,ok,hellaswag
0.375,8.0,16,0.02,qkv_proj,ok,piqa
0.125,8.0,16,0.02,qkv_proj,ok,arc_easy
0.1875,8.0,16,0.02,qkv_proj,ok,hellaswag
0.625,8.0,16,0.04,down_proj,ok,piqa
0.1875,8.0,16,0.04,down_proj,ok,arc_easy
0.1875,8.0,16,0.04,down_proj,ok,hellaswag
0.75,8.0,16,0.04,up_gate_proj,ok,piqa
0.3125,8.0,16,0.04,up_gate_proj,ok,arc_easy
0.1875,8.0,16,0.04,up_gate_proj,ok,hellaswag
0.4375,8.0,16,0.04,o_proj,ok,piqa
0.3125,8.0,16,0.04,o_proj,ok,arc_easy
0.375,8.0,16,0.04,o_proj,ok,hellaswag
0.4375,8.0,16,0.04,qkv_proj,ok,piqa
0.3125,8.0,16,0.04,qkv_proj,ok,arc_easy
0.1875,8.0,16,0.04,qkv_proj,ok,hellaswag
0.625,16.0,16,0.0,down_proj,ok,piqa
0.3125,16.0,16,0.0,down_proj,ok,arc_easy
0.25,16.0,16,0.0,down_proj,ok,hellaswag
0.6875,16.0,16,0.0,up_gate_proj,ok,piqa
0.375,16.0,16,0.0,up_gate_proj,ok,arc_easy
0.25,16.0,16,0.0,up_gate_proj,ok,hellaswag
0.375,16.0,16,0.0,o_proj,ok,piqa
0.375,16.0,16,0.0,o_proj,ok,arc_easy
0.4375,16.0,16,0.0,o_proj,ok,hellaswag
0.4375,16.0,16,0.0,qkv_proj,ok,piqa
0.25,16.0,16,0.0,qkv_proj,ok,arc_easy
0.3125,16.0,16,0.0,qkv_proj,ok,hellaswag
0.625,16.0,16,0.01,down_proj,ok,piqa
0.1875,16.0,16,0.01,down_proj,ok,arc_easy
0.3125,16.0,16,0.01,down_proj,ok,hellaswag
0.6875,16.0,16,0.01,up_gate_proj,ok,piqa
0.375,16.0,16,0.01,up_gate_proj,ok,arc_easy
0.3125,16.0,16,0.01,up_gate_proj,ok,hellaswag
0.5,16.0,16,0.01,o_proj,ok,piqa
0.375,16.0,16,0.01,o_proj,ok,arc_easy
0.3125,16.0,16,0.01,o_proj,ok,hellaswag
0.375,16.0,16,0.01,qkv_proj,ok,piqa
0.375,16.0,16,0.01,qkv_proj,ok,arc_easy
0.25,16.0,16,0.01,qkv_proj,ok,hellaswag
0.5625,16.0,16,0.02,down_proj,ok,piqa
0.25,16.0,16,0.02,down_proj,ok,arc_easy
0.1875,16.0,16,0.02,down_proj,ok,hellaswag
0.75,16.0,16,0.02,up_gate_proj,ok,piqa
0.375,16.0,16,0.02,up_gate_proj,ok,arc_easy
0.1875,16.0,16,0.02,up_gate_proj,ok,hellaswag
0.375,16.0,16,0.02,o_proj,ok,piqa
0.1875,16.0,16,0.02,o_proj,ok,arc_easy
0.25,16.0,16,0.02,o_proj,ok,hellaswag
0.5625,16.0,16,0.02,qkv_proj,ok,piqa
0.25,16.0,16,0.02,qkv_proj,ok,arc_easy
0.4375,16.0,16,0.02,qkv_proj,ok,hellaswag
0.5,16.0,16,0.04,down_proj,ok,piqa
0.25,16.0,16,0.04,down_proj,ok,arc_easy
0.1875,16.0,16,0.04,down_proj,ok,hellaswag
0.75,16.0,16,0.04,up_gate_proj,ok,piqa
0.5,16.0,16,0.04,up_gate_proj,ok,arc_easy
0.1875,16.0,16,0.04,up_gate_proj,ok,hellaswag
0.4375,16.0,16,0.04,o_proj,ok,piqa
0.4375,16.0,16,0.04,o_proj,ok,arc_easy
0.4375,16.0,16,0.04,o_proj,ok,hellaswag
0.375,16.0,16,0.04,qkv_proj,ok,piqa
0.3125,16.0,16,0.04,qkv_proj,ok,arc_easy
0.375,16.0,16,0.04,qkv_proj,ok,hellaswag
