compression_ratio_target,effective_replaced_compression,modules_replaced,nll,params_original_replaced,params_residual_replaced,params_structured_replaced,perplexity,residual_fraction,stage,tokens
8.0,7.450110864745011,down_proj,10.975894837867557,385351680,3820544,47903744,58448.12208820907,0.01,down_proj,4064
8.0,7.450110864745011,"down_proj,gate_proj,up_proj",10.328343158631814,1156055040,11461632,143711232,30587.391441511765,0.01,up_gate_proj,4064
8.0,7.450445726271631,"down_proj,gate_proj,up_proj,o_proj",16.85236079298605,1222115328,12063744,151968768,20839500.223959774,0.01,o_proj,4064
8.0,7.452662480632798,"down_proj,gate_proj,up_proj,o_proj,k_proj,q_proj,v_proj",14.508914587065929,1310195712,12866560,162935808,2000513.7630602412,0.01,qkv_proj,4064
8.0,6.937669376693767,down_proj,10.651199791375108,385351680,7641088,47903744,42243.247240118246,0.02,down_proj,4064
8.0,6.937669376693767,"down_proj,gate_proj,up_proj",10.33316652793584,1156055040,22923264,143711232,30735.282105403676,0.02,up_gate_proj,4064
8.0,6.93665324057122,"down_proj,gate_proj,up_proj,o_proj",16.42678247286579,1222115328,24213504,151968768,13616358.691972379,0.02,o_proj,4064
8.0,6.9380907193015755,"down_proj,gate_proj,up_proj,o_proj,k_proj,q_proj,v_proj",14.507251619354008,1310195712,25905152,162935808,1997189.7379043114,0.02,qkv_proj,4064
8.0,6.098695405558707,down_proj,10.754572169987236,385351680,15282176,47903744,46843.717008062864,0.04,down_proj,4064
8.0,6.098695405558707,"down_proj,gate_proj,up_proj",10.389660121887689,1156055040,45846528,143711232,32521.61167344313,0.04,up_gate_proj,4064
8.0,6.098508423650606,"down_proj,gate_proj,up_proj,o_proj",16.458847886934056,1222115328,48427008,151968768,14060048.402860228,0.04,o_proj,4064
8.0,6.101138222237057,"down_proj,gate_proj,up_proj,o_proj,k_proj,q_proj,v_proj",15.144507731039694,1310195712,51810304,162935808,3777253.556046872,0.04,qkv_proj,4064
16.0,16.187895212285458,down_proj,11.215779792605423,385351680,0,23804928,74293.57792669811,0.0,down_proj,4064
16.0,16.187895212285458,"down_proj,gate_proj,up_proj",10.656513244148314,1156055040,0,71414784,42468.30211905732,0.0,up_gate_proj,4064
16.0,16.177625960717336,"down_proj,gate_proj,up_proj,o_proj",17.78695675707239,1222115328,0,75543552,53061212.455998026,0.0,o_proj,4064
16.0,16.179870762149243,"down_proj,gate_proj,up_proj,o_proj,k_proj,q_proj,v_proj",17.88782561294676,1310195712,0,80976896,58692682.21848328,0.0,qkv_proj,4064
16.0,13.949143746756617,down_proj,11.555366756409173,385351680,3820544,23804928,104335.48007165595,0.01,down_proj,4064
16.0,13.949143746756617,"down_proj,gate_proj,up_proj",10.456954926017701,1156055040,11461632,71414784,34785.46569286896,0.01,up_gate_proj,4064
16.0,13.949926362297496,"down_proj,gate_proj,up_proj,o_proj",18.930886095903052,1222115328,12063744,75543552,166563320.08558178,0.01,o_proj,4064
16.0,13.961503208065995,"down_proj,gate_proj,up_proj,o_proj,k_proj,q_proj,v_proj",19.08555338701864,1310195712,12866560,80976896,194424289.27553153,0.01,qkv_proj,4064
16.0,12.254387964440392,down_proj,11.011119271826557,385351680,7641088,23804928,60543.61369509459,0.02,down_proj,4064
16.0,12.254387964440392,"down_proj,gate_proj,up_proj",10.488403951089213,1156055040,22923264,71414784,35896.81856137806,0.02,up_gate_proj,4064
16.0,12.25091614572106,"down_proj,gate_proj,up_proj,o_proj",18.962772159125862,1222115328,24213504,75543552,171959950.05138913,0.02,o_proj,4064
16.0,12.258332774461806,"down_proj,gate_proj,up_proj,o_proj,k_proj,q_proj,v_proj",18.61609962042861,1310195712,25905152,80976896,121582015.8305896,0.02,qkv_proj,4064
16.0,9.858793324775354,down_proj,10.700833808718704,385351680,15282176,23804928,44392.85485223281,0.04,down_proj,4064
16.0,9.858793324775354,"down_proj,gate_proj,up_proj",10.41089786319282,1156055040,45846528,71414784,33219.683747953626,0.04,up_gate_proj,4064
16.0,9.858109280138768,"down_proj,gate_proj,up_proj,o_proj",17.35588902751292,1222115328,48427008,75543552,34479966.33902515,0.04,o_proj,4064
16.0,9.866882591093118,"down_proj,gate_proj,up_proj,o_proj,k_proj,q_proj,v_proj",17.514073199174536,1310195712,51810304,80976896,40389208.8336841,0.04,qkv_proj,4064
