layer,layer_short,selected_order,selected_predicted_hessian_cost,selected_q_method,selected_r_method,selected_s_method
gpt_neox.layers.0.attention.dense,L0:dense,rqs,0.42481064796447754,rtn,whitened_svd,wanda
gpt_neox.layers.0.attention.query_key_value,L0:query_key_value,rqs,51.33013153076172,rtn,whitened_svd,wanda
gpt_neox.layers.0.mlp.dense_4h_to_h,L0:dense_4h_to_h,rqs,0.8192980289459229,rtn,whitened_svd,magnitude
gpt_neox.layers.0.mlp.dense_h_to_4h,L0:dense_h_to_4h,rsq,31.123443603515625,rtn,whitened_svd,wanda
gpt_neox.layers.3.attention.dense,L3:dense,rqs,2.309020519256592,rtn,whitened_svd,magnitude
gpt_neox.layers.3.attention.query_key_value,L3:query_key_value,rqs,660.537353515625,rtn,whitened_svd,wanda
gpt_neox.layers.3.mlp.dense_4h_to_h,L3:dense_4h_to_h,rqs,7.989687919616699,rtn,whitened_svd,magnitude
gpt_neox.layers.3.mlp.dense_h_to_4h,L3:dense_h_to_4h,rsq,58.95915222167969,rtn,whitened_svd,wanda
gpt_neox.layers.5.attention.dense,L5:dense,rsq,2.444986581802368,rtn,whitened_svd,wanda
gpt_neox.layers.5.attention.query_key_value,L5:query_key_value,rqs,52683.9765625,rtn,whitened_svd,wanda
gpt_neox.layers.5.mlp.dense_4h_to_h,L5:dense_4h_to_h,rsq,119.76210021972656,rtn,whitened_svd,wanda
gpt_neox.layers.5.mlp.dense_h_to_4h,L5:dense_h_to_4h,rsq,85.44190216064453,rtn,whitened_svd,wanda
