family,n,spearman_rho,x,y
additivity,12,-0.3076923076923077,abs_rho_h,abs_additivity_error
additivity_signed,12,-0.06293706293706294,rho_h,additivity_error
real_ppl,12,-0.09090909090909091,abs_rho_h,ppl_degradation_pair
real_zero_shot,0,nan,abs_rho_h,zero_shot_accuracy_degradation_pair
taylor,12,0.32867132867132864,taylor_predicted_loss_delta,loss_degradation_pair
frobenius_baseline,12,0.006993006993006993,frobenius_delta_sum,loss_degradation_pair
parameter_cosine_baseline,12,-0.5454545454545454,abs_parameter_cosine,abs_additivity_error
activation_reconstruction_baseline,12,0.32867132867132864,activation_reconstruction_sum,loss_degradation_pair
trace_only_baseline,12,-0.04895104895104895,trace_only_cost,loss_degradation_pair
order_gap,8,-0.4523809523809524,max_abs_conditional_hessian_overlap,abs_loss_gap
order_gap_r_first_overlap,8,-0.19047619047619047,abs_r_first_conditional_hessian_overlap,abs_loss_gap
order_gap_non_r_first_overlap,8,-0.30952380952380953,abs_non_r_first_conditional_hessian_overlap,abs_loss_gap
spectrum_order_entropy,8,0.23809523809523808,abs_first_spectral_entropy_delta,abs_loss_gap
spectrum_order_top1,8,-0.6190476190476191,abs_first_top1_energy_delta,abs_loss_gap
spectrum_order_stable_rank,8,0.23809523809523808,abs_first_stable_rank_delta,abs_loss_gap
order_disagreement,8,0.40476190476190477,final_weight_disagreement,abs_loss_gap
