benchmark_drop_fraction,benchmark_drop_percent,benchmark_metric_effective,benchmark_metric_requested,candidate_index,factorized_rank_memory_ratio,family,loss_degradation,lossless_pass,lossless_threshold_percent,nll,nominal_bits,nominal_keep_fraction,nominal_memory_ratio,nominal_memory_saving,nominal_rank_fraction,order,perplexity,ppl_degradation,predicted_hessian_cost,q_method,r_method,s_method,selected_parameter_count,strategy,tokens,zero_shot_accuracy,zero_shot_accuracy_degradation
0.0,0.0,ppl,ppl,1,,q_only,-0.014519278458722695,True,1.0,3.871898020346334,8,1.0,0.5,0.5,1.0,q,48.033468115486485,-0.7024988460152954,0.0589410534594208,rotated_rtn,,,3145728,lossless_frontier,254,nan,nan
0.0,0.0,ppl,ppl,2,,q_only,-0.03645841343196343,True,1.0,3.849958885373093,8,1.0,0.5,0.5,1.0,q,46.99113116903559,-1.7448357924661906,0.05439914806629531,rtn,,,3145728,lossless_frontier,254,nan,nan
0.0,0.0,ppl,ppl,3,,q_only,-0.017208309624138884,True,1.0,3.8692089891809176,6,1.0,0.375,0.625,1.0,q,47.90447812951308,-0.8314888319887004,0.98750273976475,rotated_rtn,,,3145728,lossless_frontier,254,nan,nan
0.0,0.0,ppl,ppl,4,,q_only,-0.026283444382074084,True,1.0,3.8601338544229824,6,1.0,0.375,0.625,1.0,q,47.47170524131014,-1.2642617201916408,0.911467868834734,rtn,,,3145728,lossless_frontier,254,nan,nan
0.0,0.0,ppl,ppl,5,,q_only,-0.022627702848179165,True,1.0,3.8637895959568773,4,1.0,0.25,0.75,1.0,q,47.64556712927751,-1.0903998322242714,19.338533960282803,rotated_rtn,,,3145728,lossless_frontier,254,nan,nan
0.08195214425010339,8.195214425010338,ppl,ppl,6,,q_only,0.07876695047213333,False,1.0,3.96518424927719,4,1.0,0.25,0.75,1.0,q,52.72998395609905,3.994016994597267,17.397032715380192,rtn,,,3145728,lossless_frontier,254,nan,nan
0.49343535383724946,49.34353538372495,ppl,ppl,7,,q_only,0.40107907272699306,False,1.0,4.2874963715320495,3,1.0,0.1875,0.8125,1.0,q,72.78401606375091,24.04804910224913,120.881582736969,rotated_rtn,,,3145728,lossless_frontier,254,nan,nan
0.22146800452237997,22.146800452237997,ppl,ppl,8,,q_only,0.20005341777651298,False,1.0,4.0864707165815695,3,1.0,0.1875,0.8125,1.0,q,59.52942431293422,10.793457351432437,90.61532235145569,rtn,,,3145728,lossless_frontier,254,nan,nan
0.0,0.0,ppl,ppl,9,,s_only,-0.018288319505105566,True,1.0,3.868128979299951,16,0.995,0.995,0.0050000000000000044,1.0,s,47.85276874813831,-0.883198213363471,2.033915477284154e-05,,,wanda,3145728,lossless_frontier,254,nan,nan
0.0,0.0,ppl,ppl,10,,s_only,-0.024580467404343054,True,1.0,3.8618368314007134,16,0.995,0.995,0.0050000000000000044,1.0,s,47.55261733859454,-1.1833496229072438,9.456969668519832e-05,,,magnitude,3145728,lossless_frontier,254,nan,nan
0.0,0.0,ppl,ppl,11,,s_only,-0.027628140186700012,True,1.0,3.8587891586183565,16,0.99,0.99,0.010000000000000009,1.0,s,47.40791313853264,-1.3280538229691388,0.00016487475363646809,,,wanda,3145728,lossless_frontier,254,nan,nan
0.0,0.0,ppl,ppl,12,,s_only,-0.011268916092519454,True,1.0,3.875148382712537,16,0.99,0.99,0.010000000000000009,1.0,s,48.18984830102442,-0.5461186604773616,0.0009026244334791045,,,magnitude,3145728,lossless_frontier,254,nan,nan
0.0,0.0,ppl,ppl,13,,s_only,-0.028705026221087504,True,1.0,3.857712272583969,16,0.98,0.98,0.020000000000000018,1.0,s,47.356887698177474,-1.3790792633243072,0.0013388678335104487,,,wanda,3145728,lossless_frontier,254,nan,nan
0.00834041654596451,0.834041654596451,ppl,ppl,14,,s_only,0.008305827463706006,True,1.0,3.8947231262687625,16,0.98,0.98,0.020000000000000018,1.0,s,49.14244522673107,0.4064782652292891,0.006597069168492453,,,magnitude,3145728,lossless_frontier,254,nan,nan
0.0,0.0,ppl,ppl,15,,s_only,-0.029751034233513884,True,1.0,3.8566662645715426,16,0.95,0.95,0.050000000000000044,1.0,s,47.30737791253203,-1.428589048969748,0.020902101998217404,,,wanda,3145728,lossless_frontier,254,nan,nan
0.013680382949904387,1.3680382949904388,ppl,ppl,16,,s_only,0.013587651290293046,False,1.0,3.9000049500953495,16,0.95,0.95,0.050000000000000044,1.0,s,49.40269365296901,0.6667266914672325,0.07902501651551574,,,magnitude,3145728,lossless_frontier,254,nan,nan
0.0,0.0,ppl,ppl,17,,s_only,-0.009055670790784731,True,1.0,3.8773616280142718,16,0.9,0.9,0.09999999999999998,1.0,s,48.2966223713871,-0.4393445901146791,0.16794273315463215,,,wanda,3145728,lossless_frontier,254,nan,nan
0.01200627962167778,1.200627962167778,ppl,ppl,18,,s_only,0.01193477600578241,False,1.0,3.898352074810839,16,0.9,0.9,0.09999999999999998,1.0,s,49.32110460847442,0.5851376469726404,0.5058353542117402,,,magnitude,3145728,lossless_frontier,254,nan,nan
0.0,0.0,ppl,ppl,19,,s_only,-0.007091732475701384,True,1.0,3.879325566329355,16,0.8,0.8,0.19999999999999996,1.0,s,48.391567160889075,-0.34439980061270603,1.369477543514222,,,wanda,3145728,lossless_frontier,254,nan,nan
0.013807419564225,1.3807419564224999,ppl,ppl,20,,s_only,0.01371296559731805,False,1.0,3.9001302644023745,16,0.8,0.8,0.19999999999999996,1.0,s,49.408884905207444,0.6729179437056629,2.968120342120528,,,magnitude,3145728,lossless_frontier,254,nan,nan
