batch_index,evidence_role,nll,nll_sum,perplexity,sequence_index,strategy,tokens,window_index
0,final_test,2.2370413232037403,284.104248046875,9.365580529129035,0,dense,127,0
1,final_test,2.866758331539124,364.07830810546875,17.579937402690643,0,dense,127,1
0,final_test,2.2381043922244093,284.2392578125,9.375542081620917,0,Q,127,0
1,final_test,2.8665031373031495,364.0458984375,17.575451676386777,0,Q,127,1
0,final_test,2.2383740042138287,284.27349853515625,9.37807018096106,0,Q_global_scale,127,0
1,final_test,2.8666958546075296,364.07037353515625,17.57883909645386,0,Q_global_scale,127,1
0,final_test,2.2380967027559056,284.23828125,9.375469988962552,0,Q+S,127,0
1,final_test,2.866526686300443,364.04888916015625,17.575865565524055,0,Q+S,127,1
0,final_test,2.2396797720841537,284.4393310546875,9.390323762114235,0,Q+S_OBS,127,0
1,final_test,2.8653992179810532,363.90570068359375,17.55606050080258,0,Q+S_OBS,127,1
0,final_test,2.2367332638718014,284.06512451171875,9.362695819001763,0,Q+L,127,0
1,final_test,2.8667948565145176,364.08294677734375,17.580579521198306,0,Q+L,127,1
0,final_test,2.2337930033526083,283.69171142578125,9.335207485366354,0,Q+S_OBS_global,127,0
1,final_test,2.866857333446112,364.09088134765625,17.581677936174884,0,Q+S_OBS_global,127,1
0,final_test,2.2343036321204477,283.7565612792969,9.339975528108424,0,Q+L_global,127,0
1,final_test,2.866612231637549,364.05975341796875,17.577369163180755,0,Q+L_global,127,1
0,final_test,2.2343036321204477,283.7565612792969,9.339975528108424,0,Q+S_OBS_or_L_global,127,0
1,final_test,2.866612231637549,364.05975341796875,17.577369163180755,0,Q+S_OBS_or_L_global,127,1
0,final_test,2.2343036321204477,283.7565612792969,9.339975528108424,0,Q+S+L_QL_budget,127,0
1,final_test,2.866612231637549,364.05975341796875,17.577369163180755,0,Q+S+L_QL_budget,127,1
0,final_test,2.2341368667722685,283.7353820800781,9.338418073705817,0,Q+S+L_QL_budget_component_scale,127,0
1,final_test,2.8679852823572833,364.234130859375,17.601520359175524,0,Q+S+L_QL_budget_component_scale,127,1
0,final_test,2.2392090324341782,284.3795471191406,9.385904404658302,0,Q+S+L,127,0
1,final_test,2.866115780327264,363.9967041015625,17.568645020963427,0,Q+S+L,127,1
0,final_test,2.2390064629982778,284.35382080078125,9.384003299857,0,Q+S_OBS+L,127,0
1,final_test,2.8689438226654773,364.3558654785156,17.61840021464379,0,Q+S_OBS+L,127,1
0,final_test,2.237735778328002,284.19244384765625,9.37208676340156,0,Q+S+L_component_scale,127,0
1,final_test,2.8670337106299213,364.11328125,17.584779216505414,0,Q+S+L_component_scale,127,1
