activation_reconstruction_error,added_bits_over_q,artifact_alignment_padding_bytes,artifact_container_bytes,artifact_file_bytes,artifact_logical_payload_bits,artifact_natural_file_bytes,artifact_path,artifact_physical_compression_ratio,artifact_scope,artifact_sha256,artifact_stream_bytes,artifact_tail_padding_bytes,artifact_to_reference_file_ratio,artifact_total_overhead_bytes,baseline_hessian_energy,cancellation_gain_ql_over_q,cancellation_gain_qs_over_q,comparison_budget_bits,compression_ratio,folded_repair_dof,folded_zero_bit_hessian_gain,heldout_evaluated,heldout_nll,heldout_perplexity,heldout_tokens,hessian_cost,hessian_cross_ql,hessian_cross_qs,hessian_cross_sl,hessian_gain_over_q,hessian_gain_per_added_bit,hessian_recovery_fraction_over_q,hessian_self_l,hessian_self_q,hessian_self_s,joint_counterfactual_strategy,joint_exact_natural_match_search_succeeded,joint_same_natural_file_bytes,joint_same_physical_file_bytes_after_padding,joint_test_nll_gain_over_nojoint,joint_value_claim_reason,joint_value_claim_supported,layers,layers_both_s_l_active,layers_l_active,layers_s_active,lowrank_factor_bits_by_layer,lowrank_factor_bits_distribution,lowrank_rank_sum,nll_delta,normalized_hessian_cost,paired_window_count,paired_window_nll_delta_ci95_high,paired_window_nll_delta_ci95_low,paired_window_nll_delta_mean,paired_window_nll_delta_se,payload_bits,payload_ratio,perplexity_delta,production_backend,proxy_top_k_evaluated,q_bits_by_layer,q_bits_distribution,q_group_size_distribution,q_group_sizes_by_layer,q_quantizer_distribution,q_quantizers_by_layer,q_reference_hessian_cost,q_reference_payload_bits,q_scale_count,ql_budget_file_bytes,rate_cap_satisfied,rate_cap_strategy,reference_artifact_file_bytes,reference_bits,rho_ql,rho_ql_kind,rho_qs,rho_qs_kind,rho_sl,rho_sl_kind,roundtrip_exact_fp16_endpoint,same_physical_bytes_as_ql,selection_source,sparse_nnz,strategy,strict_rate_match,target_gap,target_ratio,token_risk_p95,under_ql_serialized_cap_before_padding,under_target,validation_selected_allocation_digest,validation_selected_hessian_cost,validation_selected_natural_file_bytes,validation_selected_nll,validation_selected_nll_delta,validation_selected_perplexity,validation_selected_proxy_rank,validation_selected_tokens,worst_token_risk
0.010527322068810463,0,44,1280,11295488,90353664,11295488,artifacts/Q.hrc,3.9918126600639123,selected_linear_weights_only,bb37a2ba4db8143ff3ee3be36aaf7c2c493ed43c2f359a21a7a4d45b73f206f3,11294208,0,0.2505127582775864,1280,2191.7392578125,nan,nan,0,3.992202729044834,0.0,0.0,True,2.5523037647637796,12.836642348973472,254,11.514769554138184,0.0,0.0,0.0,0.0,nan,0.0,0.0,11.514769554138184,0.0,,,,,,,,1,0,0,0,"{""model.layers.0.mlp.gate_proj"":0}","{""0"":1}",0,0.00040393739234767523,0.010507426477025995,2,0.0016958353838578866,-0.0008879605991634243,0.00040393739234723114,0.000659131628321763,90353664.0,0.25048828125,0.005184152729887259,False,,"{""model.layers.0.mlp.gate_proj"":4}","{""4"":1}","{""0"":1}","{""model.layers.0.mlp.gate_proj"":0}","{""symmetric_rtn"":1}","{""model.layers.0.mlp.gate_proj"":""symmetric_rtn""}",11.514769554138184,90353664,11008.0,13515712,not_applicable,,45089472,360710144.0,nan,inactive,nan,inactive,nan,inactive,True,False,,0.0,Q,False,-0.04951171874999999,0.3,0.012203396297991276,not_applicable,True,,,,,,,,,0.013895859941840172
0.01042061299085617,0,44,1280,11295488,90353664,11295488,artifacts/Q_global_scale.hrc,3.9918126600639123,selected_linear_weights_only,8560085584cf46e0ccdd7e0731f6f9268391b4ec55baf995a8a678cd228cb4f0,11294208,0,0.2505127582775864,1280,2191.7392578125,nan,nan,0,3.992202729044834,1.0,0.11641788482666016,True,2.552534929410679,12.83961006987231,254,11.398351669311523,0.0,0.0,0.0,0.11641788482666016,nan,0.010110309570617662,0.0,11.398351669311523,0.0,,,,,,,,1,0,0,0,"{""model.layers.0.mlp.gate_proj"":0}","{""0"":1}",0,0.0006351020392472151,0.010401193142552759,2,0.0020023568220962143,-0.000732152743602228,0.000635102039246993,0.0006975789708414393,90353664.0,0.25048828125,0.008151873628724715,False,,"{""model.layers.0.mlp.gate_proj"":4}","{""4"":1}","{""0"":1}","{""model.layers.0.mlp.gate_proj"":0}","{""symmetric_rtn"":1}","{""model.layers.0.mlp.gate_proj"":""symmetric_rtn""}",11.514769554138184,90353664,11008.0,13515712,not_applicable,,45089472,360710144.0,nan,inactive,nan,inactive,nan,inactive,True,False,,0.0,Q_global_scale,False,-0.04951171874999999,0.3,0.012073483318090439,not_applicable,True,,,,,,,,,0.013728642836213112
0.007291783113032579,17859360,133,2368,13529072,108213024,13529072,artifacts/Q_S.hrc,3.3327838006923165,selected_linear_weights_only,c8500c721ec7865e9c4835fdce8ebb0223e3cdc8c1ef6fcf2a765665d81f841d,13526628,0,0.30004946609266125,2444,2191.7392578125,nan,0.608236664380508,0,3.333333924759371,0.0,0.0,True,2.552311694528174,12.836744140926507,254,7.998994827270508,0.0,-7.003705024719238,0.0,3.515774726867676,1.9685894269826443e-07,0.3053274067134218,0.0,11.514769554138184,3.4879310131073,,,,,,,,1,0,0,1,"{""model.layers.0.mlp.gate_proj"":0}","{""0"":1}",0,0.0004118671567421295,0.007299221199563703,2,0.001673151451771506,-0.000849417138287247,0.0004118671567421295,0.0006435123954231513,108213024.0,0.2999999467716661,0.005285944682922761,False,,"{""model.layers.0.mlp.gate_proj"":4}","{""4"":1}","{""0"":1}","{""model.layers.0.mlp.gate_proj"":0}","{""symmetric_rtn"":1}","{""model.layers.0.mlp.gate_proj"":""symmetric_rtn""}",11.514769554138184,90353664,11008.0,13515712,not_applicable,,45089472,360710144.0,nan,inactive,-0.5525687017647046,repair_cancellation,nan,inactive,True,False,,547096.0,Q+S,True,-5.3228333907195946e-08,0.3,0.009054839611053467,not_applicable,True,,,,,,,,,0.011866466142237186
0.005008379928767681,17859360,133,2368,13529072,108213024,13529072,artifacts/Q_S_OBS.hrc,3.3327838006923165,selected_linear_weights_only,96026ecf88203bf6b08b23ed92f188889676d7a1759bd7e18b076fd574c1d234,13526628,0,0.30004946609266125,2444,2191.7392578125,nan,1.0491396242448185,0,3.333333924759371,547096.0,0.0,True,2.5525394950326032,12.839668690811362,254,5.474470138549805,0.0,-12.080574989318848,0.0,6.040299415588379,3.38214774526544e-07,0.5245697178036545,0.0,11.514744758605957,6.0402984619140625,,,,,,,,1,0,0,1,"{""model.layers.0.mlp.gate_proj"":0}","{""0"":1}",0,0.0006396676611712948,0.004995548735129822,2,0.004557278850885868,-0.0032779435285432788,0.0006396676611712948,0.0019987812192421295,108213024.0,0.2999999467716661,0.008210494567777005,False,,"{""model.layers.0.mlp.gate_proj"":4}","{""4"":1}","{""0"":1}","{""model.layers.0.mlp.gate_proj"":0}","{""symmetric_rtn"":1}","{""model.layers.0.mlp.gate_proj"":""symmetric_rtn""}",11.514769554138184,90353664,11008.0,13515712,not_applicable,,45089472,360710144.0,nan,inactive,-0.724271261110789,repair_cancellation,nan,inactive,True,False,,547096.0,Q+S_OBS,True,-5.3228333907195946e-08,0.3,0.007042755838483572,not_applicable,True,,,,,,,,,0.008969034999608994
0.003397180698812008,17756160,25,1984,13515712,108109824,13515712,artifacts/Q_L.hrc,3.3360781881117325,selected_linear_weights_only,61d14ec114d611fdcb3a2156c4cc8c539f986a97725c10fb9747592cf26c7ee6,13513728,0,0.29975316632672033,1984,2191.7392578125,1.3650807217780632,nan,0,3.336515874820035,0.0,0.0,True,2.5517640601931593,12.829716223625187,254,3.6553449630737305,-15.718610763549805,0.0,0.0,7.859424591064453,4.426308723881995e-07,0.6825516180860024,7.859177589416504,11.514784812927246,0.0,,,,,,,,1,0,1,0,"{""model.layers.0.mlp.gate_proj"":16}","{""16"":1}",85,-0.00013576717827268325,0.003335565533212199,2,0.00020192544291308678,-0.0004734597994584533,-0.00013576717827268325,0.0001722921536662092,108109824.0,0.2997138444767442,-0.0017419726183973694,False,,"{""model.layers.0.mlp.gate_proj"":4}","{""4"":1}","{""0"":1}","{""model.layers.0.mlp.gate_proj"":0}","{""symmetric_rtn"":1}","{""model.layers.0.mlp.gate_proj"":""symmetric_rtn""}",11.514769554138184,90353664,11008.0,13515712,not_applicable,,45089472,360710144.0,-0.8261667260186355,repair_cancellation,nan,inactive,nan,inactive,True,True,,0.0,Q+L,True,-0.0002861555232557822,0.3,0.005763346794992685,not_applicable,True,,,,,,,,,0.006572391372174025
0.0031040210742503405,16950912,141,2368,13515712,107304576,13415526,artifacts/Q_S_OBS_global.hrc,3.3360781881117325,selected_linear_weights_only,5abe459a547ac92b797c65d54ddc54460ce7e15f36a7914c83f42d2d39d08dbf,13413072,100186,0.29975316632672033,102640,2191.7392578125,nan,0.9391469863518085,108109824,3.3615541614926094,436147.0,0.0,True,2.55032516839936,12.811268925250154,254,3.395463705062866,0.0,-6.011855602264404,0.0,8.119305849075317,4.789893221718877e-07,0.7051210022833151,0.0,6.401400089263916,3.0059173107147217,,,,,,,,1,0,0,1,"{""model.layers.0.mlp.gate_proj"":0}","{""0"":1}",0,-0.001574658972071763,0.003098419388127183,2,0.001705716350885531,-0.004855034295029501,-0.001574658972071985,0.0016736608790599572,107304576.0,0.2974814481513445,-0.020189270993430597,False,2,"{""model.layers.0.mlp.gate_proj"":4}","{""4"":1}","{""128"":1}","{""model.layers.0.mlp.gate_proj"":128}","{""symmetric_rtn"":1}","{""model.layers.0.mlp.gate_proj"":""symmetric_rtn""}",11.514769554138184,90353664,176128.0,13515712,True,aggregate_exact_Q+L_serialized_bytes,45089472,360710144.0,nan,inactive,-0.6852555231086074,repair_cancellation,nan,inactive,True,True,validation_nll_rerank_of_exact_proxy_top_k,436147.0,Q+S_OBS_global,True,-0.0025185518486555147,0.3,0.004317776300013065,True,True,cfae720c33b4866fd1c98199b748c98e9fa680b5d4858c9a6efa6157903d95bd,3.395463705062866,13415526,1.9284119493379368,-0.002092977208415281,6.878578033028872,2,254,0.005585298873484135
0.0021472107619047165,17682432,21,1984,13515712,108036096,13506496,artifacts/Q_L_global.hrc,3.3360781881117325,selected_linear_weights_only,09a5e392f7075db6bc5cfae64be0b94b774c86afa20f56c9d7b6d7d737fd6df1,13504512,9216,0.29975316632672033,11200,2191.7392578125,1.2743018520467653,nan,108109824,3.3387928419775554,0.0,0.0,True,2.5504579318789986,12.81296990680287,254,2.322669506072998,-8.157352447509766,0.0,0.0,9.192100048065186,5.198436531844254e-07,0.7982877994081717,4.078592300415039,6.401428699493408,0.0,,,,,,,,1,0,1,0,"{""model.layers.0.mlp.gate_proj"":16}","{""16"":1}",72,-0.0014418954924333427,0.002119476117237755,2,0.0010978638656494507,-0.003981654850517024,-0.0014418954924337868,0.0012957955908587946,108036096.0,0.2995094476744186,-0.018488289440714567,False,2,"{""model.layers.0.mlp.gate_proj"":4}","{""4"":1}","{""128"":1}","{""model.layers.0.mlp.gate_proj"":128}","{""symmetric_rtn"":1}","{""model.layers.0.mlp.gate_proj"":""symmetric_rtn""}",11.514769554138184,90353664,176128.0,13515712,True,aggregate_exact_Q+L_serialized_bytes,45089472,360710144.0,-0.7982255548329499,repair_cancellation,nan,inactive,nan,inactive,True,True,validation_nll_rerank_of_exact_proxy_top_k,0.0,Q+L_global,True,-0.0004905523255813726,0.3,0.0036175656132400036,True,True,9a09519951ff1ea8072259c61e4b15feb3f5df9090055aad41f453389e7ac551,2.322669506072998,13506496,1.929843151663232,-0.0006617748831201364,6.8884297181001255,1,254,0.003973307553678751
0.0021472107619047165,17682432,21,1984,13515712,108036096,13506496,artifacts/Q_S_OBS_or_L_global.hrc,3.3360781881117325,selected_linear_weights_only,09a5e392f7075db6bc5cfae64be0b94b774c86afa20f56c9d7b6d7d737fd6df1,13504512,9216,0.29975316632672033,11200,2191.7392578125,1.2743018520467653,nan,108109824,3.3387928419775554,0.0,0.0,True,2.5504579318789986,12.81296990680287,254,2.322669506072998,-8.157352447509766,0.0,0.0,9.192100048065186,5.198436531844254e-07,0.7982877994081717,4.078592300415039,6.401428699493408,0.0,Q+S_OBS_or_L_global,True,True,True,0.0,QSL did not beat the no-joint control on final test NLL,False,1,0,1,0,"{""model.layers.0.mlp.gate_proj"":16}","{""16"":1}",72,-0.0014418954924333427,0.002119476117237755,2,0.0010978638656494507,-0.003981654850517024,-0.0014418954924337868,0.0012957955908587946,108036096.0,0.2995094476744186,-0.018488289440714567,False,1,"{""model.layers.0.mlp.gate_proj"":4}","{""4"":1}","{""128"":1}","{""model.layers.0.mlp.gate_proj"":128}","{""symmetric_rtn"":1}","{""model.layers.0.mlp.gate_proj"":""symmetric_rtn""}",11.514769554138184,90353664,176128.0,13515712,True,aggregate_exact_Q+L_serialized_bytes,45089472,360710144.0,-0.7982255548329499,repair_cancellation,nan,inactive,nan,inactive,True,True,validation_nll_rerank_of_exact_proxy_top_k,0.0,Q+S_OBS_or_L_global,True,-0.0004905523255813726,0.3,0.0036175656132400036,True,True,6317fba984a03bcac83e7b0330a3cef0258858c7620bfb0c3b0f7ee0707eece2,2.322669506072998,13506496,1.929843151663232,-0.0006617748831201364,6.8884297181001255,1,254,0.003973307553678751
0.0021472107619047165,17682432,21,1984,13515712,108036096,13506496,artifacts/Q_S_L_QL_budget.hrc,3.3360781881117325,selected_linear_weights_only,09a5e392f7075db6bc5cfae64be0b94b774c86afa20f56c9d7b6d7d737fd6df1,13504512,9216,0.29975316632672033,11200,2191.7392578125,1.2743018520467653,nan,108109824,3.3387928419775554,0.0,0.0,True,2.5504579318789986,12.81296990680287,254,2.322669506072998,-8.157352447509766,0.0,0.0,9.192100048065186,5.198436531844254e-07,0.7982877994081717,4.078592300415039,6.401428699493408,0.0,Q+S_OBS_or_L_global,True,True,True,0.0,QSL did not beat the no-joint control on final test NLL,False,1,0,1,0,"{""model.layers.0.mlp.gate_proj"":16}","{""16"":1}",72,-0.0014418954924333427,0.002119476117237755,2,0.0010978638656494507,-0.003981654850517024,-0.0014418954924337868,0.0012957955908587946,108036096.0,0.2995094476744186,-0.018488289440714567,False,2,"{""model.layers.0.mlp.gate_proj"":4}","{""4"":1}","{""128"":1}","{""model.layers.0.mlp.gate_proj"":128}","{""symmetric_rtn"":1}","{""model.layers.0.mlp.gate_proj"":""symmetric_rtn""}",11.514769554138184,90353664,176128.0,13515712,True,aggregate_exact_Q+L_serialized_bytes,45089472,360710144.0,-0.7982255548329499,repair_cancellation,nan,inactive,nan,inactive,True,True,validation_nll_rerank_of_exact_proxy_top_k,0.0,Q+S+L_QL_budget,True,-0.0004905523255813726,0.3,0.0036175656132400036,True,True,6317fba984a03bcac83e7b0330a3cef0258858c7620bfb0c3b0f7ee0707eece2,2.322669506072998,13506496,1.929843151663232,-0.0006617748831201364,6.8884297181001255,1,254,0.003973307553678751
0.0021422021090984344,17682432,21,1984,13515712,108036096,13506496,artifacts/Q_S_L_QL_budget_component_scale.hrc,3.3360781881117325,selected_linear_weights_only,7a058541606a437af9b52e39bf9e6b0c47cb37137af363b2314a197098821f8b,13504512,9216,0.29975316632672033,11200,2191.7392578125,1.2730952889283067,nan,108109824,3.3387928419775554,2.0,0.0,True,2.551061074564776,12.820700286912007,254,2.317368984222412,-8.11785888671875,0.0,0.0,9.197400569915771,5.201434152222822e-07,0.7987481231537461,4.058754920959473,6.376473903656006,0.0,,,,,,,,1,0,1,0,"{""model.layers.0.mlp.gate_proj"":16}","{""16"":1}",72,-0.0008387528066560179,0.0021146392993255034,2,0.003210026297982153,-0.004887531911294633,-0.00083875280665624,0.002065703624815507,108036096.0,0.2995094476744186,-0.010757909331577054,False,,"{""model.layers.0.mlp.gate_proj"":4}","{""4"":1}","{""128"":1}","{""model.layers.0.mlp.gate_proj"":128}","{""symmetric_rtn"":1}","{""model.layers.0.mlp.gate_proj"":""symmetric_rtn""}",11.514769554138184,90353664,176128.0,13515712,True,aggregate_exact_Q+L_serialized_bytes,45089472,360710144.0,-0.7978565130246514,repair_cancellation,nan,inactive,nan,inactive,True,True,,0.0,Q+S+L_QL_budget_component_scale,True,-0.0004905523255813726,0.3,0.0036074768286198378,True,True,,,,,,,,,0.003960084170103073
