activation_reconstruction_error,bits,candidate_kind,candidate_memory_ratio,dam_alpha,dam_alpha_grid,factor_rank,layer,layer_family,layer_short,normalized_hessian_cost,predicted_hessian_cost,same_budget_feasible,selection_family,strategy,target_memory_ratio,token_risk_p95,worst_token_risk
0.048457251301181524,4,plain_lq,0.2578125,,,264,gpt_neox.layers.0.attention.dense,attention,L0:dense,0.048457432254976514,0.33695900440216064,True,dam_factor_quant,paper_lq_factor_quant_matched_budget,0.258,0.06003176048398018,0.06995709240436554
0.08141380901222953,4,plain_lq,0.257568359375,,,422,gpt_neox.layers.0.mlp.dense_4h_to_h,mlp,L0:dense_4h_to_h,0.08141398523380296,1.070342779159546,True,dam_factor_quant,paper_lq_factor_quant_matched_budget,0.258,0.11424215137958527,0.13571463525295258
0.04310715464244726,4,plain_lq,0.257568359375,,,422,gpt_neox.layers.0.mlp.dense_h_to_4h,mlp,L0:dense_h_to_4h,0.04310730195251799,65.12519836425781,True,dam_factor_quant,paper_lq_factor_quant_matched_budget,0.258,0.10250748693943024,0.10959647595882416
0.08699057696436477,4,plain_lq,0.2578125,,,264,gpt_neox.layers.3.attention.dense,attention,L3:dense,0.08699069482720338,0.8586081862449646,True,dam_factor_quant,paper_lq_factor_quant_matched_budget,0.258,0.12212252616882324,0.1877165287733078
0.045906356931748826,4,dam_closed,0.2578125,0.5,,264,gpt_neox.layers.0.attention.dense,attention,L0:dense,0.04590654934276167,0.3192209005355835,True,dam_factor_quant,paper_dam_closed_matched_budget,0.258,0.060971327126026154,0.07356918603181839
0.07926656941465265,4,dam_closed,0.257568359375,0.5,,422,gpt_neox.layers.0.mlp.dense_4h_to_h,mlp,L0:dense_4h_to_h,0.07926673528929588,1.0421130657196045,True,dam_factor_quant,paper_dam_closed_matched_budget,0.258,0.11239390820264816,0.13332025706768036
0.032888979021650284,4,dam_closed,0.257568359375,0.5,,422,gpt_neox.layers.0.mlp.dense_h_to_4h,mlp,L0:dense_h_to_4h,0.03288915100437743,49.68792724609375,True,dam_factor_quant,paper_dam_closed_matched_budget,0.258,0.10301188379526138,0.11206790059804916
0.08616525152283043,4,dam_closed,0.2578125,0.5,,264,gpt_neox.layers.3.attention.dense,attention,L3:dense,0.08616538848102423,0.8504623174667358,True,dam_factor_quant,paper_dam_closed_matched_budget,0.258,0.11994791775941849,0.19036094844341278
0.045373275377325495,4,dam_activation_grid,0.2578125,0.25,"0.0,0.25,0.5,0.75,1.0",264,gpt_neox.layers.0.attention.dense,attention,L0:dense,0.04537347107829053,0.3155140280723572,True,dam_factor_quant,paper_dam_activation_grid_matched_budget,0.258,0.057893529534339905,0.0642671212553978
0.07985372663575978,4,dam_activation_grid,0.257568359375,0.75,"0.0,0.25,0.5,0.75,1.0",422,gpt_neox.layers.0.mlp.dense_4h_to_h,mlp,L0:dense_4h_to_h,0.07985389038079031,1.0498323440551758,True,dam_factor_quant,paper_dam_activation_grid_matched_budget,0.258,0.10834609717130661,0.13856548070907593
0.032888979021650284,4,dam_activation_grid,0.257568359375,0.5,"0.0,0.25,0.5,0.75,1.0",422,gpt_neox.layers.0.mlp.dense_h_to_4h,mlp,L0:dense_h_to_4h,0.03288915100437743,49.68792724609375,True,dam_factor_quant,paper_dam_activation_grid_matched_budget,0.258,0.10301188379526138,0.11206790059804916
0.08340775737674885,4,dam_activation_grid,0.2578125,0.25,"0.0,0.25,0.5,0.75,1.0",264,gpt_neox.layers.3.attention.dense,attention,L3:dense,0.0834078936256844,0.8232455253601074,True,dam_factor_quant,paper_dam_activation_grid_matched_budget,0.258,0.123285673558712,0.18417830765247345
