block_size,compression_ratio_actual,compression_ratio_target,in_features,layer,method,module_type,name,out_features,params_original,params_structured,rank,relative_activation_error,relative_activation_error_after_residual,relative_weight_error,relative_weight_error_after_residual,residual_channels,residual_fraction,residual_params,residual_rank,residual_type,samples,terms
,4.009845603043186,4.0,8960,0,low_rank,down_proj,model.layers.0.mlp.down_proj,1536,13762560,3432192,327,0.7943550292882454,0.7943550292882454,0.798180680943304,0.798180680943304,0,0.0,0,0,none,64,
,4.009845603043186,4.0,8960,0,low_rank,down_proj,model.layers.0.mlp.down_proj,1536,13762560,3432192,327,0.7943550292882454,0.7943550292882454,0.798180680943304,0.798180680943304,0,0.0,0,0,none,64,
,4.009845603043186,4.0,8960,0,low_rank,down_proj,model.layers.0.mlp.down_proj,1536,13762560,3432192,327,0.7943550292882454,0.7943550292882454,0.798180680943304,0.798180680943304,0,0.0,0,0,none,64,
,4.009845603043186,4.0,8960,0,low_rank,down_proj,model.layers.0.mlp.down_proj,1536,13762560,3432192,327,0.7943550292882454,0.7943550292882454,0.798180680943304,0.798180680943304,0,0.0,0,0,none,64,
,4.009845603043186,4.0,8960,0,low_rank,down_proj,model.layers.0.mlp.down_proj,1536,13762560,3432192,327,0.7943550292882454,0.7943550292882454,0.798180680943304,0.798180680943304,0,0.02,0,0,none,64,
,4.009845603043186,4.0,8960,0,low_rank,down_proj,model.layers.0.mlp.down_proj,1536,13762560,3432192,327,0.7943550292882454,0.7812584379849102,0.798180680943304,0.7836929784579113,0,0.02,272896,26,low_rank,64,
,4.009845603043186,4.0,8960,0,low_rank,down_proj,model.layers.0.mlp.down_proj,1536,13762560,3432192,327,0.7943550292882454,0.6874259383621092,0.798180680943304,0.7340978943835267,0,0.02,275251,0,sparse,64,
,4.009845603043186,4.0,8960,0,low_rank,down_proj,model.layers.0.mlp.down_proj,1536,13762560,3432192,327,0.7943550292882454,0.7748770262712182,0.798180680943304,0.7878788189896786,179,0.02,274944,0,channel_in,64,
16,16.0,4.0,8960,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,1536,13762560,860160,0,0.9634072437416641,0.9634072437416641,0.9682182703296197,0.9682182703296197,0,0.0,0,0,none,64,
16,16.0,4.0,8960,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,1536,13762560,860160,0,0.9634072437416641,0.9634072437416641,0.9682182703296197,0.9682182703296197,0,0.0,0,0,none,64,
16,16.0,4.0,8960,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,1536,13762560,860160,0,0.9634072437416641,0.9634072437416641,0.9682182703296197,0.9682182703296197,0,0.0,0,0,none,64,
16,16.0,4.0,8960,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,1536,13762560,860160,0,0.9634072437416641,0.9634072437416641,0.9682182703296197,0.9682182703296197,0,0.0,0,0,none,64,
16,16.0,4.0,8960,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,1536,13762560,860160,0,0.9634072437416641,0.9634072437416641,0.9682182703296197,0.9682182703296197,0,0.02,0,0,none,64,
16,16.0,4.0,8960,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,1536,13762560,860160,0,0.9634072437416641,0.9163360104790987,0.9682182703296197,0.9436667454536227,0,0.02,272896,26,low_rank,64,
16,16.0,4.0,8960,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,1536,13762560,860160,0,0.9634072437416641,0.8397764562783279,0.9682182703296197,0.8907939523883666,0,0.02,275251,0,sparse,64,
16,16.0,4.0,8960,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,1536,13762560,860160,0,0.9634072437416641,0.9481395655492849,0.9682182703296197,0.9565545198845048,30,0.02,268800,0,channel_out,64,
64,4.0,4.0,8960,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,1536,13762560,3440640,96,0.9932970774599386,0.9932970774599386,0.9946482100885331,0.9946482100885331,0,0.0,0,0,none,64,2
64,4.0,4.0,8960,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,1536,13762560,3440640,96,0.9932970774599386,0.9932970774599386,0.9946482100885331,0.9946482100885331,0,0.0,0,0,none,64,2
64,4.0,4.0,8960,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,1536,13762560,3440640,96,0.9932970774599386,0.9932970774599386,0.9946482100885331,0.9946482100885331,0,0.0,0,0,none,64,2
64,4.0,4.0,8960,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,1536,13762560,3440640,96,0.9932970774599386,0.9932970774599386,0.9946482100885331,0.9946482100885331,0,0.0,0,0,none,64,2
64,4.0,4.0,8960,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,1536,13762560,3440640,96,0.9932970774599386,0.9932970774599386,0.9946482100885331,0.9946482100885331,0,0.02,0,0,none,64,2
64,4.0,4.0,8960,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,1536,13762560,3440640,96,0.9932970774599386,0.9429286296573295,0.9946482100885331,0.9685878155999456,0,0.02,272896,26,low_rank,64,2
64,4.0,4.0,8960,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,1536,13762560,3440640,96,0.9932970774599386,0.8637631314195464,0.9946482100885331,0.9139394052004285,0,0.02,275251,0,sparse,64,2
64,4.0,4.0,8960,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,1536,13762560,3440640,96,0.9932970774599386,0.9764158217463333,0.9946482100885331,0.9825196128628741,30,0.02,268800,0,channel_out,64,2
