activation_error,block_size,ceil_lowrank_activation_error,ceil_lowrank_extra_params,ceil_lowrank_memory_ratio,ceil_lowrank_params,ceil_lowrank_rank,delta_activation_vs_ceil_lowrank,delta_activation_vs_lowrank,delta_weight_error_vs_lowrank,layer,layer_short,matched_lowrank_activation_error,matched_lowrank_memory_ratio,matched_lowrank_params,matched_lowrank_rank,matched_lowrank_unused_memory_ratio,matched_lowrank_unused_params,matched_lowrank_weight_error,method,model,permutation_metadata_params,q_activation_error,q_bits,q_method,structured_coeff_params,structured_memory_ratio,structured_params,structured_weight_error,structured_wins,structured_wins_vs_ceil_lowrank
0.008270861580967903,16,0.007033095229417086,0,0.0625,16384,16,0.0012377663515508175,0.0012377663515508175,0.0674523115158081,gpt_neox.layers.0.attention.dense,L0:dense,0.007033095229417086,0.0625,16384,16,0.0,0,0.8998149633407593,naive_block_circulant,EleutherAI/pythia-70m,0,0.008887933567166328,4,rtn,16384,0.0625,16384,0.9672672748565674,False,False
0.008284171111881733,16,0.006992784794420004,0,0.06640625,17408,17,0.001291386317461729,0.001291386317461729,0.07175254821777344,gpt_neox.layers.0.attention.dense,L0:dense,0.006992784794420004,0.06640625,17408,17,0.0,0,0.8962415456771851,norm_sorted_block_circulant,EleutherAI/pythia-70m,1024,0.008887933567166328,4,rtn,16384,0.06640625,17408,0.9679940938949585,False,False
0.008355814032256603,16,0.006992784794420004,0,0.06640625,17408,17,0.0013630292378365993,0.0013630292378365993,0.07169580459594727,gpt_neox.layers.0.attention.dense,L0:dense,0.006992784794420004,0.06640625,17408,17,0.0,0,0.8962415456771851,activation_clustered_block_circulant,EleutherAI/pythia-70m,1024,0.008887933567166328,4,rtn,16384,0.06640625,17408,0.9679373502731323,False,False
0.008457251824438572,16,0.006992784794420004,0,0.06640625,17408,17,0.001464467030018568,0.001464467030018568,0.0719376802444458,gpt_neox.layers.0.attention.dense,L0:dense,0.006992784794420004,0.06640625,17408,17,0.0,0,0.8962415456771851,random_permuted_block_circulant,EleutherAI/pythia-70m,1024,0.008887933567166328,4,rtn,16384,0.06640625,17408,0.9681792259216309,False,False
0.00762548390775919,16,0.0062424298375844955,0,0.125,32768,32,0.001383054070174694,0.001383054070174694,0.09057819843292236,gpt_neox.layers.0.attention.dense,L0:dense,0.0062424298375844955,0.125,32768,32,0.0,0,0.8455127477645874,monarch_like_two_block,EleutherAI/pythia-70m,0,0.008887933567166328,4,rtn,32768,0.125,32768,0.9360909461975098,False,False
0.008623342029750347,32,0.007475224323570728,0,0.03125,8192,8,0.0011481177061796188,0.0011481177061796188,0.054190754890441895,gpt_neox.layers.0.attention.dense,L0:dense,0.007475224323570728,0.03125,8192,8,0.0,0,0.9294198155403137,naive_block_circulant,EleutherAI/pythia-70m,0,0.008887933567166328,4,rtn,8192,0.03125,8192,0.9836105704307556,False,False
0.008648756891489029,32,0.0073881372809410095,0,0.03515625,9216,9,0.0012606196105480194,0.0012606196105480194,0.05832350254058838,gpt_neox.layers.0.attention.dense,L0:dense,0.0073881372809410095,0.03515625,9216,9,0.0,0,0.9255761504173279,norm_sorted_block_circulant,EleutherAI/pythia-70m,1024,0.008887933567166328,4,rtn,8192,0.03515625,9216,0.9838996529579163,False,False
0.008645826019346714,32,0.0073881372809410095,0,0.03515625,9216,9,0.0012576887384057045,0.0012576887384057045,0.05863761901855469,gpt_neox.layers.0.attention.dense,L0:dense,0.0073881372809410095,0.03515625,9216,9,0.0,0,0.9255761504173279,activation_clustered_block_circulant,EleutherAI/pythia-70m,1024,0.008887933567166328,4,rtn,8192,0.03515625,9216,0.9842137694358826,False,False
0.008594709448516369,32,0.0073881372809410095,0,0.03515625,9216,9,0.0012065721675753593,0.0012065721675753593,0.058737099170684814,gpt_neox.layers.0.attention.dense,L0:dense,0.0073881372809410095,0.03515625,9216,9,0.0,0,0.9255761504173279,random_permuted_block_circulant,EleutherAI/pythia-70m,1024,0.008887933567166328,4,rtn,8192,0.03515625,9216,0.9843132495880127,False,False
0.008307711221277714,32,0.007033095229417086,0,0.0625,16384,16,0.0012746159918606281,0.0012746159918606281,0.06859499216079712,gpt_neox.layers.0.attention.dense,L0:dense,0.007033095229417086,0.0625,16384,16,0.0,0,0.8998149633407593,monarch_like_two_block,EleutherAI/pythia-70m,0,0.008887933567166328,4,rtn,16384,0.0625,16384,0.9684099555015564,False,False
0.008799157105386257,64,0.007892206311225891,0,0.015625,4096,4,0.0009069507941603661,0.0009069507941603661,0.045964837074279785,gpt_neox.layers.0.attention.dense,L0:dense,0.007892206311225891,0.015625,4096,4,0.0,0,0.9458423256874084,naive_block_circulant,EleutherAI/pythia-70m,0,0.008887933567166328,4,rtn,4096,0.015625,4096,0.9918071627616882,False,False
0.008707559667527676,64,0.007859043776988983,0,0.01953125,5120,5,0.0008485158905386925,0.0008485158905386925,0.05064326524734497,gpt_neox.layers.0.attention.dense,L0:dense,0.007859043776988983,0.01953125,5120,5,0.0,0,0.9413939118385315,norm_sorted_block_circulant,EleutherAI/pythia-70m,1024,0.008887933567166328,4,rtn,4096,0.01953125,5120,0.9920371770858765,False,False
0.00878872349858284,64,0.007859043776988983,0,0.01953125,5120,5,0.0009296797215938568,0.0009296797215938568,0.05087149143218994,gpt_neox.layers.0.attention.dense,L0:dense,0.007859043776988983,0.01953125,5120,5,0.0,0,0.9413939118385315,activation_clustered_block_circulant,EleutherAI/pythia-70m,1024,0.008887933567166328,4,rtn,4096,0.01953125,5120,0.9922654032707214,False,False
0.00877897348254919,64,0.007859043776988983,0,0.01953125,5120,5,0.0009199297055602074,0.0009199297055602074,0.05094069242477417,gpt_neox.layers.0.attention.dense,L0:dense,0.007859043776988983,0.01953125,5120,5,0.0,0,0.9413939118385315,random_permuted_block_circulant,EleutherAI/pythia-70m,1024,0.008887933567166328,4,rtn,4096,0.01953125,5120,0.9923346042633057,False,False
0.00863800011575222,64,0.007475224323570728,0,0.03125,8192,8,0.0011627757921814919,0.0011627757921814919,0.055168986320495605,gpt_neox.layers.0.attention.dense,L0:dense,0.007475224323570728,0.03125,8192,8,0.0,0,0.9294198155403137,monarch_like_two_block,EleutherAI/pythia-70m,0,0.008887933567166328,4,rtn,8192,0.03125,8192,0.9845888018608093,False,False
0.01140320673584938,16,0.00969670619815588,0,0.0625,16384,16,0.0017065005376935005,0.0017065005376935005,0.08370822668075562,gpt_neox.layers.0.attention.dense,L0:dense,0.00969670619815588,0.0625,16384,16,0.0,0,0.8843222856521606,naive_block_circulant,EleutherAI/pythia-70m,0,0.012326047755777836,4,sinq_like,16384,0.0625,16384,0.9680305123329163,False,False
0.011482827365398407,16,0.009645049460232258,0,0.06640625,17408,17,0.0018377779051661491,0.0018377779051661491,0.0871809720993042,gpt_neox.layers.0.attention.dense,L0:dense,0.009645049460232258,0.06640625,17408,17,0.0,0,0.8805720210075378,norm_sorted_block_circulant,EleutherAI/pythia-70m,1024,0.012326047755777836,4,sinq_like,16384,0.06640625,17408,0.967752993106842,False,False
