adapter_module,budget_per_module,cols,effective_rank,frobenius_norm,in_channel_max_over_median,in_channel_outlier_count,in_channel_top1pct_energy_frac,method,out_channel_max_over_median,out_channel_outlier_count,out_channel_top1pct_energy_frac,params,participation_ratio,rank,rank_90,rank_95,rank_99,requested_rank,rows,sigma_max,sigma_min_positive,spectral_entropy,stable_rank,task_condition,top_10_energy,top_1_energy
model.layers.0.mlp.down_proj,65536,8960,1340.1883665871476,14.006149467038302,1.0936700167808926,0,0.01198381593562123,structured,1.0106622255894586,0,0.010613685868651503,13762560,1196.3415846606174,1536,1173,1328,1487,,1536,0.630514919757843,0.18027055263519287,0.981413025603744,493.45411834409816,natural,0.018066861575326748,0.0020265308623945346
model.layers.14.mlp.down_proj,65536,8960,1304.9346886042065,14.421414305644552,1.1020958899194484,0,0.011990223330694506,structured,1.0046330386248032,0,0.010557015045748607,13762560,1126.7190224735987,1536,1165,1323,1484,,1536,0.6768894195556641,0.1642928570508957,0.9777797404874482,453.9209798235318,natural,0.021038554958805536,0.002203026615753174
model.layers.27.mlp.down_proj,65536,8960,1228.59614811458,12.70084358432865,1.1151944902985524,0,0.013115340621657584,structured,1.008306766293813,0,0.010598748691982112,13762560,1014.9818315937039,1536,1117,1291,1476,,1536,0.6245617270469666,0.14129123091697693,0.96956366631037,413.5370263993869,natural,0.022744602439530998,0.00241816315387009
model.layers.0.mlp.down_proj,65536,8960,1213.5169748828162,12.965390453907514,1.1431002767291727,0,0.012868320203137005,structured,1.0100877504224908,0,0.01069733303782453,13762560,1005.9894997433312,1536,1092,1275,1472,,1536,0.679847002029419,0.13790194690227509,0.9678804788641484,363.7046275164481,structured,0.024162832169792196,0.0027494838513012214
model.layers.14.mlp.down_proj,65536,8960,1170.368991157641,20.41419220737172,1.0289882775448285,0,0.010598537185287428,structured,1.0148927057958623,0,0.010721727774410387,13762560,931.3155891955573,1536,1077,1264,1468,,1536,1.2700698375701904,0.20650626718997955,0.96294604113728,258.35043344316625,structured,0.028208489943519387,0.0038707115241592466
model.layers.27.mlp.down_proj,65536,8960,1105.308440459954,19.359467422278385,1.152532108459296,0,0.013440280074830191,structured,1.0150621335791474,0,0.010691309052281198,13762560,870.4898374225954,1536,1005,1204,1448,,1536,1.0365567207336426,0.14617709815502167,0.9551506015469471,348.8194297784792,structured,0.027059155031894443,0.0028668127822898473
model.layers.0.mlp.down_proj,131072,8960,1286.1888953052037,13.73268517329083,1.1114241879768174,0,0.012478173437250772,structured,1.0081013163768557,0,0.010640123721406934,13762560,1107.4185319517885,1536,1141,1308,1482,,1536,0.6531022191047668,0.1644439399242401,0.9758075971137603,442.1285997681487,natural,0.02044582244343361,0.002261785373134418
model.layers.14.mlp.down_proj,131072,8960,1260.90531827314,14.114570879365864,1.1378178198336635,128,0.012874502522196402,structured,1.0156698891691578,0,0.010752807823206938,13762560,1041.184262355451,1536,1153,1317,1484,,1536,0.754911482334137,0.1803457885980606,0.9731016270795974,349.5773579491011,natural,0.02559469334576235,0.0028605971675820067
model.layers.27.mlp.down_proj,131072,8960,1197.9988930900342,12.586700764551024,1.2031268979027905,0,0.015125652498969537,structured,1.0207073706557122,0,0.01081345895171741,13762560,965.5680345043502,1536,1098,1278,1472,,1536,0.6657627820968628,0.14217163622379303,0.9661263192091464,357.4248867846904,natural,0.02549328355893542,0.0027977906323081283
model.layers.0.mlp.down_proj,131072,8960,1002.3648876838885,12.16467361535927,1.135090536987199,0,0.012685077143532007,structured,1.0124389704823769,0,0.010756099825597077,13762560,698.9394838748514,1536,1008,1220,1456,,1536,0.8107231855392456,0.12094857543706894,0.9418259221787569,225.14159336307029,structured,0.04168688565565047,0.004441649297503945
model.layers.14.mlp.down_proj,131072,8960,1046.9834892025535,18.394217132104473,1.081277112864991,0,0.011742804084894573,structured,1.0318041427613298,0,0.010990422934769905,13762560,756.4304714459433,1536,1015,1218,1452,,1536,1.2053256034851074,0.17048923671245575,0.9477617870925904,232.89161559691752,structured,0.03737278797569402,0.004293842856630669
model.layers.27.mlp.down_proj,131072,8960,965.8692917437811,17.56439183662839,1.2788197359960423,0,0.01624383355238467,structured,1.0139326182048587,0,0.010807611197813514,13762560,718.5938904315208,1536,887,1105,1406,,1536,1.0726420879364014,0.12667599320411682,0.9367708346330083,268.1368893106661,structured,0.03271211630718681,0.003729438357291413
model.layers.0.mlp.down_proj,65536,8960,1386.1906586104612,14.626236537671037,1.0598352643460667,0,0.011170558582742572,structured_lora,1.003171882769318,0,0.010476203958087031,13762560,1269.0621167065551,1536,1208,1349,1489,4,1536,0.648634135723114,0.1816757768392563,0.9860129391460917,508.47029228819446,natural,0.017060333307506042,0.001966683236300485
model.layers.14.mlp.down_proj,65536,8960,1361.4062664370902,15.026889557778427,1.030705867567613,0,0.010623615920381831,structured_lora,1.0037338910691114,0,0.01054510538269685,13762560,1223.0293871129675,1536,1195,1342,1487,4,1536,0.7482972741127014,0.17276182770729065,0.9835539747462038,403.26437983218426,natural,0.019673265050649754,0.0024797627809729768
model.layers.27.mlp.down_proj,65536,8960,1296.6221102474935,13.136557858186817,1.148712278260989,0,0.012577545259680004,structured_lora,1.0346162638780283,512,0.010913300956832402,13762560,1118.7878791684366,1536,1154,1314,1478,4,1536,0.6420220136642456,0.139975443482399,0.9769087385344553,418.6617910709231,natural,0.022239918223963966,0.0023885628479303855
model.layers.0.mlp.down_proj,65536,8960,1399.8620624012985,14.912119535688241,1.0399617842597069,0,0.010788211977484446,structured_lora,1.0037403086542935,0,0.010487922639748246,13762560,1286.9381270878398,1536,1223,1358,1491,8,1536,0.6436101794242859,0.2007157802581787,0.9873505890937703,536.8252610727901,natural,0.016860908646267138,0.001862803546169945
model.layers.14.mlp.down_proj,65536,8960,1381.1909728818262,15.262965339155734,1.047389324547685,0,0.010903560366610908,structured_lora,1.0031947887287234,0,0.010463383816739212,13762560,1245.4312620618848,1536,1213,1349,1487,8,1536,0.8441253304481506,0.18613490462303162,0.9855204583098682,326.9369226795863,natural,0.021030036209213898,0.00305869398844268
model.layers.27.mlp.down_proj,65536,8960,1336.152623776693,13.769123354368379,1.1572892477128724,0,0.012797663373291126,structured_lora,1.006039538363799,0,0.010541841531681043,13762560,1167.2896794405,1536,1186,1333,1485,8,1536,0.7668761610984802,0.1546798199415207,0.9810019728367004,322.3755574654541,natural,0.023701149295413934,0.0031019721465922875
model.layers.0.mlp.down_proj,65536,8960,1399.9140692226838,14.88823334396177,1.0388343157209488,0,0.01078622557044976,structured_lora,1.00394480715289,0,0.010488933505285163,13762560,1286.6870381199237,1536,1224,1359,1492,16,1536,0.6371419429779053,0.2017269730567932,0.9873556526101003,546.0267791703858,natural,0.01683732717373466,0.00183141200788607
