adapter_params,budget_per_module,method,modules,nll,perplexity,rank,requested_rank,seed,task_condition,tokens,train_loss_first,train_loss_last,train_steps,within_budget
161280,65536,structured,"down_proj,down_proj,down_proj",1.8763763322604923,6.5298001130475445,,,17,natural,2032,2.0345776081085205,2.839047431945801,40,True
161280,65536,structured,"down_proj,down_proj,down_proj",4.152308246282142,63.58059071177536,,,18,structured,2032,0.9808287620544434,0.19023723900318146,40,True
322560,131072,structured,"down_proj,down_proj,down_proj",1.7514168746828094,5.762762005855926,,,19,natural,2032,2.0345776081085205,2.8066937923431396,40,True
322560,131072,structured,"down_proj,down_proj,down_proj",4.28482261417419,72.58966919922716,,,20,structured,2032,0.9808287620544434,0.051475513726472855,40,True
181248,65536,structured_lora,"down_proj,down_proj,down_proj",2.029614403491884,7.611150959643734,4,4,21,natural,2032,2.0345776081085205,2.8722894191741943,40,True
188160,65536,structured_lora,"down_proj,down_proj,down_proj",2.1033778228159026,8.193800426836326,5,8,22,natural,2032,2.0345776081085205,2.8742356300354004,40,True
188160,65536,structured_lora,"down_proj,down_proj,down_proj",2.105982465068186,8.215170163813458,5,16,23,natural,2032,2.0345776081085205,2.877312421798706,40,True
181248,65536,structured_lora,"down_proj,down_proj,down_proj",3.6983944600022682,40.382416698923265,4,4,24,structured,2032,0.9808287620544434,0.05190912261605263,40,True
188160,65536,structured_lora,"down_proj,down_proj,down_proj",3.5044875858336924,33.2643943376781,5,8,25,structured,2032,0.9808287620544434,0.08173397183418274,40,True
188160,65536,structured_lora,"down_proj,down_proj,down_proj",3.5291304250401776,34.094307164848054,5,16,26,structured,2032,0.9808287620544434,0.2719018757343292,40,True
287232,131072,structured_lora,"down_proj,down_proj,down_proj",1.8728870932511457,6.507055783047216,4,4,27,natural,2032,2.0345776081085205,2.8389976024627686,40,True
334848,131072,structured_lora,"down_proj,down_proj,down_proj",1.969503094830851,7.16711422725953,8,8,28,natural,2032,2.0345776081085205,2.863921880722046,40,True
377088,131072,structured_lora,"down_proj,down_proj,down_proj",2.1055989302988127,8.212019964563403,11,16,29,natural,2032,2.0345776081085205,2.8801169395446777,40,True
287232,131072,structured_lora,"down_proj,down_proj,down_proj",4.170556406336506,64.75147021444772,4,4,30,structured,2032,0.9808287620544434,0.20168499648571014,40,True
334848,131072,structured_lora,"down_proj,down_proj,down_proj",3.9293850726030004,50.87568319683454,8,8,31,structured,2032,0.9808287620544434,0.037071701139211655,40,True
377088,131072,structured_lora,"down_proj,down_proj,down_proj",3.5111965269554317,33.4883134910672,11,16,32,structured,2032,0.9808287620544434,0.07754770666360855,40,True
125952,65536,lora,"down_proj,down_proj,down_proj",2.4880327314842403,12.037571675821848,4,4,33,natural,2032,2.0345776081085205,2.9477429389953613,40,True
188928,65536,lora,"down_proj,down_proj,down_proj",2.4847252462792584,11.997823355326556,6,8,34,natural,2032,2.0345776081085205,2.9421443939208984,40,True
188928,65536,lora,"down_proj,down_proj,down_proj",2.4914469080647144,12.078740309625385,6,16,35,natural,2032,2.0345776081085205,2.9456608295440674,40,True
125952,65536,lora,"down_proj,down_proj,down_proj",2.6099793742022177,13.598770363450683,4,4,36,structured,2032,0.9808287620544434,0.5806764364242554,40,True
188928,65536,lora,"down_proj,down_proj,down_proj",2.608643554327056,13.580616983243898,6,8,37,structured,2032,0.9808287620544434,0.5757032036781311,40,True
188928,65536,lora,"down_proj,down_proj,down_proj",2.6043364757627954,13.522249984799988,6,16,38,structured,2032,0.9808287620544434,0.5747053623199463,40,True
125952,131072,lora,"down_proj,down_proj,down_proj",2.485496956532396,12.007085772116522,4,4,39,natural,2032,2.0345776081085205,2.9481441974639893,40,True
251904,131072,lora,"down_proj,down_proj,down_proj",2.48720276449609,12.027585033578385,8,8,40,natural,2032,2.0345776081085205,2.9449779987335205,40,True
377856,131072,lora,"down_proj,down_proj,down_proj",2.4848792684359813,11.99967142827416,12,16,41,natural,2032,2.0345776081085205,2.951143503189087,40,True
125952,131072,lora,"down_proj,down_proj,down_proj",2.6054786546962467,13.537703637603794,4,4,42,structured,2032,0.9808287620544434,0.5828803181648254,40,True
251904,131072,lora,"down_proj,down_proj,down_proj",2.606924747857522,13.557294580003392,8,8,43,structured,2032,0.9808287620544434,0.581572413444519,40,True
377856,131072,lora,"down_proj,down_proj,down_proj",2.599634936475378,13.458823812396338,12,16,44,structured,2032,0.9808287620544434,0.575844943523407,40,True
126000,65536,mora,"down_proj,down_proj,down_proj",2.488640897855984,12.044894748710158,4,4,45,natural,2032,2.0345776081085205,2.9445462226867676,40,True
189036,65536,mora,"down_proj,down_proj,down_proj",2.485445202804926,12.006464376751667,6,8,46,natural,2032,2.0345776081085205,2.940753698348999,40,True
189036,65536,mora,"down_proj,down_proj,down_proj",2.48067541197529,11.949332415141312,6,16,47,natural,2032,2.0345776081085205,2.9419684410095215,40,True
126000,65536,mora,"down_proj,down_proj,down_proj",2.6178542985690862,13.706282420596843,4,4,48,structured,2032,0.9808287620544434,0.5735187530517578,40,True
