artifact_alignment_padding_bytes,artifact_container_bytes,artifact_file_bytes,artifact_logical_payload_bits,artifact_natural_file_bytes,artifact_path,artifact_physical_compression_ratio,artifact_scope,artifact_sha256,artifact_stream_bytes,artifact_tail_padding_bytes,artifact_to_reference_file_ratio,artifact_total_overhead_bytes,production_backend,ql_budget_file_bytes,reference_artifact_file_bytes,roundtrip_exact_fp16_endpoint,same_physical_bytes_as_ql,strategy,target_ratio,under_ql_serialized_cap_before_padding
51,12608,6334784,50577408,6334784,artifacts/Q.hrc,3.973580788232085,selected_linear_weights_only,1df209a4b25315c7e16c5ece52b4de28b5053a2d7409a0140b7cc9978c91bbeb,6322176,0,0.2516621791009105,12608,False,6497344,25171776,True,False,Q,0.258,not_applicable
51,12608,6334784,50577408,6334784,artifacts/Q_global_scale.hrc,3.973580788232085,selected_linear_weights_only,e415bc4e1546f92ebbde4e5844d21281f1e5c0d2caf20f3b80b0ebdc0523735d,6322176,0,0.2516621791009105,12608,False,6497344,25171776,True,False,Q_global_scale,0.258,not_applicable
3,12608,6500672,51904512,6500672,artifacts/Q_block_scale.hrc,3.872180599174978,selected_linear_weights_only,defa770883d1bd5730df66f4506b5bd8d7ed3b471fc0040fc71c1201100fcc67,6488064,0,0.2582524173105624,12608,False,6497344,25171776,True,False,Q_block_scale,0.258,not_applicable
2190,25984,6520898,51942144,6520898,artifacts/Q_S.hrc,3.8601701790152214,selected_linear_weights_only,066134f08ff4d0f8e82385e6946cab9d39dafe4887cb5c855bc4174f5a7f045c,6492768,0,0.259055936299449,28130,False,6497344,25171776,True,False,Q+S,0.258,not_applicable
2190,25984,6520898,51942144,6520898,artifacts/Q_S_OBS.hrc,3.8601701790152214,selected_linear_weights_only,c223c734a7f786ff4be21dc08ddb4972d5c181aa179651081482b4f3a8f680fb,6492768,0,0.259055936299449,28130,False,6497344,25171776,True,False,Q+S_OBS,0.258,not_applicable
31,21568,6497344,51806208,6497344,artifacts/Q_L.hrc,3.8741639660759843,selected_linear_weights_only,1c14fb4ff926a2a0c3f101b133547edf251e77851d844b1ba4977f1c254ea8b9,6475776,0,0.25812020574154165,21568,False,6497344,25171776,True,True,Q+L,0.258,not_applicable
402,28224,6497344,51499200,6465984,artifacts/Q_S_L_QL_budget.hrc,3.8741639660759843,selected_linear_weights_only,e2fc1d123cc4486f7fcf332a82499e9fd309c8bbef19adfe2f935c00f8c11606,6437400,31360,0.25812020574154165,59944,False,6497344,25171776,True,True,Q+S+L_QL_budget,0.258,True
402,28224,6497344,51499200,6465984,artifacts/Q_S_L_QL_budget_component_scale.hrc,3.8741639660759843,selected_linear_weights_only,9f65d9883cee9c51bbb2726ec8ed2b44f0985d46ec5dc2ac0966e578fa233041,6437400,31360,0.25812020574154165,59944,False,6497344,25171776,True,True,Q+S+L_QL_budget_component_scale,0.258,True
1126,28224,6507456,51825024,6507456,artifacts/Q_S_L.hrc,3.8681438645147965,selected_linear_weights_only,fd07dbba6fdc6344ff91e2ddaec3eac49f499345f81eaa710cb561f54012a236,6478128,0,0.258521925508951,29328,False,6497344,25171776,True,False,Q+S+L,0.258,not_applicable
1126,28224,6507456,51825024,6507456,artifacts/Q_S_OBS_L.hrc,3.8681438645147965,selected_linear_weights_only,b078979ba8f22e92c4917183499923b56ca2bc9b7266127f1423db59c498637f,6478128,0,0.258521925508951,29328,False,6497344,25171776,True,False,Q+S_OBS+L,0.258,not_applicable
1126,28224,6507456,51825024,6507456,artifacts/Q_S_L_component_scale.hrc,3.8681438645147965,selected_linear_weights_only,f217430424517117f4649c955b3299e22c58381cccd980ae7013b82c2440f9ba,6478128,0,0.258521925508951,29328,False,6497344,25171776,True,False,Q+S+L_component_scale,0.258,not_applicable
