activation_reconstruction_error,added_bits_over_q,added_scalars_over_q,all_requested_components_active,allocation_id,allocation_source,artifact_file_bytes,base_codes_padding_bits,base_codes_raw_bits,base_codes_stored_bits,base_scales_padding_bits,base_scales_raw_bits,base_scales_stored_bits,baseline_hessian_energy,both_s_and_l_active,cancellation_gain_ql_over_q,cancellation_gain_qs_over_q,cols,comparison_budget_bits,comparison_budget_file_bytes,component_scale_labels,component_scale_multipliers,compression_ratio,folded_repair_dof,folded_zero_bit_hessian_gain,fp16_accumulation_rounding_l2,hessian_cost,hessian_cross_ql,hessian_cross_qs,hessian_cross_sl,hessian_decomposition_residual,hessian_gain_over_q,hessian_gain_per_added_bit,hessian_gain_per_added_scalar,hessian_recovery_fraction_over_q,hessian_self_l,hessian_self_q,hessian_self_s,joint_component_constraint,l_active,layer,logical_max_sparse_nnz_before_serialized_cap,lowrank_factors_padding_bits,lowrank_factors_raw_bits,lowrank_factors_stored_bits,lowrank_rank,lowrank_scales_padding_bits,lowrank_scales_raw_bits,lowrank_scales_stored_bits,metadata_padding_bits,metadata_raw_bits,metadata_stored_bits,normalized_hessian_cost,obs_applied,obs_continuous_cost,obs_fp16_rounding_cost_gap,obs_reason,obs_relative_stationarity_continuous,obs_relative_stationarity_stored,obs_rhs_null_residual_max,obs_stored_cost,obs_unique_support_count,payload_bits,payload_ratio,q_active,q_col_block_size,q_reference_bits,q_reference_cost,q_scale_count,rate_cap_strategy,reference_bits,repair_padding_bits,repair_raw_bits,repair_stored_bits,rho_ql,rho_ql_kind,rho_qs,rho_qs_kind,rho_sl,rho_sl_kind,rows,s_active,scale_col_block_size,scale_cost_after_continuous,scale_cost_before_continuous,scale_gram_condition,scale_gram_rank,scale_groups_per_row,scale_max_basis_stationarity,scale_multiplier_applied,scale_multiplier_continuous,scale_repair_kind,search_family,selected_within_layer_target,serialized_alignment_guard_bytes,serialized_allocation_budget_file_bytes,serialized_rate_cap_satisfied,sparse_fraction,sparse_nnz,sparse_scales_padding_bits,sparse_scales_raw_bits,sparse_scales_stored_bits,sparse_support_padding_bits,sparse_support_raw_bits,sparse_support_stored_bits,sparse_values_padding_bits,sparse_values_raw_bits,sparse_values_stored_bits,strategy,support_encoding,target_gap,target_ratio,token_risk_p95,under_target,worst_token_risk
0.01134521048516035,0,0,True,,,,0,4194304,4194304,0,8192,8192,25.921525955200195,,nan,nan,2048,,,,,3.992202729044834,1,0.002269059419631958,0.0,0.14665469527244568,0.0,0.0,0.0,2.9802322387695312e-08,0.002269059419631958,nan,nan,0.015236383371635917,0.0,0.1466546654701233,0.0,,False,gpt_neox.layers.0.mlp.dense_4h_to_h,,0,0,0,0,0,0,0,0,0,0,0.011315282559052033,,,,,,,,,,4202496,0.25048828125,True,0,4202496,0.14892375469207764,512,,16777216,0,0,0,nan,inactive,nan,inactive,nan,inactive,512,False,,0.14664875278431547,0.1489237640083097,,1,,0.0,0.9868508105697333,0.9868508105697333,global_folded_into_fp16_q_scales,selected_endpoint,True,,,,0.0,0,0,0,0,0,0,0,0,0,0,Q_global_scale,empty,-0.007511718750000007,0.258,0.014305992051959038,True,0.021623937413096428
0.007737287320196629,122880,7680,True,,,,0,4194304,4194304,0,131072,131072,25.921525955200195,,nan,nan,2048,,,,,3.878787878787879,8192,0.0,0.0,0.10286994278430939,0.0,0.0,0.0,-7.450580596923828e-09,0.04605381190776825,3.7478688075983275e-07,5.996590092157324e-06,0.3092442303982428,0.0,0.10286995023488998,0.0,,False,gpt_neox.layers.0.mlp.dense_4h_to_h,,0,0,0,0,0,0,0,0,0,0,0.00793702831863356,,,,,,,,,,4325376,0.2578125,True,128,4202496,0.14892375469207764,8192,,16777216,0,0,0,nan,inactive,nan,inactive,nan,inactive,512,False,128,0.10287085813350419,0.1489237640083097,,,16,7.783836237768755e-05,,,row_x_column_block_fp16_scales,selected_endpoint,True,,,,0.0,0,0,0,0,0,0,0,0,0,0,Q_block_scale,empty,-0.0001875000000000071,0.258,0.01196780614554882,True,0.015599008649587631
0.010386187583208084,126016,3425,True,,,,0,4194304,4194304,0,8192,8192,25.921525955200195,,nan,0.20075706409210795,2048,,,,,3.8759777031922287,0,0.0,0.0,0.13453185558319092,0.0,-0.02989748679101467,0.0,4.936009645462036e-08,0.014391899108886719,1.1420691903319196e-07,4.202014338361086e-06,0.09663937857760936,0.0,0.14892370998859406,0.01550558302551508,,False,gpt_neox.layers.0.mlp.dense_4h_to_h,,0,0,0,0,0,0,0,0,0,0,0.010379933327667547,,,,,,,,,,4328512,0.2579994201660156,True,0,4202496,0.14892375469207764,512,,16777216,0,0,0,nan,inactive,-0.3110847439605802,repair_cancellation,nan,inactive,512,True,,,,,,,,,,,selected_endpoint,True,,,,0.0032663345336914062,3425,0,0,0,0,71216,71216,0,54800,54800,Q+S,csr_fixed,-5.798339843821054e-07,0.258,0.01402061153203249,True,0.019902892410755157
0.00908734742552042,126016,3425,True,,,,0,4194304,4194304,0,8192,8192,25.921525955200195,,nan,0.4062750087502484,2048,,,,,3.8759777031922287,3425,0.0,0.0005206738715060055,0.11867242306470871,0.0,-0.06050338223576546,0.0,2.7939677238464355e-08,0.030251331627368927,2.400594498108885e-07,8.832505584633263e-06,0.203133017226957,0.0,0.14892223477363586,0.030253542587161064,,False,gpt_neox.layers.0.mlp.dense_4h_to_h,,0,0,0,0,0,0,0,0,0,0,0.00915628372109023,True,0.11867240091317387,-2.0020694824207652e-10,,8.267248064137058e-17,2.4150999650860588e-05,3.1378735948576812e-15,0.11867240071296692,376,4328512,0.2579994201660156,True,0,4202496,0.14892375469207764,512,,16777216,0,0,0,nan,inactive,-0.4506939900630841,repair_cancellation,nan,inactive,512,True,,,,,,,,,,,selected_endpoint,True,,,,0.0032663345336914062,3425,0,0,0,0,71216,71216,0,54800,54800,Q+S_OBS,csr_fixed,-5.798339843821054e-07,0.258,0.012506095692515373,True,0.018833978101611137
0.008100570179522038,122880,7680,True,,,,0,4194304,4194304,0,8192,8192,25.921525955200195,,0.5799968843511987,nan,2048,,,,,3.878787878787879,0,0.0,0.004316744394600391,0.10573940724134445,-0.08638053387403488,0.0,0.0,-1.862645149230957e-08,0.043184347450733185,3.514351192279719e-07,5.62296190764755e-06,0.2899762199792998,0.043187204748392105,0.14893275499343872,0.0,,True,gpt_neox.layers.0.mlp.dense_4h_to_h,,0,122880,122880,3,0,0,0,0,0,0,0.00815842457917735,,,,,,,,,,4325376,0.2578125,True,0,4202496,0.14892375469207764,512,,16777216,0,0,0,-0.538534125672911,repair_cancellation,nan,inactive,nan,inactive,512,False,,,,,,,,,,,selected_endpoint,True,,,,0.0,0,0,0,0,0,0,0,0,0,0,Q+L,empty,-0.0001875000000000071,0.258,0.011285745538771152,True,0.014566791243851185
0.008123123086988926,126016,5985,True,,,,0,4194304,4194304,0,8192,8192,25.921525955200195,,0.4805595925869297,0.09565600261647664,2048,,,,,3.8759777031922287,0,0.0,0.004315122030675411,0.10656830668449402,-0.07156307250261307,-0.01424472127109766,0.0011573871597647667,-4.190951585769653e-08,0.04235544800758362,3.361116684197532e-07,7.076933668769193e-06,0.2844102883059852,0.035202689468860626,0.1489161252975464,0.007099940441548824,both_S_and_L_required,True,gpt_neox.layers.0.mlp.dense_4h_to_h,,0,81920,81920,2,0,0,0,0,0,0,0.008222379104430388,,,,,,,,,,4328512,0.2579994201660156,True,0,4202496,0.14892375469207764,512,,16777216,0,0,0,-0.4941971045423345,repair_cancellation,-0.21904116641567317,repair_cancellation,0.03660440814260857,hessian_orthogonal,512,True,,,,,,,,,,,selected_endpoint,True,,,,0.0008249282836914062,865,0,0,0,0,30256,30256,0,13840,13840,Q+S+L,csr_fixed,-5.798339843821054e-07,0.258,0.011263536289334297,True,0.014701556414365768
0.008221718482673168,112672,5568,True,,,,0,4194304,4194304,0,8192,8192,25.921525955200195,,0.4920186369058406,0.06126065281603375,2048,4325376,542720,,,3.8879635740717395,0,0.0,0.004315617494285107,0.10779517889022827,-0.07327044010162354,-0.009122814983129501,0.0005702446796931326,1.6239937394857407e-08,0.041128575801849365,3.650292512944597e-07,7.386597665562027e-06,0.276172031029495,0.03635106235742569,0.148918017745018,0.004349092952907085,both_S_and_L_required,True,gpt_neox.layers.0.mlp.dense_4h_to_h,,0,81920,81920,2,0,0,0,0,0,0,0.00831703959686086,,,,,,,,,,4315168,0.2572040557861328,True,0,4202496,0.14892375469207764,512,per_layer_exact_Q+L_serialized_bytes,16777216,0,0,0,-0.4979280902232961,repair_cancellation,-0.17923627238104994,repair_cancellation,0.02267636023960612,hessian_orthogonal,512,True,,,,,,,,,,,selected_endpoint,True,64,542656,,0.00042724609375,448,0,0,0,0,23584,23584,0,7168,7168,Q+S+L_QL_budget,csr_fixed,-0.0007959442138671946,0.258,0.011394159868359566,True,0.014665298163890839
0.00815850030630827,112672,5568,True,,,,0,4194304,4194304,0,8192,8192,25.921525955200195,,0.48589728813418437,0.05883205847956417,2048,4325376,542720,q+s+l,"{""l"": 0.9873836323982608, ""q"": 0.9919997873820952, ""s"": 0.9650046497168661}",3.8879635740717395,3,0.0,0.004283765330910683,0.10695846378803253,-0.07142726331949234,-0.008648356422781944,0.0005434242775663733,5.972106009721756e-08,0.041965290904045105,3.7245536516654633e-07,7.536869774433388e-06,0.28179044364557343,0.03543981909751892,0.1470007449388504,0.004050035495311022,,True,gpt_neox.layers.0.mlp.dense_4h_to_h,,0,81920,81920,2,0,0,0,0,0,0,0.008252482046997335,,,,,,,,,,4315168,0.2572040557861328,True,0,4202496,0.14892375469207764,512,per_layer_exact_Q+L_serialized_bytes,16777216,0,0,0,-0.4947986421525813,repair_cancellation,-0.17722068121729415,repair_cancellation,0.022679521013146693,hessian_orthogonal,512,True,,0.1069592752967535,0.10779518021547452,3032.4487363203343,3,,5.54360465985857e-17,,,component_multipliers_folded_into_existing_fp16_storage,selected_endpoint,True,64,542656,,0.00042724609375,448,0,0,0,0,23584,23584,0,7168,7168,Q+S+L_QL_budget_component_scale,csr_fixed,-0.0007959442138671946,0.258,0.011354148387908936,True,0.014696096070110798
0.007808254566043615,126016,5985,True,,same_rank_and_support_as_selected_Q+S+L,,0,4194304,4194304,0,8192,8192,25.921525955200195,,0.42940417955441995,0.2045386129295384,2048,,,,,3.8759777031922287,865,0.0,0.004315658938139677,0.10276642441749573,-0.06394771486520767,-0.030460292473435402,0.0020957242231816053,1.0919757187366486e-07,0.04615733027458191,3.6628150611495294e-07,7.712168801099734e-06,0.3099393402350026,0.03092564083635807,0.14892196655273438,0.015230990946292877,,True,gpt_neox.layers.0.mlp.dense_4h_to_h,,0,81920,81920,2,0,0,0,0,0,0,0.00792904126054195,True,0.1336939293999427,4.08699576959215e-09,,7.55982413458901e-17,2.7367423259551483e-05,1.4469379427132316e-15,0.13369393348693848,83,4328512,0.2579994201660156,True,0,4202496,0.14892375469207764,512,,16777216,0,0,0,-0.47114685775315374,repair_cancellation,-0.31978685810547935,repair_cancellation,0.048281494376644765,hessian_orthogonal,512,True,,,,,,,,,,,selected_endpoint,True,,,,0.0008249282836914062,865,0,0,0,0,30256,30256,0,13840,13840,Q+S_OBS+L,csr_fixed,-5.798339843821054e-07,0.258,0.01114613190293312,True,0.013734305277466774
0.008063036948442459,126016,5985,True,,,,0,4194304,4194304,0,8192,8192,25.921525955200195,,0.4772033600105076,0.08415992186974264,2048,,,q+s+l,"{""l"": 0.9910060489551636, ""q"": 0.9923434016102384, ""s"": 0.8942505770197094}",3.8759777031922287,3,0.0,0.004284433554857969,0.10576893389225006,-0.07016389071941376,-0.01237415336072445,0.0010259175905957818,-4.854518920183182e-08,0.043154820799827576,3.4245509141559464e-07,7.210496374240196e-06,0.28977795308113663,0.03457207977771759,0.14703142642974854,0.005677602719515562,,True,gpt_neox.layers.0.mlp.dense_4h_to_h,,0,81920,81920,2,0,0,0,0,0,0,0.008160702736023259,,,,,,,,,,4328512,0.2579994201660156,True,0,4202496,0.14892375469207764,512,,16777216,0,0,0,-0.49205746998455224,repair_cancellation,-0.21414005660123672,repair_cancellation,0.03661316116877645,hessian_orthogonal,512,True,,0.1057626450355054,0.10656830674914779,1869.0687293486978,3,,7.216554871805158e-19,,,component_multipliers_folded_into_existing_fp16_storage,selected_endpoint,True,,,,0.0008249282836914062,865,0,0,0,0,30256,30256,0,13840,13840,Q+S+L_component_scale,csr_fixed,-5.798339843821054e-07,0.258,0.011228229850530624,True,0.01472650095820427
