activation_reconstruction_error,added_bits_over_q,artifact_alignment_padding_bytes,artifact_container_bytes,artifact_file_bytes,artifact_logical_payload_bits,artifact_natural_file_bytes,artifact_path,artifact_physical_compression_ratio,artifact_scope,artifact_sha256,artifact_stream_bytes,artifact_tail_padding_bytes,artifact_to_reference_file_ratio,artifact_total_overhead_bytes,baseline_hessian_energy,cancellation_gain_ql_over_q,cancellation_gain_qs_over_q,comparison_budget_bits,compression_ratio,folded_repair_dof,folded_zero_bit_hessian_gain,heldout_evaluated,heldout_nll,heldout_perplexity,heldout_tokens,hessian_cost,hessian_cross_ql,hessian_cross_qs,hessian_cross_sl,hessian_gain_over_q,hessian_gain_per_added_bit,hessian_recovery_fraction_over_q,hessian_self_l,hessian_self_q,hessian_self_s,layers,layers_both_s_l_active,layers_l_active,layers_s_active,lowrank_rank_sum,nll_delta,normalized_hessian_cost,paired_window_count,paired_window_nll_delta_ci95_high,paired_window_nll_delta_ci95_low,paired_window_nll_delta_mean,paired_window_nll_delta_se,payload_bits,payload_ratio,perplexity_delta,production_backend,q_reference_hessian_cost,q_reference_payload_bits,q_scale_count,ql_budget_file_bytes,rate_cap_satisfied,rate_cap_strategy,reference_artifact_file_bytes,reference_bits,rho_ql,rho_ql_kind,rho_qs,rho_qs_kind,rho_sl,rho_sl_kind,roundtrip_exact_fp16_endpoint,same_physical_bytes_as_ql,sparse_nnz,strategy,strict_rate_match,target_gap,target_ratio,token_risk_p95,under_ql_serialized_cap_before_padding,under_target,worst_token_risk
0.009615361789885741,0,51,12608,6334784,50577408,6334784,artifacts/Q.hrc,3.973580788232085,selected_linear_weights_only,1df209a4b25315c7e16c5ece52b4de28b5053a2d7409a0140b7cc9978c91bbeb,6322176,0,0.2516621791009105,12608,20983.454626083374,nan,nan,0,3.9805636540330416,0.0,0.0,True,4.907656692144439,135.32194161667428,1016,100.84902322292328,0.0,0.0,0.0,0.0,nan,0.0,0.0,100.84903092682362,0.0,12,0,0,0,0,0.3837601068451644,0.009612242123140527,8,0.43252849902631846,0.3349917146640114,0.38376010684516493,0.024881832745486505,50577408.0,0.251220703125,43.12780030380023,False,100.84902322292328,50577408,15360.0,6497344,not_applicable,,25171776,201326592.0,nan,inactive,nan,inactive,nan,inactive,True,False,0.0,Q,False,-0.006779296875000007,0.258,0.18174564838409424,not_applicable,True,0.24803301692008972
0.00945875005549075,0,51,12608,6334784,50577408,6334784,artifacts/Q_global_scale.hrc,3.973580788232085,selected_linear_weights_only,e415bc4e1546f92ebbde4e5844d21281f1e5c0d2caf20f3b80b0ebdc0523735d,6322176,0,0.2516621791009105,12608,20983.454626083374,nan,nan,0,3.9805636540330416,12.0,1.5643271505832672,True,4.903559466985267,134.76863144511861,1016,99.28469607234001,0.0,0.0,0.0,1.5643271505832672,nan,0.015511574634940947,0.0,99.2846953868866,0.0,12,0,0,0,0,0.3796628816859924,0.009463141112038309,8,0.4199358545164793,0.3393899088555066,0.37966288168599294,0.020547435117595075,50577408.0,0.251220703125,42.57449013224456,False,100.84902322292328,50577408,15360.0,6497344,not_applicable,,25171776,201326592.0,nan,inactive,nan,inactive,nan,inactive,True,False,0.0,Q_global_scale,False,-0.006779296875000007,0.258,0.17813226580619812,not_applicable,True,0.2444618195295334
0.0059549529081890235,1327104,3,12608,6500672,51904512,6500672,artifacts/Q_block_scale.hrc,3.872180599174978,selected_linear_weights_only,defa770883d1bd5730df66f4506b5bd8d7ed3b471fc0040fc71c1201100fcc67,6488064,0,0.2582524173105624,12608,20983.454626083374,nan,nan,0,3.878787878787879,98304.0,0.0,True,4.806042708749846,122.24689249276818,1016,62.68321569263935,0.0,0.0,0.0,38.16580753028393,2.8758716370596373e-05,0.3784449894563652,0.0,62.68322917073965,0.0,12,0,0,0,0,0.28214612345057155,0.005974537254196581,8,0.3153406910859112,0.24895155581523307,0.2821461234505721,0.016936003895581146,51904512.0,0.2578125,30.05275117989413,False,100.84902322292328,50577408,98304.0,6497344,not_applicable,,25171776,201326592.0,nan,inactive,nan,inactive,nan,inactive,True,False,0.0,Q_block_scale,True,-0.0001875000000000071,0.258,0.1250646412372589,not_applicable,True,0.17698435485363007
0.007049240973347381,1364736,2190,25984,6520898,51942144,6520898,artifacts/Q_S.hrc,3.8601701790152214,selected_linear_weights_only,066134f08ff4d0f8e82385e6946cab9d39dafe4887cb5c855bc4174f5a7f045c,6492768,0,0.259055936299449,28130,20983.454626083374,nan,0.5277696582886707,0,3.8759777031922287,0.0,0.0,True,4.777069332092766,118.75580573180687,1016,73.88428097963333,0.0,-53.225058590993285,0.0,26.964742243289948,1.9758211290161575e-05,0.26737732683523685,0.0,100.84903092682362,26.26031601522118,12,0,0,12,0,0.2531727467934912,0.007042146519362151,8,0.3013040439921607,0.2050414495948224,0.25317274679349155,0.024556784285035275,51942144.0,0.2579994201660156,26.56166441893282,False,100.84902322292328,50577408,15360.0,6497344,not_applicable,,25171776,201326592.0,nan,inactive,-0.5171306915817921,repair_cancellation,nan,inactive,True,False,27276.0,Q+S,True,-5.798339843821054e-07,0.258,0.09238282591104507,not_applicable,True,0.10891299694776535
0.006108973285552326,1364736,2190,25984,6520898,51942144,6520898,artifacts/Q_S_OBS.hrc,3.8601701790152214,selected_linear_weights_only,c223c734a7f786ff4be21dc08ddb4972d5c181aa179651081482b4f3a8f680fb,6492768,0,0.259055936299449,28130,20983.454626083374,nan,0.728298337443604,0,3.8759777031922287,27276.0,0.0,True,4.7512352710633765,115.72715067028487,1016,64.12488307803869,0.0,-73.44858093932271,0.0,36.724140144884586,2.6909336417361738e-05,0.36414968604809533,0.0,100.84957930445671,36.72389136068523,12,0,0,12,0,0.227338685764102,0.006111947171780627,8,0.2752365915735747,0.17944077995463023,0.2273386857641025,0.024437707045649112,51942144.0,0.2579994201660156,23.53300935741082,False,100.84902322292328,50577408,15360.0,6497344,not_applicable,,25171776,201326592.0,nan,inactive,-0.6034510139462389,repair_cancellation,nan,inactive,True,False,27276.0,Q+S_OBS,True,-5.798339843821054e-07,0.258,0.07583747804164886,not_applicable,True,0.08582323789596558
0.004794165654535848,1228800,31,21568,6497344,51806208,6497344,artifacts/Q_L.hrc,3.8741639660759843,selected_linear_weights_only,1c14fb4ff926a2a0c3f101b133547edf251e77851d844b1ba4977f1c254ea8b9,6475776,0,0.25812020574154165,21568,20983.454626083374,1.0097814109785703,nan,0,3.886148007590133,0.0,0.0,True,4.720178138552688,112.18823593783956,1016,49.9387933537364,-101.83603244274855,0.0,0.0,50.91022986918688,4.143085113052318e-05,0.5048162911469314,50.92520988360047,100.84958124160767,0.0,12,0,12,0,30,0.19628155325341368,0.004759825704930421,8,0.2382502637870722,0.15431284271975593,0.19628155325341407,0.021412607415131703,51806208.0,0.25732421875,19.994094624965513,False,100.84902322292328,50577408,15360.0,6497344,not_applicable,,25171776,201326592.0,-0.7105064285104167,repair_cancellation,nan,inactive,nan,inactive,True,True,0.0,Q+L,True,-0.0006757812500000071,0.258,0.07929199934005737,not_applicable,True,0.08823869377374649
0.0053279595245681695,921792,402,28224,6497344,51499200,6465984,artifacts/Q_S_L_QL_budget.hrc,3.8741639660759843,selected_linear_weights_only,e2fc1d123cc4486f7fcf332a82499e9fd309c8bbef19adfe2f935c00f8c11606,6437400,31360,0.25812020574154165,59944,20983.454626083374,0.6858459725713215,0.211623983317733,51806208,3.9093149408146144,0.0,0.0,True,4.729937936377338,113.28853103382566,1016,55.585159450769424,-69.16603380441666,-21.34180584177375,0.9730293872416951,45.263863772153854,4.910420547385295e-05,0.44882798390718814,34.10598800331354,100.84776549041271,10.166242907755077,12,6,12,6,16,0.20604135107806343,0.005297998870183614,8,0.2428976646758265,0.16918503748030014,0.20604135107806332,0.018804241631511825,51499200.0,0.2557992935180664,21.09438972095161,False,100.84902322292328,50577408,15360.0,6497344,True,per_layer_exact_Q+L_serialized_bytes,25171776,201326592.0,-0.5896773133761646,repair_cancellation,-0.3332635281962848,repair_cancellation,0.026127653183122858,hessian_orthogonal,True,True,5248.0,Q+S+L_QL_budget,True,-0.002200706481933601,0.258,0.07658086717128754,True,True,0.0871523916721344
0.005285104713045969,921792,402,28224,6497344,51499200,6465984,artifacts/Q_S_L_QL_budget_component_scale.hrc,3.8741639660759843,selected_linear_weights_only,9f65d9883cee9c51bbb2726ec8ed2b44f0985d46ec5dc2ac0966e578fa233041,6437400,31360,0.25812020574154165,59944,20983.454626083374,0.6811798525306243,0.2129143042610867,51806208,3.9093149408146144,30.0,0.0,True,4.725594918558917,112.79758379290959,1016,55.16433446109295,-67.95782471448183,-21.24136953614652,0.9707731249509379,45.68468876183033,4.956073470135381e-05,0.4530008055789088,33.49137690663338,99.76487775146961,10.13650879682973,12,6,12,6,16,0.20169833325964248,0.005257888697938347,8,0.23494910429225516,0.16844756222702992,0.20169833325964254,0.016964679098271748,51499200.0,0.2557992935180664,20.60344248003554,False,100.84902322292328,50577408,15360.0,6497344,True,per_layer_exact_Q+L_serialized_bytes,25171776,201326592.0,-0.5878332321688294,repair_cancellation,-0.33397924653365935,repair_cancellation,0.02634371667410185,hessian_orthogonal,True,True,5248.0,Q+S+L_QL_budget_component_scale,True,-0.002200706481933601,0.258,0.07261282205581665,True,True,0.08202937245368958
0.004785595180096113,1247616,1126,28224,6507456,51825024,6507456,artifacts/Q_S_L.hrc,3.8681438645147965,selected_linear_weights_only,fd07dbba6fdc6344ff91e2ddaec3eac49f499345f81eaa710cb561f54012a236,6478128,0,0.258521925508951,29328,20983.454626083374,0.8266449591010523,0.18602981849992273,0,3.8847370721912258,0.0,0.0,True,4.726740679402989,112.92689691453467,1016,49.795994997024536,-83.36656830459833,-18.760977611877024,0.9480924466624856,51.05302822589874,4.092046609365281e-05,0.5062322528701918,41.22003733366728,100.84930342435837,8.906088559888303,12,6,12,6,23,0.20284409410371484,0.0047462151380093425,8,0.24110578471877148,0.16458240348865932,0.2028440941037154,0.01952127072196739,51825024.0,0.2574176788330078,20.732755601660614,False,100.84902322292328,50577408,15360.0,6497344,not_applicable,,25171776,201326592.0,-0.6465041054804661,repair_cancellation,-0.3130008474789894,repair_cancellation,0.024741327376569203,hessian_orthogonal,True,False,6470.0,Q+S+L,True,-0.0005823211669921946,0.258,0.07601960003376007,not_applicable,True,0.08670719712972641
0.004802876968739802,1247616,1126,28224,6507456,51825024,6507456,artifacts/Q_S_OBS_L.hrc,3.8681438645147965,selected_linear_weights_only,b078979ba8f22e92c4917183499923b56ca2bc9b7266127f1423db59c498637f,6478128,0,0.258521925508951,29328,20983.454626083374,0.7320683345320514,0.28268995740986047,0,3.8847370721912258,6470.0,0.0,True,4.722688599834292,112.47023398489655,1016,49.961768835783005,-73.8297682851553,-28.50954353250563,0.541839268640615,50.887254387140274,4.078759360824186e-05,0.504588470576019,36.65424229390919,100.85092443227768,14.254062600433826,12,6,12,6,23,0.1987920145350177,0.004762015571418663,8,0.24117467065750056,0.15640935841253498,0.19879201453501777,0.021623804144123873,51825024.0,0.2574176788330078,20.2760926720225,False,100.84902322292328,50577408,15360.0,6497344,not_applicable,,25171776,201326592.0,-0.6071548168600078,repair_cancellation,-0.3759680982177463,repair_cancellation,0.011852474419606683,hessian_orthogonal,True,False,6470.0,Q+S_OBS+L,True,-0.0005823211669921946,0.258,0.07288286089897156,not_applicable,True,0.08712784200906754
