activation_rows,input_dim,layer,layer_short,mean_diag,trace
512,512,gpt_neox.layers.0.attention.dense,L0:dense,0.0584055557847023,29.903642654418945
512,512,gpt_neox.layers.0.attention.query_key_value,L0:query_key_value,0.9678942561149597,495.5618591308594
512,2048,gpt_neox.layers.0.mlp.dense_4h_to_h,L0:dense_4h_to_h,0.021517109125852585,44.06704330444336
512,512,gpt_neox.layers.0.mlp.dense_h_to_4h,L0:dense_h_to_4h,1.029079794883728,526.8888549804688
512,512,gpt_neox.layers.3.attention.dense,L3:dense,0.05641040578484535,28.88212776184082
512,512,gpt_neox.layers.3.attention.query_key_value,L3:query_key_value,2.7765393257141113,1421.5882568359375
512,2048,gpt_neox.layers.3.mlp.dense_4h_to_h,L3:dense_4h_to_h,0.09250430762767792,189.4488067626953
512,512,gpt_neox.layers.3.mlp.dense_h_to_4h,L3:dense_h_to_4h,1.313525915145874,672.5252685546875
512,512,gpt_neox.layers.5.attention.dense,L5:dense,0.6440328359603882,329.7447814941406
512,512,gpt_neox.layers.5.attention.query_key_value,L5:query_key_value,54.6656379699707,27988.80859375
512,2048,gpt_neox.layers.5.mlp.dense_4h_to_h,L5:dense_4h_to_h,0.45279863476753235,927.3316040039062
512,512,gpt_neox.layers.5.mlp.dense_h_to_4h,L5:dense_h_to_4h,2.0136914253234863,1031.010009765625
