family,n,spearman_rho,x,y
additivity,36,0.2296010296010296,abs_rho_h,abs_additivity_error
additivity_signed,36,0.019562419562419563,rho_h,additivity_error
real_ppl,36,0.18507078507078506,abs_rho_h,ppl_degradation_pair
real_zero_shot,36,0.03157092037824897,abs_rho_h,zero_shot_accuracy_degradation_pair
taylor,36,0.6839124839124839,taylor_predicted_loss_delta,loss_degradation_pair
frobenius_baseline,36,0.4126126126126126,frobenius_delta_sum,loss_degradation_pair
parameter_cosine_baseline,36,0.3014157014157014,abs_parameter_cosine,abs_additivity_error
activation_reconstruction_baseline,36,0.6718146718146718,activation_reconstruction_sum,loss_degradation_pair
trace_only_baseline,36,0.3588159588159588,trace_only_cost,loss_degradation_pair
order_gap,24,0.22956521739130434,max_abs_conditional_hessian_overlap,abs_loss_gap
order_gap_r_first_overlap,24,-0.3095652173913043,abs_r_first_conditional_hessian_overlap,abs_loss_gap
order_gap_non_r_first_overlap,24,0.3373913043478261,abs_non_r_first_conditional_hessian_overlap,abs_loss_gap
spectrum_order_entropy,24,0.3626086956521739,abs_first_spectral_entropy_delta,abs_loss_gap
spectrum_order_top1,24,0.32956521739130434,abs_first_top1_energy_delta,abs_loss_gap
spectrum_order_stable_rank,24,0.12869565217391304,abs_first_stable_rank_delta,abs_loss_gap
order_disagreement,24,0.6852173913043478,final_weight_disagreement,abs_loss_gap
