dataset_condition,dmd_count,dmd_decay_score,dmd_max_radius,dmd_mean_radius,dmd_rank,dmd_real_ratio,dmd_residual,dmd_rotation_score,kind,layer,max_abs_pc_autocorr,mean_abs_pc_autocorr,mean_pc_timescale,model,pc1_autocorr,revision,site,tau,variant
natural,,,,,,,,,lag,11,0.5462141068366314,0.18193447709029026,,gpt2,0.30096893504785893,,resid_post,1,pretrained
natural,,,,,,,,,lag,11,0.6004830404566686,0.10259553638416632,,gpt2,0.35034126415849365,,resid_post,2,pretrained
natural,,,,,,,,,lag,11,0.5864136061282441,0.08322330590844584,,gpt2,0.18529324359310154,,resid_post,4,pretrained
natural,,,,,,,,,lag,11,0.554085488025124,0.07255310732267312,,gpt2,0.1055208552142231,,resid_post,8,pretrained
natural,,,,,,,,,lag,11,0.49274067461025944,0.059841844064221335,,gpt2,0.11215547587779094,,resid_post,16,pretrained
natural,,,,,,,,,lag,11,0.4560245956231079,0.07298053984880515,,gpt2,0.17728378975207587,,resid_post,32,pretrained
natural,64,0.49284960723129445,0.9460438910728349,0.5071503927687055,64,0.09375,0.7285695924784229,1.2020546309379005,dmd,11,,,51.2637320072445,gpt2,,,resid_post,,pretrained
natural,,,,,,,,,lag,11,0.841267711697188,0.16321843432814906,,gpt2,0.841267711697188,,resid_post,1,random
natural,,,,,,,,,lag,11,0.8162392969131346,0.15894867195915668,,gpt2,0.8162392969131346,,resid_post,2,random
natural,,,,,,,,,lag,11,0.8180314209216424,0.15360406630204143,,gpt2,0.8180314209216424,,resid_post,4,random
natural,,,,,,,,,lag,11,0.8161428196207213,0.1393029404660429,,gpt2,0.8161428196207213,,resid_post,8,random
natural,,,,,,,,,lag,11,0.7802707772850117,0.13447661299651706,,gpt2,0.7802707772850117,,resid_post,16,random
natural,,,,,,,,,lag,11,0.690062724879665,0.12587509150283058,,gpt2,0.690062724879665,,resid_post,32,random
natural,64,0.6411668041898015,0.9328606023318862,0.35883319581019846,64,0.15625,0.8346750058151473,1.1867294671846444,dmd,11,,,217.1002469293239,gpt2,,,resid_post,,random
natural,,,,,,,,,lag,5,0.6401764202739773,0.16246047115650106,,EleutherAI/pythia-70m,0.6401764202739773,,resid_post,1,pretrained
natural,,,,,,,,,lag,5,0.5305509895920304,0.10185176686933438,,EleutherAI/pythia-70m,0.4636753291522254,,resid_post,2,pretrained
natural,,,,,,,,,lag,5,0.37261278678385895,0.07422246321442581,,EleutherAI/pythia-70m,0.15901507711344523,,resid_post,4,pretrained
natural,,,,,,,,,lag,5,0.32620339750082833,0.06461641321528125,,EleutherAI/pythia-70m,-0.060749636773581715,,resid_post,8,pretrained
natural,,,,,,,,,lag,5,0.2325643662521568,0.06715041543743386,,EleutherAI/pythia-70m,-0.07321348566383501,,resid_post,16,pretrained
natural,,,,,,,,,lag,5,0.21966738531590224,0.06676868919901804,,EleutherAI/pythia-70m,-0.03248415001102141,,resid_post,32,pretrained
natural,64,0.43141271164455947,0.9352849752893926,0.5685872883554406,64,0.125,0.6351944821438649,1.2566900757990354,dmd,5,,,638.6499951577111,EleutherAI/pythia-70m,,,resid_post,,pretrained
natural,,,,,,,,,lag,5,0.2649368159184351,0.09516230683844738,,EleutherAI/pythia-70m,0.19235246328266561,,resid_post,1,random
natural,,,,,,,,,lag,5,0.25894331080209465,0.09769457256290574,,EleutherAI/pythia-70m,-0.13424930188063663,,resid_post,2,random
natural,,,,,,,,,lag,5,0.280735801690078,0.08831809818076365,,EleutherAI/pythia-70m,-0.0648637212046549,,resid_post,4,random
natural,,,,,,,,,lag,5,0.21354775239125282,0.07668406114612886,,EleutherAI/pythia-70m,-0.16742408912937057,,resid_post,8,random
natural,,,,,,,,,lag,5,0.27171216252940794,0.08046120721156672,,EleutherAI/pythia-70m,0.13016510311015028,,resid_post,16,random
natural,,,,,,,,,lag,5,0.2981980937964735,0.0773324924237951,,EleutherAI/pythia-70m,-0.07142997465737898,,resid_post,32,random
natural,64,0.41604284542469666,0.8993745435008232,0.5839571545753033,64,0.09375,0.6177424454539379,1.5171409038454868,dmd,5,,,152.10504016842907,EleutherAI/pythia-70m,,,resid_post,,random
