model_id,model,job_id,strategy,epsilon,nll_delta,normalized_hessian_cost,taylor_fit_nll_delta,taylor_fit_absolute_error,small_epsilon_fit_max,inside_taylor_fit_interval,fit_is_extrapolation,hessian_proxy_nll_correlation,path_kind,deployable,eval_tokens,target_selected_weight_rate,evidence_role
pythia70m_full_mlp_pilot,Pythia-70M,pythia70m_full_mlp_pilot__seed17__rate0p258,Q,0,0,0,0,0,0.125,true,false,0.99925182628012366,noncodec_interpolation,false,1016,0.25800000000000001,scalability_smoke
pythia70m_full_mlp_pilot,Pythia-70M,pythia70m_full_mlp_pilot__seed17__rate0p258,Q,0.03125,-0.0005271791473155929,9.3869551983794212e-06,-0.00055056420079921105,2.3385053483618149e-05,0.125,true,false,0.99925182628012366,noncodec_interpolation,false,1016,0.25800000000000001,scalability_smoke
pythia70m_full_mlp_pilot,Pythia-70M,pythia70m_full_mlp_pilot__seed17__rate0p258,Q,0.0625,-0.00037822573203794008,3.7547820793517685e-05,-0.0003777757586039248,4.4997343401527445e-07,0.125,true,false,0.99925182628012366,noncodec_interpolation,false,1016,0.25800000000000001,scalability_smoke
pythia70m_full_mlp_pilot,Pythia-70M,pythia70m_full_mlp_pilot__seed17__rate0p258,Q,0.09375,0.00049558023768092596,8.4482596785414796e-05,0.00051836532658585885,2.2785088904932888e-05,0.125,true,false,0.99925182628012366,noncodec_interpolation,false,1016,0.25800000000000001,scalability_smoke
pythia70m_full_mlp_pilot,Pythia-70M,pythia70m_full_mlp_pilot__seed17__rate0p258,Q,0.125,0.0021493265947949425,0.00015019128317407074,0.0021378590547701396,1.1467540024802901e-05,0.125,true,false,0.99925182628012366,noncodec_interpolation,false,1016,0.25800000000000001,scalability_smoke
pythia70m_full_mlp_pilot,Pythia-70M,pythia70m_full_mlp_pilot__seed17__rate0p258,Q,0.1875,0.0077800900917353033,0.00033793038714165918,0.007546904440122194,0.00023318565161310929,0.125,false,true,0.99925182628012366,noncodec_interpolation,false,1016,0.25800000000000001,scalability_smoke
pythia70m_full_mlp_pilot,Pythia-70M,pythia70m_full_mlp_pilot__seed17__rate0p258,Q,0.25,0.01641341081754355,0.00060076513269628296,0.015849360397452238,0.0005640504200913124,0.125,false,true,0.99925182628012366,noncodec_interpolation,false,1016,0.25800000000000001,scalability_smoke
pythia70m_full_mlp_pilot,Pythia-70M,pythia70m_full_mlp_pilot__seed17__rate0p258,Q,0.375,0.043095926600178025,0.0013517215485666367,0.04113450402804629,0.0019614225721317352,0.125,false,true,0.99925182628012366,noncodec_interpolation,false,1016,0.25800000000000001,scalability_smoke
pythia70m_full_mlp_pilot,Pythia-70M,pythia70m_full_mlp_pilot__seed17__rate0p258,Q,0.5,0.082765083613357326,0.0024030605307851318,0.077993289946552302,0.0047717936668050243,0.125,false,true,0.99925182628012366,noncodec_interpolation,false,1016,0.25800000000000001,scalability_smoke
pythia70m_full_mlp_pilot,Pythia-70M,pythia70m_full_mlp_pilot__seed17__rate0p258,Q,0.625,0.13632274237204722,0.0037547820793517686,0.12642571815297027,0.0098970242190769553,0.125,false,true,0.99925182628012366,noncodec_interpolation,false,1016,0.25800000000000001,scalability_smoke
