model_id,model,model_scale,scope_id,scope_claim,job_id,seed,target_selected_weight_rate,selected_tensors,selected_parameters,model_parameters,eval_tokens,baseline_nll,baseline_perplexity,strategy,artifact_file_bytes,artifact_natural_file_bytes,artifact_tail_padding_bytes,reference_artifact_file_bytes,selected_weight_physical_rate,selected_weight_physical_compression_ratio,physical_bits_per_selected_parameter,added_physical_bits_per_selected_parameter_vs_q,heldout_nll,nll_delta,heldout_perplexity,perplexity_delta,nll_recovery_vs_q,nll_recovery_per_added_physical_bit_per_parameter,physical_efficiency_kind,normalized_hessian_cost,rho_sl,rho_qs,rho_ql,rho_sl_kind,rho_qs_kind,rho_ql_kind,sl_near_orthogonal,sparse_nnz,lowrank_rank_sum,folded_repair_dof,strict_equal_bytes_to_ql,artifact_sha256
pythia70m_full_mlp_pilot,Pythia-70M,70M,full_mlp_weights,"all transformer-block MLP projection weights; embeddings, attention, and output head remain dense",pythia70m_full_mlp_pilot__seed17__rate0p258,17,0.25800000000000001,12,12582912,70426624,1016,4.5238965852992745,92.194141312874052,Q+S+L_component_scale,6507456,6507456,0,25171776,0.25852192550895098,3.8681438645147965,4.1373291015625,0.10978190104166667,4.7231945127952759,0.19929792749600139,112.52714852968339,20.333007216809335,0.18446217934916298,1.6802603853539768,positive_exact_file_increment,0.0047133208730251869,0.024907458304750114,-0.3135385447220515,-0.64510885659033357,hessian_orthogonal,repair_cancellation,repair_cancellation,true,6470,23,30,false,f217430424517117f4649c955b3299e22c58381cccd980ae7013b82c2440f9ba
opt125m_depth_mlp_pilot,OPT-125M,125M,five_depth_mlp_weights,five depth-stratified transformer blocks; only fc1/fc2 MLP projection weights are charged and perturbed,opt125m_depth_mlp_pilot__seed17__rate0p258,17,0.25800000000000001,10,23592960,125239296,1016,4.0257801146019165,56.023996876589251,Q,11844800,11844800,0,47190592,0.25099918220987777,3.9840767256517626,4.0163845486111107,0,4.1552544541246306,0.12947433952271403,63.768188562191561,7.7441916856023099,0,,reference_endpoint,0.0058475513203317788,,,,inactive,inactive,inactive,,0,0,0,false,be0919c4574a61e48276322952fbf86c71c37c03e66addf0fbafdef9e002a55e
opt125m_depth_mlp_pilot,OPT-125M,125M,five_depth_mlp_weights,five depth-stratified transformer blocks; only fc1/fc2 MLP projection weights are charged and perturbed,opt125m_depth_mlp_pilot__seed17__rate0p258,17,0.25800000000000001,10,23592960,125239296,1016,4.0257801146019165,56.023996876589251,Q_global_scale,11844800,11844800,0,47190592,0.25099918220987777,3.9840767256517626,4.0163845486111107,0,4.1421282910925195,0.11634817649060292,62.936626472189189,6.9126295955999382,0.013126163032111116,,zero_byte_folded_recovery,0.0057617352765052957,,,,inactive,inactive,inactive,,0,0,10,false,751fe998a53c0c6d5b1f3b7f189b6b308f55426758b3185df7e5b631c1387f63
opt125m_depth_mlp_pilot,OPT-125M,125M,five_depth_mlp_weights,five depth-stratified transformer blocks; only fc1/fc2 MLP projection weights are charged and perturbed,opt125m_depth_mlp_pilot__seed17__rate0p258,17,0.25800000000000001,10,23592960,125239296,1016,4.0257801146019165,56.023996876589251,Q_block_scale,12156672,12156672,0,47190592,0.25760795711145135,3.8818676690462652,4.1221354166666666,0.10575086805555556,4.0862289789154778,0.060448864313561224,59.515035548060311,3.4910386714710597,0.069025475209152809,0.65271781195111045,positive_exact_file_increment,0.0033677333088423579,,,,inactive,inactive,inactive,,0,0,175104,false,dca11753350ac5cc9fa03a64f7a9de33e682b77550d302575dfc6869f09d1b64
opt125m_depth_mlp_pilot,OPT-125M,125M,five_depth_mlp_weights,five depth-stratified transformer blocks; only fc1/fc2 MLP projection weights are charged and perturbed,opt125m_depth_mlp_pilot__seed17__rate0p258,17,0.25800000000000001,10,23592960,125239296,1016,4.0257801146019165,56.023996876589251,Q+S,12195064,12195064,0,47190592,0.25842150910079703,3.8696469325622234,4.1351535373263886,0.11876898871527777,4.1337954003041188,0.10801528570220231,62.414361447953397,6.3903645713641453,0.02145905382051172,0.18067893018736589,positive_exact_file_increment,0.0042023912472417277,,-0.53225520571704599,,inactive,repair_cancellation,inactive,,65560,0,0,false,fa1d2a79fc9199f1c3da1d6fc13c4d82faa6065f10007ebc78c2cf768f6e6bee
opt125m_depth_mlp_pilot,OPT-125M,125M,five_depth_mlp_weights,five depth-stratified transformer blocks; only fc1/fc2 MLP projection weights are charged and perturbed,opt125m_depth_mlp_pilot__seed17__rate0p258,17,0.25800000000000001,10,23592960,125239296,1016,4.0257801146019165,56.023996876589251,Q+S_OBS,12195064,12195064,0,47190592,0.25842150910079703,3.8696469325622234,4.1351535373263886,0.11876898871527777,4.1256518326406404,0.099871718038723856,61.908149854074964,5.8841529774857122,0.029602621483990177,0.24924537797451382,positive_exact_file_increment,0.0033445299636001191,,-0.65426347615757097,,inactive,repair_cancellation,inactive,,65560,0,65560,false,919787ec995c1d332841a34d7a534e208a40345cb74cb35f5816bc7677a548bf
opt125m_depth_mlp_pilot,OPT-125M,125M,five_depth_mlp_weights,five depth-stratified transformer blocks; only fc1/fc2 MLP projection weights are charged and perturbed,opt125m_depth_mlp_pilot__seed17__rate0p258,17,0.25800000000000001,10,23592960,125239296,1016,4.0257801146019165,56.023996876589251,Q+L,12158976,12158976,0,47190592,0.25765678040233103,3.881132095334344,4.1229166666666668,0.10653211805555556,4.0992670134296567,0.073486898827740177,60.296075182435139,4.2720783058458878,0.055987440694973856,0.52554517564155534,positive_exact_file_increment,0.002789477344355099,,,-0.72315769291276133,inactive,inactive,repair_cancellation,,0,40,0,false,54d0418cdf4a93edc1c151f0b3e91c7e6b072c8d5d5dc25095ba67dd9f7aafd8
opt125m_depth_mlp_pilot,OPT-125M,125M,five_depth_mlp_weights,five depth-stratified transformer blocks; only fc1/fc2 MLP projection weights are charged and perturbed,opt125m_depth_mlp_pilot__seed17__rate0p258,17,0.25800000000000001,10,23592960,125239296,1016,4.0257801146019165,56.023996876589251,Q+S+L_QL_budget,12158976,12158336,640,47190592,0.25765678040233103,3.881132095334344,4.1229166666666668,0.10653211805555556,4.1085658936988647,0.082785779096948175,60.859376141337734,4.8353792647484823,0.046688560425765857,0.43825806975336945,positive_exact_file_increment,0.0030903698009945042,0.084749484523881508,-0.3624189201233653,-0.61189705569673536,hessian_orthogonal,repair_cancellation,repair_cancellation,true,10528,23,0,false,7973830383f7dfb9d20990a7892c5715a179f557fec3cab29264e649537793fa
opt125m_depth_mlp_pilot,OPT-125M,125M,five_depth_mlp_weights,five depth-stratified transformer blocks; only fc1/fc2 MLP projection weights are charged and perturbed,opt125m_depth_mlp_pilot__seed17__rate0p258,17,0.25800000000000001,10,23592960,125239296,1016,4.0257801146019165,56.023996876589251,Q+S+L_QL_budget_component_scale,12158976,12158336,640,47190592,0.25765678040233103,3.881132095334344,4.1229166666666668,0.10653211805555556,4.1001975592665785,0.074417444664661936,60.352209557932959,4.3282126813437074,0.055056894858052097,0.51681029029518044,positive_exact_file_increment,0.0030722532067531004,0.087149066083204982,-0.36704225882563429,-0.61062154954604708,hessian_orthogonal,repair_cancellation,repair_cancellation,true,10528,23,30,true,3d04c8cd246233da6d2d0eaea2806f532c29de1ea15adc94a2bf53a4f716a58f
opt125m_depth_mlp_pilot,OPT-125M,125M,five_depth_mlp_weights,five depth-stratified transformer blocks; only fc1/fc2 MLP projection weights are charged and perturbed,opt125m_depth_mlp_pilot__seed17__rate0p258,17,0.25800000000000001,10,23592960,125239296,1016,4.0257801146019165,56.023996876589251,Q+S+L,12201984,12201984,0,47190592,0.25856814849875159,3.8674523749580394,4.1375000000000002,0.12111545138888889,4.1066032770111809,0.080823162409264349,60.740049648506229,4.7160527719169778,0.048651177113449684,0.40169257147245319,positive_exact_file_increment,0.0030509416675103098,0.079509509343347676,-0.37796555900425793,-0.6073747117581616,hessian_orthogonal,repair_cancellation,repair_cancellation,true,13720,27,0,false,158639907b02e5ace671fdc0180a07d08546392efa4604d00d43d4f95e0bc965
