family,n,spearman_rho,x,y
additivity,36,0.14491634491634492,abs_rho_h,abs_additivity_error
additivity_signed,36,0.2782496782496782,rho_h,additivity_error
real_ppl,36,0.17477477477477477,abs_rho_h,ppl_degradation_pair
real_zero_shot,36,-0.2753692602855177,abs_rho_h,zero_shot_accuracy_degradation_pair
taylor,36,0.7245817245817245,taylor_predicted_loss_delta,loss_degradation_pair
frobenius_baseline,36,0.5001287001287001,frobenius_delta_sum,loss_degradation_pair
parameter_cosine_baseline,36,0.2416988416988417,abs_parameter_cosine,abs_additivity_error
activation_reconstruction_baseline,36,0.7199485199485199,activation_reconstruction_sum,loss_degradation_pair
trace_only_baseline,36,0.4592020592020592,trace_only_cost,loss_degradation_pair
order_gap,24,0.08869565217391304,max_abs_conditional_hessian_overlap,abs_loss_gap
order_gap_r_first_overlap,24,-0.25130434782608696,abs_r_first_conditional_hessian_overlap,abs_loss_gap
order_gap_non_r_first_overlap,24,0.08869565217391304,abs_non_r_first_conditional_hessian_overlap,abs_loss_gap
spectrum_order_entropy,24,0.1408695652173913,abs_first_spectral_entropy_delta,abs_loss_gap
spectrum_order_top1,24,0.08521739130434783,abs_first_top1_energy_delta,abs_loss_gap
spectrum_order_stable_rank,24,0.1208695652173913,abs_first_stable_rank_delta,abs_loss_gap
order_disagreement,24,0.08260869565217391,final_weight_disagreement,abs_loss_gap
