component,method,reason,status
q,rtn,native symmetric row-wise round-to-nearest,available
q,gptq,auto-gptq package is not installed in the current environment,unavailable
q,awq,AWQ/AutoAWQ package is not installed in the current environment,unavailable
s,magnitude,native top-k magnitude pruning,available
s,wanda,native activation-aware |W| sqrt(diag(XtX)) pruning,available
s,sparsegpt,SparseGPT package/integration is not installed in the current environment,unavailable
r,svd,native truncated SVD,available
r,whitened_svd,native activation-whitened SVD proxy in the spirit of SVD-LLM,available
r,svd_llm,represented by native whitened_svd; official SVD-LLM code is not invoked,proxy
