block_size,compression_ratio_actual,compression_ratio_target,in_features,layer,method,module_type,name,out_features,params_original,params_structured,rank,relative_activation_error,relative_activation_error_after_residual,relative_weight_error,relative_weight_error_after_residual,residual_channels,residual_fraction,residual_params,residual_rank,residual_type,samples,terms
16,16.0,2.0,8960,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,1536,13762560,860160,0,0.9626605245321859,0.7848463360807986,0.9682182703296197,0.838268016521708,0,0.04,550502,0,sparse,2048,
16,16.0,2.0,8960,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,1536,13762560,860160,0,0.9626605245321859,0.9355614661324192,0.9682182703296197,0.9456337983309151,61,0.04,546560,0,channel_out,2048,
64,35.0,2.0,8960,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,1536,13762560,393216,64,0.9896526149085243,0.9896526149085243,0.9928578695453842,0.9928578695453842,0,0.0,0,0,none,2048,2
64,35.0,2.0,8960,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,1536,13762560,393216,64,0.9896526149085243,0.9896526149085243,0.9928578695453842,0.9928578695453842,0,0.01,0,0,none,2048,2
64,35.0,2.0,8960,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,1536,13762560,393216,64,0.9896526149085243,0.94896470511667,0.9928578695453842,0.9768173611882793,0,0.01,136448,13,low_rank,2048,2
64,35.0,2.0,8960,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,1536,13762560,393216,64,0.9896526149085243,0.9009006328734631,0.9928578695453842,0.945127504228198,0,0.01,137625,0,sparse,2048,2
64,35.0,2.0,8960,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,1536,13762560,393216,64,0.9896526149085243,0.9752287861809481,0.9928578695453842,0.9862062509873831,15,0.01,134400,0,channel_out,2048,2
64,35.0,2.0,8960,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,1536,13762560,393216,64,0.9896526149085243,0.9896526149085243,0.9928578695453842,0.9928578695453842,0,0.02,0,0,none,2048,2
64,35.0,2.0,8960,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,1536,13762560,393216,64,0.9896526149085243,0.9381900865896061,0.9928578695453842,0.9669744732445923,0,0.02,272896,26,low_rank,2048,2
64,35.0,2.0,8960,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,1536,13762560,393216,64,0.9896526149085243,0.8627914708827938,0.9928578695453842,0.9119912250019705,0,0.02,275251,0,sparse,2048,2
64,35.0,2.0,8960,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,1536,13762560,393216,64,0.9896526149085243,0.9705259253584524,0.9928578695453842,0.9807486866428655,30,0.02,268800,0,channel_out,2048,2
64,35.0,2.0,8960,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,1536,13762560,393216,64,0.9896526149085243,0.9896526149085243,0.9928578695453842,0.9928578695453842,0,0.04,0,0,none,2048,2
64,35.0,2.0,8960,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,1536,13762560,393216,64,0.9896526149085243,0.9210029070477089,0.9928578695453842,0.9500056589769348,0,0.04,545792,52,low_rank,2048,2
64,35.0,2.0,8960,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,1536,13762560,393216,64,0.9896526149085243,0.8017287695262935,0.9928578695453842,0.8573650259265301,0,0.04,550502,0,sparse,2048,2
64,35.0,2.0,8960,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,1536,13762560,393216,64,0.9896526149085243,0.9615862325539059,0.9928578695453842,0.9694875711306246,61,0.04,546560,0,channel_out,2048,2
,4.009845603043186,4.0,8960,0,low_rank,down_proj,model.layers.0.mlp.down_proj,1536,13762560,3432192,327,0.792313419367045,0.792313419367045,0.7981807217076441,0.7981807217076441,0,0.0,0,0,none,2048,
,4.009845603043186,4.0,8960,0,low_rank,down_proj,model.layers.0.mlp.down_proj,1536,13762560,3432192,327,0.792313419367045,0.792313419367045,0.7981807217076441,0.7981807217076441,0,0.01,0,0,none,2048,
,4.009845603043186,4.0,8960,0,low_rank,down_proj,model.layers.0.mlp.down_proj,1536,13762560,3432192,327,0.792313419367045,0.7859842252343647,0.7981807217076441,0.790931663952951,0,0.01,136448,13,low_rank,2048,
,4.009845603043186,4.0,8960,0,low_rank,down_proj,model.layers.0.mlp.down_proj,1536,13762560,3432192,327,0.792313419367045,0.7217037698337158,0.7981807217076441,0.7603139296037649,0,0.01,137625,0,sparse,2048,
,4.009845603043186,4.0,8960,0,low_rank,down_proj,model.layers.0.mlp.down_proj,1536,13762560,3432192,327,0.792313419367045,0.7719629825250003,0.7981807217076441,0.7928708295645924,89,0.01,136704,0,channel_in,2048,
,4.009845603043186,4.0,8960,0,low_rank,down_proj,model.layers.0.mlp.down_proj,1536,13762560,3432192,327,0.792313419367045,0.792313419367045,0.7981807217076441,0.7981807217076441,0,0.02,0,0,none,2048,
,4.009845603043186,4.0,8960,0,low_rank,down_proj,model.layers.0.mlp.down_proj,1536,13762560,3432192,327,0.792313419367045,0.7797841413055041,0.7981807217076441,0.7836930229883918,0,0.02,272896,26,low_rank,2048,
,4.009845603043186,4.0,8960,0,low_rank,down_proj,model.layers.0.mlp.down_proj,1536,13762560,3432192,327,0.792313419367045,0.6899553106198886,0.7981807217076441,0.734098734287709,0,0.02,275251,0,sparse,2048,
,4.009845603043186,4.0,8960,0,low_rank,down_proj,model.layers.0.mlp.down_proj,1536,13762560,3432192,327,0.792313419367045,0.7626032950891892,0.7981807217076441,0.7878788753798153,179,0.02,274944,0,channel_in,2048,
,4.009845603043186,4.0,8960,0,low_rank,down_proj,model.layers.0.mlp.down_proj,1536,13762560,3432192,327,0.792313419367045,0.792313419367045,0.7981807217076441,0.7981807217076441,0,0.04,0,0,none,2048,
,4.009845603043186,4.0,8960,0,low_rank,down_proj,model.layers.0.mlp.down_proj,1536,13762560,3432192,327,0.792313419367045,0.7668193738648249,0.7981807217076441,0.7692459747247432,0,0.04,545792,52,low_rank,2048,
,4.009845603043186,4.0,8960,0,low_rank,down_proj,model.layers.0.mlp.down_proj,1536,13762560,3432192,327,0.792313419367045,0.6420534935048855,0.7981807217076441,0.6908661578135189,0,0.04,550502,0,sparse,2048,
,4.009845603043186,4.0,8960,0,low_rank,down_proj,model.layers.0.mlp.down_proj,1536,13762560,3432192,327,0.792313419367045,0.7439376135811661,0.7981807217076441,0.778200742955216,358,0.04,549888,0,channel_in,2048,
16,16.0,4.0,8960,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,1536,13762560,860160,0,0.9626605245321859,0.9626605245321859,0.9682182703296197,0.9682182703296197,0,0.0,0,0,none,2048,
16,16.0,4.0,8960,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,1536,13762560,860160,0,0.9626605245321859,0.9626605245321859,0.9682182703296197,0.9682182703296197,0,0.01,0,0,none,2048,
16,16.0,4.0,8960,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,1536,13762560,860160,0,0.9626605245321859,0.9245435488674224,0.9682182703296197,0.9531041469741884,0,0.01,136448,13,low_rank,2048,
16,16.0,4.0,8960,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,1536,13762560,860160,0,0.9626605245321859,0.8790617813070047,0.9682182703296197,0.9226128211994746,0,0.01,137625,0,sparse,2048,
16,16.0,4.0,8960,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,1536,13762560,860160,0,0.9626605245321859,0.9491420205197785,0.9682182703296197,0.9618449093983323,15,0.01,134400,0,channel_out,2048,
16,16.0,4.0,8960,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,1536,13762560,860160,0,0.9626605245321859,0.9626605245321859,0.9682182703296197,0.9682182703296197,0,0.02,0,0,none,2048,
16,16.0,4.0,8960,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,1536,13762560,860160,0,0.9626605245321859,0.913959723564062,0.9682182703296197,0.9436667471252174,0,0.02,272896,26,low_rank,2048,
16,16.0,4.0,8960,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,1536,13762560,860160,0,0.9626605245321859,0.842143408597593,0.9682182703296197,0.8907939523883666,0,0.02,275251,0,sparse,2048,
16,16.0,4.0,8960,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,1536,13762560,860160,0,0.9626605245321859,0.9448182242191132,0.9682182703296197,0.9565545198845048,30,0.02,268800,0,channel_out,2048,
16,16.0,4.0,8960,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,1536,13762560,860160,0,0.9626605245321859,0.9626605245321859,0.9682182703296197,0.9682182703296197,0,0.04,0,0,none,2048,
16,16.0,4.0,8960,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,1536,13762560,860160,0,0.9626605245321859,0.8971894701328162,0.9682182703296197,0.9272316923627779,0,0.04,545792,52,low_rank,2048,
16,16.0,4.0,8960,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,1536,13762560,860160,0,0.9626605245321859,0.7848463360807986,0.9682182703296197,0.838268016521708,0,0.04,550502,0,sparse,2048,
16,16.0,4.0,8960,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,1536,13762560,860160,0,0.9626605245321859,0.9355614661324192,0.9682182703296197,0.9456337983309151,61,0.04,546560,0,channel_out,2048,
64,35.0,4.0,8960,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,1536,13762560,393216,64,0.9896526149085243,0.9896526149085243,0.9928578695453842,0.9928578695453842,0,0.0,0,0,none,2048,2
64,35.0,4.0,8960,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,1536,13762560,393216,64,0.9896526149085243,0.9896526149085243,0.9928578695453842,0.9928578695453842,0,0.01,0,0,none,2048,2
64,35.0,4.0,8960,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,1536,13762560,393216,64,0.9896526149085243,0.94896470511667,0.9928578695453842,0.9768173611882793,0,0.01,136448,13,low_rank,2048,2
64,35.0,4.0,8960,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,1536,13762560,393216,64,0.9896526149085243,0.9009006328734631,0.9928578695453842,0.945127504228198,0,0.01,137625,0,sparse,2048,2
64,35.0,4.0,8960,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,1536,13762560,393216,64,0.9896526149085243,0.9752287861809481,0.9928578695453842,0.9862062509873831,15,0.01,134400,0,channel_out,2048,2
64,35.0,4.0,8960,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,1536,13762560,393216,64,0.9896526149085243,0.9896526149085243,0.9928578695453842,0.9928578695453842,0,0.02,0,0,none,2048,2
