fixed_order,fixed_predicted_hessian_cost,layer,predicted_cost_improvement,selected_order,selected_predicted_hessian_cost
qsr,3.1562027436353113e-10,fc1,1.9132895437068006e-11,sqr,2.964873789264631e-10
qsr,4.6300696073318047e-10,fc2,8.742716335798828e-11,sqr,3.755797973751922e-10
qsr,3.6557204324326905e-09,head,5.792713058856794e-10,sqr,3.076449126547011e-09
