run,path,model,modules,eval_tokens,lora_steps,lora_rank,baseline_ppl,fixed_spq_no_lora_ppl,guided_spq_no_lora_ppl,guided_minus_fixed_no_lora_ppl,fixed_spq_lora_ppl,guided_spq_lora_ppl,guided_minus_fixed_lora_ppl,fixed_spq_no_lora_zero,guided_spq_no_lora_zero,fixed_spq_lora_zero,guided_spq_lora_zero,rho_additivity,rho_ppl,taylor_vs_loss,frobenius_vs_loss,spectrum_order_entropy,order_disagreement,guided_order_changes,guided_method_changes
Pythia-70M SPQ smoke,E:\Codex_work\ssh_experiment\llm_spectral_dynamics\results\pretrained_orthogonality_pythia70m_spq_lora_smoke_20260624_v2,EleutherAI/pythia-70m,12,508,5,4,59.866556707146295,1194.7277989480215,259.69271450428334,-935.0350844437381,1013.3971905906792,235.6186368700036,-777.7785537206756,1.0,0.5,1.0,0.5,0.2296010296010296,0.18507078507078506,0.6839124839124839,0.4126126126126126,0.3626086956521739,0.6852173913043478,2,7
Qwen2.5-1.5B SPQ smoke,E:\Codex_work\ssh_experiment\llm_spectral_dynamics\results\pretrained_orthogonality_qwen25_1p5b_spq_lora_smoke_20260624,/home/wangmeiqi/ZHuan/model/Qwen2.5-1.5B,8,254,3,4,30.614829604964967,64.77696754902323,50.45215967080577,-14.324807878217456,62.52191594506858,49.78249520986271,-12.739420735205869,0.5,0.5,0.5,0.5,0.29739130434782607,0.14608695652173914,0.648695652173913,0.4443478260869565,0.6411764705882353,0.8088235294117647,2,6
