run,model,model_family,params,param_label,modules,bits,keep_fraction,rank_fraction,eval_tokens,zero_shot_examples_min,baseline_ppl,baseline_zero_shot,hessian_layerwise_ppl,fixed_qsr_naive_ppl,fixed_qsr_default_ppl,slim_like_srq_proxy_ppl,hessian_vs_fixed_naive_ppl_delta,hessian_vs_fixed_default_ppl_delta,hessian_vs_slim_proxy_ppl_delta,highest_abs_rho_layer,highest_abs_rho_pair,highest_abs_rho_h,largest_additivity_layer,largest_additivity_pair,largest_abs_additivity_error,largest_order_gap_layer,largest_order_gap_orders,largest_abs_order_loss_gap,rho additivity,rho PPL,rho zero-shot,Taylor vs loss,Frobenius vs loss,Param cosine vs add.,Act recon vs loss,Trace-only vs loss,Spectrum entropy vs order,H-overlap vs order
70M_default_4bit_6mods,EleutherAI/pythia-70m,Pythia,70426624,70.4M,6,4,0.5,0.5,1016,8,68.58780308596377,0.1875,97.05260914257352,5874.537621779223,105.38161053068048,102.31213922955197,-5777.485012636649,-8.32900138810696,-5.259530086978458,L0:dense_4h_to_h,sr,0.08432163165014843,L0:dense_4h_to_h,qr,0.751134219868952,L3:dense_h_to_4h,rq vs qr,0.03592687892162871,0.12487100103199172,0.2941176470588235,0.28767526409079325,-0.05263157894736842,0.12899896800825592,0.24458204334365322,-0.02373581011351909,-0.15170278637770895,-0.46853146853146854,0.006993006993006993
70M_mid_3bit_12mods,EleutherAI/pythia-70m,Pythia,70426624,70.4M,12,3,0.5,0.5,1016,8,68.58780308596377,0.1875,353.36185458620696,102014.53228365473,398.1439577787029,455.1935591169514,-101661.17042906852,-44.782103192495924,-101.83170453074445,L3:dense,qs,0.3669455110674803,L0:dense,sr,2.8892899082088386,L3:dense_4h_to_h,rq vs qr,0.057582164373923383,0.14491634491634492,0.17477477477477477,-0.05027247823165228,0.7245817245817245,0.5001287001287001,0.2416988416988417,0.7199485199485199,0.4592020592020592,0.1408695652173913,0.08869565217391304
70M_strong_2bit_12mods,EleutherAI/pythia-70m,Pythia,70426624,70.4M,12,2,0.4,0.4,1016,8,68.58780308596377,0.1875,36071719.38109298,104754811.50684139,104248017.04217252,58989191.96160002,-68683092.12574841,-68176297.66107954,-22917472.58050704,L0:dense_4h_to_h,qs,0.451001967096715,L0:dense_h_to_4h,qs,0.7470750179710159,L0:dense_4h_to_h,rq vs qr,0.3412102526567109,0.48416988416988416,0.2164736164736165,0.11643819457192124,0.5366795366795367,0.4857142857142857,0.29292149292149294,0.5305019305019305,0.28957528957528955,0.4260869565217391,0.288695652173913
160M_mid_3bit_12mods,EleutherAI/pythia-160m,Pythia,162322944,162.3M,12,3,0.5,0.5,1016,8,45.973122681321094,0.375,112.52702347062517,6510.1046386923235,135.68217546824678,113.51503962986642,-6397.577615221699,-23.155151997621616,-0.9880161592412549,L6:dense_4h_to_h,qs,0.39465900604018794,L11:dense,qs,1.00289110380291,L11:dense_4h_to_h,rq vs qr,0.11841021560308462,0.06537966537966539,0.2931788931788932,0.040039203974512064,0.461003861003861,0.10115830115830116,-0.011583011583011582,0.44787644787644787,0.14414414414414414,0.3634782608695652,-0.01391304347826087
Qwen2.5_1.5B_mid_3bit_12mods,/home/wangmeiqi/ZHuan/model/Qwen2.5-1.5B,Qwen2.5,,~1.5B,12,3,0.5,0.5,508,4,12.37479081938005,0.5,17.253980769285956,29.35509540124234,18.421503492511388,17.119734936925724,-12.101114631956385,-1.1675227232254315,0.13424583236023224,L14:up_proj,qs,0.3595767463821252,L0:up_proj,qr,1.2427359807842575,L27:down_proj,rq vs qr,0.18742520790400485,0.38764478764478766,0.08751608751608751,0.12863576254021375,0.4797940797940798,0.18687258687258687,0.45791505791505793,0.4646074646074646,0.4102960102960103,0.5260869565217391,-0.12521739130434784
