loss_degradation,model,model_family,nll,order,params,perplexity,ppl_degradation,q_method,r_method,run,s_method,strategy,tokens,zero_shot_accuracy,zero_shot_accuracy_degradation
0.0,EleutherAI/pythia-70m,Pythia,4.228114721343273,none,70426624,68.58780308596377,0.0,,,70M_default_4bit_6mods,,baseline,1016,0.1875,0.0
4.450267911895992,EleutherAI/pythia-70m,Pythia,8.678382633239265,qsr,70426624,5874.537621779223,5805.949818693259,rtn,svd,70M_default_4bit_6mods,magnitude,fixed_qsr_naive,1016,0.0625,0.125
0.42947342639833064,EleutherAI/pythia-70m,Pythia,4.6575881477416035,qsr,70426624,105.38161053068048,36.793807444716705,rtn,whitened_svd,70M_default_4bit_6mods,wanda,fixed_qsr_default,1016,0.1875,0.0
0.3999136076198795,EleutherAI/pythia-70m,Pythia,4.628028328963152,srq,70426624,102.31213922955197,33.724336143588204,rtn,whitened_svd,70M_default_4bit_6mods,wanda,slim_like_srq_proxy,1016,0.25,-0.0625
0.3471384724294113,EleutherAI/pythia-70m,Pythia,4.575253193772684,layerwise,70426624,97.05260914257352,28.464806056609746,selected,selected,70M_default_4bit_6mods,selected,hessian_layerwise,1016,0.25,-0.0625
0.0,EleutherAI/pythia-70m,Pythia,4.228114721343273,none,70426624,68.58780308596377,0.0,,,70M_mid_3bit_12mods,,baseline,1016,0.1875,0.0
7.304755834143933,EleutherAI/pythia-70m,Pythia,11.532870555487206,qsr,70426624,102014.53228365473,101945.94448056877,rtn,svd,70M_mid_3bit_12mods,magnitude,fixed_qsr_naive,1016,0.25,-0.0625
1.7586989215039832,EleutherAI/pythia-70m,Pythia,5.986813642847256,qsr,70426624,398.1439577787029,329.55615469273914,rtn,whitened_svd,70M_mid_3bit_12mods,wanda,fixed_qsr_default,1016,0.25,-0.0625
1.8926080118014124,EleutherAI/pythia-70m,Pythia,6.120722733144685,srq,70426624,455.1935591169514,386.60575603098766,rtn,whitened_svd,70M_mid_3bit_12mods,wanda,slim_like_srq_proxy,1016,0.125,0.0625
1.6393778943640047,EleutherAI/pythia-70m,Pythia,5.8674926157072775,layerwise,70426624,353.36185458620696,284.7740515002432,selected,selected,70M_mid_3bit_12mods,selected,hessian_layerwise,1016,0.1875,0.0
0.0,EleutherAI/pythia-70m,Pythia,4.228114721343273,none,70426624,68.58780308596377,0.0,,,70M_strong_2bit_12mods,,baseline,1016,0.1875,0.0
14.239018327607885,EleutherAI/pythia-70m,Pythia,18.46713304895116,qsr,70426624,104754811.50684139,104754742.91903831,rtn,svd,70M_strong_2bit_12mods,magnitude,fixed_qsr_naive,1016,0.1875,0.0
14.234168675940806,EleutherAI/pythia-70m,Pythia,18.46228339728408,qsr,70426624,104248017.04217252,104247948.45436944,rtn,whitened_svd,70M_strong_2bit_12mods,wanda,fixed_qsr_default,1016,0.1875,0.0
13.664750076654391,EleutherAI/pythia-70m,Pythia,17.892864797997664,srq,70426624,58989191.96160002,58989123.37379693,rtn,whitened_svd,70M_strong_2bit_12mods,wanda,slim_like_srq_proxy,1016,0.125,0.0625
13.172904998298707,EleutherAI/pythia-70m,Pythia,17.40101971964198,layerwise,70426624,36071719.38109298,36071650.79328989,selected,selected,70M_strong_2bit_12mods,selected,hessian_layerwise,1016,0.125,0.0625
0.0,EleutherAI/pythia-160m,Pythia,3.8280569361889456,none,162322944,45.973122681321094,0.0,,,160M_mid_3bit_12mods,,baseline,1016,0.375,0.0
4.953053872416339,EleutherAI/pythia-160m,Pythia,8.781110808605284,qsr,162322944,6510.1046386923235,6464.1315160110025,rtn,svd,160M_mid_3bit_12mods,magnitude,fixed_qsr_naive,1016,0.1875,0.1875
1.0822582695427845,EleutherAI/pythia-160m,Pythia,4.91031520573173,qsr,162322944,135.68217546824678,89.7090527869257,rtn,whitened_svd,160M_mid_3bit_12mods,wanda,fixed_qsr_default,1016,0.375,0.0
0.903878399706262,EleutherAI/pythia-160m,Pythia,4.731935335895208,srq,162322944,113.51503962986642,67.54191694854532,rtn,whitened_svd,160M_mid_3bit_12mods,wanda,slim_like_srq_proxy,1016,0.25,0.125
0.8951364652378353,EleutherAI/pythia-160m,Pythia,4.723193401426781,layerwise,162322944,112.52702347062517,66.55390078930407,selected,selected,160M_mid_3bit_12mods,selected,hessian_layerwise,1016,0.125,0.25
0.0,/home/wangmeiqi/ZHuan/model/Qwen2.5-1.5B,Qwen2.5,2.515661404827448,none,,12.37479081938005,0.0,,,Qwen2.5_1.5B_mid_3bit_12mods,,baseline,508,0.5,0.0
0.8638047345979949,/home/wangmeiqi/ZHuan/model/Qwen2.5-1.5B,Qwen2.5,3.379466139425443,qsr,,29.35509540124234,16.980304581862292,rtn,svd,Qwen2.5_1.5B_mid_3bit_12mods,magnitude,fixed_qsr_naive,508,0.5,0.0
0.3978572454978164,/home/wangmeiqi/ZHuan/model/Qwen2.5-1.5B,Qwen2.5,2.9135186503252646,qsr,,18.421503492511388,6.046712673131337,rtn,whitened_svd,Qwen2.5_1.5B_mid_3bit_12mods,wanda,fixed_qsr_default,508,0.5,0.0
0.32457048311008263,/home/wangmeiqi/ZHuan/model/Qwen2.5-1.5B,Qwen2.5,2.840231887937531,srq,,17.119734936925724,4.744944117545673,rtn,whitened_svd,Qwen2.5_1.5B_mid_3bit_12mods,wanda,slim_like_srq_proxy,508,0.5,0.0
0.3323814812607653,/home/wangmeiqi/ZHuan/model/Qwen2.5-1.5B,Qwen2.5,2.8480428860882134,layerwise,,17.253980769285956,4.879189949905905,selected,selected,Qwen2.5_1.5B_mid_3bit_12mods,selected,hessian_layerwise,508,0.5,0.0
