abs_additivity_error,abs_parameter_cosine,abs_rho_h,accuracy_degradation_pair,accuracy_pair,additivity_error,frobenius_delta_sum,layer,left_level,loss_degradation_pair,loss_left,loss_pair,loss_right,pair,parameter_cosine,ppl_degradation_pair,ppl_pair,rho_h,right_level,taylor_predicted_loss_delta
4.081280622231163,0.42297657088242696,0.39968070507793196,0.01236979166666663,0.9876302083333334,4.081280622231163,13.05764389038086,fc1,bits2,0.08089720979720975,0.015075907111167908,0.08135510422289371,0.0017605158888424437,qs,0.42297657088242696,0.08429803035311623,1.0847560296284555,0.39968070507793196,keep0.45,1.5094911377482155e-09
0.5915889292889811,0.282547080700052,0.2750117179450528,0.0,1.0,0.5915889292889811,5.287041664123535,fc1,bits3,0.0006644058060677103,0.0006331498637640228,0.0011223002317516755,0.000700087107058304,qs,0.282547080700052,0.0006649309709838569,1.0011229302463232,0.2750117179450528,keep0.62,2.0420614487380528e-10
0.03629955788832977,0.07129217599184509,0.05732794486261389,0.0,1.0,-0.03629955788832977,2.274146318435669,fc1,bits4,6.970881076995289e-05,0.0004901803404209204,0.0005276032364539182,0.0004979430329209814,qs,-0.07129217599184509,6.974316818308957e-05,1.0005277424435224,-0.05732794486261389,keep0.78,2.841430745559713e-11
1.9976050867440733,0.08583277508392578,0.04855278839761298,0.005859375,0.994140625,1.9976050867440733,15.104843139648438,fc1,bits2,0.052083889895584434,0.015075907111167908,0.0525417843212684,0.00321504904422909,qr,0.08583277508392578,0.05348860032647007,1.0539465996018094,0.04855278839761298,rank0.3,1.4956760348139995e-09
0.30422796129989765,0.001141364123571719,0.0009107450372360506,0.0,1.0,0.30422796129989765,7.51665735244751,fc1,bits3,0.0008711130843342594,0.0006331498637640228,0.0013290075100182246,0.0009505537309451029,qr,-0.001141364123571719,0.0008718917565189166,1.0013298910318582,0.0009107450372360506,rank0.5,3.3414833016857567e-10
0.05639981007667709,0.0035821617303546816,0.00502170101125271,0.0,1.0,0.05639981007667709,4.372314453125,fc1,bits4,0.00018890154024120426,0.0004901803404209204,0.0006467959659251695,0.0006044248439138755,qr,0.0035821617303546816,0.0001890059082012563,1.0006470051835405,0.00502170101125271,rank0.7,1.247459904101165e-10
1.1496279811111005,0.16844724856000984,0.1489087237736191,0.0,1.0,1.1496279811111005,9.80990982055664,fc1,keep0.45,0.00872700826342528,0.0017605158888424437,0.009184902689109245,0.00321504904422909,sr,0.16844724856000984,0.008769214073025333,1.0092272133483646,0.1489087237736191,rank0.3,6.524548460512783e-10
0.32362298634713427,0.07352375141727903,0.06046936737038954,0.0,1.0,0.32362298634713427,6.589100360870361,fc1,keep0.62,0.0009726669813971967,0.000700087107058304,0.0014305614070811619,0.0009505537309451029,sr,0.07352375141727903,0.0009735858728281421,1.0014315851481674,0.06046936737038954,rank0.5,2.8543758098232436e-10
0.05276878941625832,0.014099986291520811,0.0066793031012611186,0.0,1.0,0.05276878941625832,3.988516330718994,fc1,keep0.78,0.00019642457482405012,0.0004979430329209814,0.0006543190005080154,0.0006044248439138755,sr,0.014099986291520811,0.0001965338385427895,1.000654533113882,0.0066793031012611186,rank0.7,1.1340354467968742e-10
6.077151361872836,0.535643490300377,0.48975750723067263,0.00390625,0.99609375,6.077151361872836,8.664924621582031,fc2,bits2,0.027604364731814712,0.0027758394135162234,0.028062259157498676,0.0020404403718809285,qs,0.535643490300377,0.02800171418814945,1.0284597134634887,0.48975750723067263,keep0.45,2.62465731798126e-09
0.14053543403367233,0.09855793354171147,0.08567580538660104,0.0,1.0,0.14053543403367233,3.5317859649658203,fc2,bits3,0.0004959007104237874,0.0005758387706009671,0.0009537951361077527,0.0007747464890902241,qs,-0.09855793354171147,0.0004962508679990929,1.0009542501433384,-0.08567580538660104,keep0.62,2.431680806574837e-10
0.28413485526680227,0.08971224149930668,0.09019041281133573,0.0,1.0,0.28413485526680227,1.5283677577972412,fc2,bits4,8.766352645276737e-05,0.0004825365200910407,0.0005455579521367326,0.0005015189356830282,qs,-0.08971224149930668,8.770752060338616e-05,1.0005457067959427,-0.09019041281133573,keep0.78,4.477735876573967e-11
0.3079825846412658,0.023971594767699864,0.037394302354605655,0.0,1.0,0.3079825846412658,9.163330078125,fc2,bits2,0.0032974631370355683,0.0027758394135162234,0.0037553575627195337,0.0006609792859914402,qr,0.023971594767699864,0.0033044184776720442,1.0037624177530113,-0.037394302354605655,rank0.3,2.0204248793278713e-09
0.05161705624465095,0.0033362721094501225,0.0015369783005142518,0.0,1.0,0.05161705624465095,3.853679656982422,fc2,bits3,0.00016852094753024477,0.0005758387706009671,0.00062641537321421,0.0005001994286431,qr,0.0033362721094501225,0.00016861233695841804,1.0006266116122977,0.0015369783005142518,rank0.5,3.533949114147003e-10
0.019889369519502178,0.014825710668920107,0.015185167069228263,0.0,1.0,0.019889369519502178,1.7341102361679077,fc2,bits4,3.2808939674093096e-05,0.0004825365200910407,0.0004907033653580584,0.0004654214474915837,qr,-0.014825710668920107,3.282450461039588e-05,1.0004908237799497,-0.015185167069228263,rank0.7,6.986243937463262e-11
0.40469663413925056,0.21391993746559954,0.13087590098848123,0.0,1.0,0.40469663413925056,6.592429161071777,fc2,keep0.45,0.002508269584116836,0.0020404403718809285,0.0029661640098008015,0.0006609792859914402,sr,0.21391993746559954,0.0025125681516040554,1.0029705674269433,0.13087590098848123,rank0.3,1.048444835893707e-09
0.08842309545852124,0.070755007244854,0.05430192501032746,0.0,1.0,0.08842309545852124,3.788273811340332,fc2,keep0.62,0.0003909148460176463,0.0007747464890902241,0.0008488092717016116,0.0005001994286431,sr,0.070755007244854,0.0003911703368983943,1.0008491696122377,0.05430192501032746,rank0.5,3.266486094872012e-10
0.010278635737966259,0.023870499137228808,0.015414380920563263,0.0,1.0,0.010278635737966259,1.733182430267334,fc2,keep0.78,5.167729977983987e-05,0.0005015189356830282,0.0005095717254638051,0.0004654214474915837,sr,0.023870499137228808,5.170230385176389e-05,1.000509701579191,0.015414380920563263,rank0.7,6.643883708375219e-11
5.767806184927915,0.5730337256296082,0.48769647000756683,0.10481770833333337,0.8951822916666666,5.767806184927915,5.147196292877197,head,bits2,0.36939768828839686,0.050064926811804376,0.3698555827140808,0.005432461776460211,qs,0.5730337256296082,0.4470675525807093,1.4475255518560486,0.48769647000756683,keep0.45,9.847085296886523e-09
0.35657788527249423,0.15257863920336315,0.1536470056768307,0.0,1.0,0.35657788527249423,2.086897850036621,head,bits3,0.0012091176467947662,0.000716094194406954,0.0016670120724787314,0.0010909944927940767,qs,-0.15257863920336315,0.0012104030341710814,1.0016684023095104,-0.1536470056768307,keep0.62,7.592579270925034e-10
0.286047633769478,0.058240780666659026,0.03715335694109499,0.0,1.0,0.286047633769478,0.9052497148513794,head,bits4,0.00019877373415511107,0.0005048638389174206,0.0006566681598390763,0.0005654867321330433,qs,-0.058240780666659026,0.00019888453823768693,1.000656883813577,-0.03715335694109499,keep0.78,1.5527361425155426e-10
1.0608319718636439,0.03790744178702367,0.16776397716743346,0.3291015625,0.6708984375,1.0608319718636439,6.688736915588379,head,bits2,1.6548027479439043,0.050064926811804376,1.6552606423695881,0.7538288682699203,qr,-0.03790744178702367,4.233986063022524,5.234444062297863,-0.16776397716743346,rank0.3,1.0919338225073157e-08
0.23197268965471277,0.015492857956570294,0.008602048309289468,0.00423177083333337,0.9957682291666666,0.23197268965471277,3.4449212551116943,head,bits3,0.03755140516053264,0.000716094194406954,0.038009299586216606,0.030680406993875902,qr,-0.015492857956570294,0.03828289341873048,1.0387408926940698,0.008602048309289468,rank0.5,3.055925054718618e-09
0.34184263199042003,0.008346547680004856,0.035969340246761204,0.0,1.0,0.34184263199042003,1.981672763824463,head,bits4,0.001998292825495203,0.0005048638389174206,0.0024561872511791685,0.0019001404968245577,qr,0.008346547680004856,0.002001206874900685,1.00245920615024,-0.035969340246761204,rank0.7,1.0844177416757707e-09
