abs_accuracy_gap,abs_conditional_hessian_overlap,abs_first_rank_90_delta,abs_first_rank_95_delta,abs_first_rank_99_delta,abs_first_spectral_entropy_delta,abs_first_stable_rank_delta,abs_first_top1_energy_delta,abs_loss_gap,abs_ppl_gap,accuracy_gap_left_minus_right,accuracy_left,accuracy_right,baseline_loss,conditional_hessian_overlap,final_weight_disagreement,first_rank_90_delta,first_rank_95_delta,first_rank_99_delta,first_spectral_entropy_delta,first_stable_rank_delta,first_top1_energy_delta,layer,left_order,loss_gap_left_minus_right,loss_left,loss_right,ppl_gap_left_minus_right,ppl_left,ppl_right,right_order
0.0,0.0013675837581075003,25.0,33.0,43.0,0.4518363527889955,1.7633361987589424,0.013204927758324464,0.0001254596184783925,0.00012562477077371348,0.0,1.0,1.0,0.00045789442568396527,-0.0013675837581075003,0.37290287017822266,-25.0,-33.0,-43.0,-0.4518363527889955,-1.7633361987589424,0.013204927758324464,fc1,rq,-0.0001254596184783925,0.0012527819781098515,0.001378241596588244,-0.00012562477077371348,1.001253567037254,1.0013791918080277,qr
0.0,0.01960831671965112,25.0,33.0,43.0,0.4518363527889955,1.7633361987589424,0.013204927758324464,0.00012109600356779993,0.0001212632345140019,0.0,1.0,1.0,0.00045789442568396527,0.01960831671965112,0.24027574062347412,-25.0,-33.0,-43.0,-0.4518363527889955,-1.7633361987589424,0.013204927758324464,fc1,rs,-0.00012109600356779993,0.0013194769562687725,0.0014405729598365724,-0.0001212632345140019,1.0013203478489867,1.0014416110835007,sr
0.0,0.0013675837581075003,25.0,33.0,43.0,0.4518363527889955,1.7633361987589424,0.013204927758324464,0.0009003492014016956,0.0009020399279342506,0.0,1.0,1.0,0.00045789442568396527,-0.0013675837581075003,0.4102713465690613,-25.0,-33.0,-43.0,-0.4518363527889955,-1.7633361987589424,0.013204927758324464,fc1,rqs,-0.0009003492014016956,0.0014258870796766132,0.002326236281078309,-0.0009020399279342506,1.0014269041400055,1.0023289440679397,qsr
0.0,0.01960831671965112,25.0,33.0,43.0,0.4518363527889955,1.7633361987589424,0.013204927758324464,0.0002526726845341425,0.0002530406670531171,0.0,1.0,1.0,0.00045789442568396527,0.01960831671965112,0.37548771500587463,-25.0,-33.0,-43.0,-0.4518363527889955,-1.7633361987589424,0.013204927758324464,fc1,rsq,-0.0002526726845341425,0.0013289620401337743,0.0015816347246679168,-0.0002530406670531171,1.0013298455015047,1.0015828861685578,sqr
0.0,0.029620891649495322,8.0,12.0,24.0,0.2191108487377731,0.8330431439845984,0.004409426734459751,7.386247549826897e-05,7.390716165289746e-05,0.0,1.0,1.0,0.00045789442568396527,0.029620891649495322,0.3249257206916809,-8.0,-12.0,-24.0,-0.2191108487377731,-0.8330431439845984,0.004409426734459751,fc2,rq,-7.386247549826897e-05,0.0005678768939105794,0.0006417393694088483,-7.390716165289746e-05,1.00056803816652,1.000641945328173,qr
0.0,0.020978116486793347,8.0,12.0,24.0,0.2191108487377731,0.8330431439845984,0.004409426734459751,4.110416436257469e-05,4.113801751937096e-05,0.0,1.0,1.0,0.00045789442568396527,0.020978116486793347,0.23877839744091034,-8.0,-12.0,-24.0,-0.2191108487377731,-0.8330431439845984,0.004409426734459751,fc2,rs,-4.110416436257469e-05,0.0008027032114720593,0.0008438073758346339,-4.113801751937096e-05,1.0008030254639135,1.000844163481433,sr
0.0,0.029620891649495322,8.0,12.0,24.0,0.2191108487377731,0.8330431439845984,0.004409426734459751,0.0003526389191392809,0.00035308588018589937,0.0,1.0,1.0,0.00045789442568396527,0.029620891649495322,0.4165283441543579,-8.0,-12.0,-24.0,-0.2191108487377731,-0.8330431439845984,0.004409426734459751,fc2,rqs,-0.0003526389191392809,0.0010903478832915425,0.0014429868024308234,-0.00035308588018589937,1.0010909425286487,1.0014440284088346,qsr
0.0,0.020978116486793347,8.0,12.0,24.0,0.2191108487377731,0.8330431439845984,0.004409426734459751,0.0001485503453295679,0.00014868883205299,0.0,1.0,1.0,0.00045789442568396527,0.020978116486793347,0.3303353488445282,-8.0,-12.0,-24.0,-0.2191108487377731,-0.8330431439845984,0.004409426734459751,fc2,rsq,-0.0001485503453295679,0.000857544097622546,0.001006094442952114,-0.00014868883205299,1.0008579118936884,1.0010066007257414,sqr
0.00846354166666663,0.030396921971725603,8.0,10.0,13.0,0.5333433106501411,2.1976880439321747,0.030908998328828943,0.034391977203389004,0.0360411511744656,-0.00846354166666663,0.9895833333333334,0.998046875,0.00045789442568396527,-0.030396921971725603,0.31568804383277893,-8.0,-10.0,-13.0,-0.5333433106501411,-2.1976880439321747,0.030908998328828943,head,rq,0.034391977203389004,0.06398476287722588,0.029592785673836868,0.0360411511744656,1.0660761547044935,1.0300350035300279,qr
0.0022786458333332593,0.11893340957633466,8.0,10.0,13.0,0.5333433106501411,2.1976880439321747,0.030908998328828943,0.013272074982523918,0.013968540888141145,0.0022786458333332593,0.9918619791666666,0.9895833333333334,0.00045789442568396527,0.11893340957633466,0.2548794746398926,-8.0,-10.0,-13.0,-0.5333433106501411,-2.1976880439321747,0.030908998328828943,head,rs,0.013272074982523918,0.0577742171784242,0.044502142195900284,0.013968540888141145,1.0594757572774705,1.0455072163893293,sr
0.0003255208333332593,0.030396921971725603,8.0,10.0,13.0,0.5333433106501411,2.1976880439321747,0.030908998328828943,0.022209061309695244,0.024242178190470698,-0.0003255208333332593,0.9788411458333334,0.9791666666666666,0.00045789442568396527,-0.030396921971725603,0.47266885638237,-8.0,-10.0,-13.0,-0.5333433106501411,-2.1976880439321747,0.030908998328828943,head,rqs,0.022209061309695244,0.09867762277523677,0.07646856146554153,0.024242178190470698,1.1037104310943016,1.0794682529038309,qsr
