family,n,spearman_rho,x,y
additivity,36,0.34517374517374516,abs_rho_h,abs_additivity_error
additivity_signed,36,-0.20952380952380953,rho_h,additivity_error
real_ppl,36,-0.35135135135135137,abs_rho_h,ppl_degradation_pair
real_zero_shot,0,nan,abs_rho_h,zero_shot_accuracy_degradation_pair
taylor,36,0.5732303732303732,taylor_predicted_loss_delta,loss_degradation_pair
frobenius_baseline,36,0.7253539253539254,frobenius_delta_sum,loss_degradation_pair
parameter_cosine_baseline,36,0.3552123552123552,abs_parameter_cosine,abs_additivity_error
activation_reconstruction_baseline,36,0.5786357786357786,activation_reconstruction_sum,loss_degradation_pair
trace_only_baseline,36,0.5655083655083655,trace_only_cost,loss_degradation_pair
order_gap,24,0.2530434782608696,max_abs_conditional_hessian_overlap,abs_loss_gap
order_gap_r_first_overlap,24,-0.08260869565217391,abs_r_first_conditional_hessian_overlap,abs_loss_gap
order_gap_non_r_first_overlap,24,0.2530434782608696,abs_non_r_first_conditional_hessian_overlap,abs_loss_gap
spectrum_order_entropy,24,0.19391304347826088,abs_first_spectral_entropy_delta,abs_loss_gap
spectrum_order_top1,24,0.19304347826086957,abs_first_top1_energy_delta,abs_loss_gap
spectrum_order_stable_rank,24,0.020869565217391306,abs_first_stable_rank_delta,abs_loss_gap
order_disagreement,24,0.29391304347826086,final_weight_disagreement,abs_loss_gap
