bits,clipped_ppl_drop_percent,family,keep_fraction,memory_gap_vs_target,memory_match_rule,nll,nominal_memory_ratio,order,perplexity,predicted_hessian_cost,q_method,r_method,rank_fraction,s_method,same_budget_feasible,selection_rule,signed_nll_delta,signed_nll_delta_percent,signed_ppl_delta,signed_ppl_delta_percent,strategy,target_memory_ratio,tokens,zero_shot_accuracy,zero_shot_accuracy_delta,zero_shot_accuracy_drop
,0.0,baseline,,0.742,,4.206415085565476,1.0,none,67.11550468158823,0.0,,,,,False,dense_uncompressed,0.0,0.0,0.0,0.0,baseline,0.258,63,0.75,0.0,-0.0
,0.0,residual_stack,,-0.008000000000000007,,4.204929412357391,0.25,q,67.01586700727418,169.33660697937012,selected,selected,,selected,True,Q base only,-0.0014856732080854584,-0.035319224990030595,-0.09963767431405302,-0.14845701419777385,residual_q_only,0.258,63,0.75,0.0,-0.0
,0.0,residual_stack,,-0.0001875000000000071,,4.198382180834574,0.2578125,q+l_res,66.5785318398142,141.28993779420853,selected,selected,,selected,True,best Q+L candidate under the target memory,-0.008032904730902679,-0.19096795174751044,-0.5369728417740305,-0.800072716910282,residual_q_l_same_budget,0.258,63,0.75,0.0,-0.0
,0.6604793648821223,residual_stack,,-3.4877232157892735e-08,,4.212998163132441,0.25799996512276785,q+s_res,67.55878874064662,81.0257243514061,selected,selected,,selected,True,best Q+S candidate under the target memory,0.006583077566964413,0.1565009023848971,0.4432840590583851,0.6604793648821223,residual_q_s_same_budget,0.258,63,0.75,0.0,-0.0
,0.2461870304295005,residual_stack,,-0.00032591901506695553,,4.2088739304315474,0.25767408098493305,q+s_res+l_res,67.28073434952161,87.60234206914902,selected,selected,,selected,True,best Q+S+L split under the target memory,0.002458844866071175,0.05845464168547759,0.16522966793337446,0.2461870304295005,residual_q_s_l_same_budget,0.258,63,0.75,0.0,-0.0
,0.6604793648821223,residual_stack_selector,,-3.4877232157892735e-08,,4.212998163132441,0.25799996512276785,greedy_layerwise,67.55878874064662,81.0257243514061,selected,selected,,selected,True,filter_positive_conditional_rho_then_greedy_activation_capacity,0.006583077566964413,0.1565009023848971,0.4432840590583851,0.6604793648821223,residual_stack_selector,0.258,63,0.75,0.0,-0.0
4,0.07705022276088584,sequential_qsr,0.67,-2.0089285714286476e-05,grid_closest_under_target,4.207185291108631,0.2579799107142857,qsr,67.16721732745249,175.8854570388794,rtn,svd,0.77,wanda,True,memory_matched_fixed_sequential_qsr_no_metric_selection,0.0007702055431551003,0.018310260102434948,0.0517126458642565,0.07705022276088584,sequential_qsr_matched_budget,0.258,63,0.75,0.0,-0.0
4,1.0706085896967545,spq_like,1.0,-0.0029776785714285547,grid_closest_under_target,4.217064267113095,0.25502232142857145,spq_layer_typed_rq_sq,67.83404903972765,262.3711910247803,rtn,svd,0.51,wanda,True,memory_matched_fixed_spq_like_recipe_no_metric_selection,0.010649181547618625,0.25316525666146983,0.7185443581394111,1.0706085896967545,spq_like_rsq_no_lora_matched_budget,0.258,63,0.75,0.0,-0.0
4,1.4443180047842634,hessian_guided_spq,1.0,-0.0029776785714285547,grid_closest_under_target,4.220754956442212,0.25502232142857145,spq_layerwise,68.08486599970624,168.5735290646553,selected,selected,0.51,selected,True,memory_matched_hessian_guided_spq_fixed_budget_no_metric_selection,0.014339870876735716,0.3409047986239803,0.9693613181180041,1.4443180047842634,hessian_guided_spq_no_lora_matched_budget,0.258,63,0.75,0.0,-0.0
4,12.492239305318481,paper_dam_like,,-4.7991071428554744e-05,factor_rank_floor_under_target,4.324129134889633,0.25795200892857145,lowrank_then_quantized_factors,75.49973413738446,1936.5042419433594,factor_rtn,plain_lq,per_layer_memory_matched_rank,,True,plain low-rank factor quantization before reconstruction,0.11771404932415663,2.798441117427956,8.38422945579623,12.492239305318481,paper_lq_factor_quant_matched_budget,0.258,63,0.75,0.0,-0.0
4,6.772317374284617,paper_dam_like,,-4.7991071428554744e-05,factor_rank_floor_under_target,4.271943591889881,0.25795200892857145,lowrank_then_quantized_factors,71.66077966597824,877.1881856918335,factor_rtn,dam_closed,per_layer_memory_matched_rank,,True,DAM Eq.21-style closed-form diagonal scaling,0.0655285063244051,1.5578231104502607,4.545274984390005,6.772317374284617,paper_dam_closed_matched_budget,0.258,63,0.75,0.0,-0.0
4,5.711596700828413,paper_dam_like,,-4.7991071428554744e-05,factor_rank_floor_under_target,4.261959499782986,0.25795200892857145,lowrank_then_quantized_factors,70.94887163272617,643.5377931594849,factor_rtn,dam_activation_grid,per_layer_memory_matched_rank,,True,DAM calibration activation-grid diagonal scaling,0.05554441421750944,1.320469166443247,3.8333669511379327,5.711596700828413,paper_dam_activation_grid_matched_budget,0.258,63,0.75,0.0,-0.0
