layer,layer_short,selected_order,selected_predicted_hessian_cost,selected_q_method,selected_r_method,selected_s_method
gpt_neox.layers.0.mlp.dense_4h_to_h,L0:dense_4h_to_h,rsq,0.5654063820838928,rtn,whitened_svd,wanda
gpt_neox.layers.0.mlp.dense_h_to_4h,L0:dense_h_to_4h,rsq,13.29343318939209,rtn,whitened_svd,wanda
gpt_neox.layers.3.mlp.dense_4h_to_h,L3:dense_4h_to_h,rsq,2.766383647918701,rtn,whitened_svd,wanda
gpt_neox.layers.3.mlp.dense_h_to_4h,L3:dense_h_to_4h,rsq,35.18515396118164,rtn,whitened_svd,wanda
gpt_neox.layers.5.mlp.dense_4h_to_h,L5:dense_4h_to_h,rsq,12.786402702331543,rtn,whitened_svd,wanda
gpt_neox.layers.5.mlp.dense_h_to_4h,L5:dense_h_to_4h,rsq,47.443912506103516,rtn,whitened_svd,wanda
