comparison_id,purpose,left_strategy,right_strategy,difference_convention,window_count,paired_mean_nll_difference,paired_nll_difference_se,normal_95_ci_low,normal_95_ci_high,left_wins_lower_nll,right_wins_lower_nll,ties,exact_two_sided_sign_p,normal_ci_excludes_zero,sign_test_p_below_0_05,uncertainty_label,descriptive_direction,left_endpoint_nll,right_endpoint_nll,endpoint_nll_difference,left_endpoint_perplexity,right_endpoint_perplexity,endpoint_perplexity_difference,left_artifact_file_bytes,right_artifact_file_bytes,artifact_file_byte_difference,left_artifact_natural_file_bytes,right_artifact_natural_file_bytes,artifact_natural_file_byte_difference,serialized_budget_relation,interpretation
constrained_scaled_qsl_vs_ql,strict equal-serialized-byte Q/S/L combination with folded component scaling,Q+S+L_QL_budget_component_scale,Q+L,left_minus_right; negative_nll_or_perplexity_favors_left,16,0.007117924727792796,0.0036935463618321656,-0.00012142614139824814,0.01435727559698384,4,12,0,0.076812744140625,False,False,inconclusive,left_higher_nll,4.365287540465828,4.358169615738035,0.007117924727793046,78.67201807853222,78.11402480859789,0.5579932699343289,3248832,3248832,0,3233152,3248832,-15680,equal_serialized_bytes,"Descriptive fixed-window comparison: Q+S+L_QL_budget_component_scale has higher mean NLL than Q+L at equal serialized bytes; the normal interval includes zero and the exact sign test is inconclusive. This is non-causal evidence from 16 fixed contiguous windows, not a population-level confidence claim; no multiple-comparison correction was applied."
constrained_unscaled_qsl_vs_ql,strict equal-serialized-byte Q/S/L combination without component scaling,Q+S+L_QL_budget,Q+L,left_minus_right; negative_nll_or_perplexity_favors_left,16,0.008383908609705698,0.0035491032175846483,0.0014276663032397876,0.015340150916171608,4,12,0,0.076812744140625,True,False,inconclusive,left_higher_nll,4.366553524347741,4.358169615738035,0.008383908609705948,78.77167865640921,78.11402480859789,0.6576538478113179,3248832,3248832,0,3233152,3248832,-15680,equal_serialized_bytes,"Descriptive fixed-window comparison: Q+S+L_QL_budget has higher mean NLL than Q+L at equal serialized bytes; the normal interval excludes zero, but the exact sign test is inconclusive. This is non-causal evidence from 16 fixed contiguous windows, not a population-level confidence claim; no multiple-comparison correction was applied."
unconstrained_scaled_qsl_vs_ql,scaled Q/S/L endpoint without the Q+L serialized-byte cap,Q+S+L_component_scale,Q+L,left_minus_right; negative_nll_or_perplexity_favors_left,16,-0.003664737611305091,0.0023709656343757018,-0.008311830254681466,0.0009823550320712839,10,6,0,0.454498291015625,False,False,inconclusive,left_lower_nll,4.35450487812673,4.358169615738035,-0.0036647376113050356,77.8282813111842,78.11402480859789,-0.28574349741369076,3253888,3248832,5056,3253888,3248832,5056,left_uses_more_serialized_bytes,"Descriptive fixed-window comparison: Q+S+L_component_scale has lower mean NLL than Q+L while using 5056 more serialized bytes; the normal interval includes zero and the exact sign test is inconclusive. This is non-causal evidence from 16 fixed contiguous windows, not a population-level confidence claim; no multiple-comparison correction was applied."
obs_vs_qs,OBS value repair on the same frozen sparse support and serialized payload,Q+S_OBS,Q+S,left_minus_right; negative_nll_or_perplexity_favors_left,16,-0.02685603945274062,0.004707136088228,-0.0360820261856675,-0.01763005271981374,16,0,0,3.0517578125e-05,True,True,fixed_window_diagnostics_agree,left_lower_nll,4.363208905918392,4.390064945371132,-0.026856039452740177,78.50865754608051,80.6456563724863,-2.1369988264057866,3260546,3260546,0,3260546,3260546,0,equal_serialized_bytes,"Descriptive fixed-window comparison: Q+S_OBS has lower mean NLL than Q+S at equal serialized bytes; the normal interval and exact sign test agree on these fixed windows. This is non-causal evidence from 16 fixed contiguous windows, not a population-level confidence claim; no multiple-comparison correction was applied."
block_scale_vs_q,block-scale protection versus row-scale quantization,Q_block_scale,Q,left_minus_right; negative_nll_or_perplexity_favors_left,16,-0.07442798764686892,0.008997482597078294,-0.09206305353714238,-0.05679292175659546,16,0,0,3.0517578125e-05,True,True,fixed_window_diagnostics_agree,left_lower_nll,4.391435157595657,4.465863145242526,-0.0744279876468692,80.75623377665758,86.99608740113311,-6.239853624475529,3250496,3167552,82944,3250496,3167552,82944,left_uses_more_serialized_bytes,"Descriptive fixed-window comparison: Q_block_scale has lower mean NLL than Q while using 82944 more serialized bytes; the normal interval and exact sign test agree on these fixed windows. This is non-causal evidence from 16 fixed contiguous windows, not a population-level confidence claim; no multiple-comparison correction was applied."
