artifact_alignment_padding_bytes,artifact_container_bytes,artifact_file_bytes,artifact_logical_payload_bits,artifact_natural_file_bytes,artifact_path,artifact_physical_compression_ratio,artifact_scope,artifact_sha256,artifact_stream_bytes,artifact_tail_padding_bytes,artifact_to_reference_file_ratio,artifact_total_overhead_bytes,production_backend,ql_budget_file_bytes,reference_artifact_file_bytes,roundtrip_exact_fp16_endpoint,same_physical_bytes_as_ql,strategy,target_ratio,under_ql_serialized_cap_before_padding
63,6464,3167552,25288704,3167552,artifacts/Q.hrc,3.973430586143495,selected_linear_weights_only,53fdc6379f24a25634896a35b518e8c305cba1a68347aae811acfbcd400a4cf4,3161088,0,0.25167169233742,6464,False,3248832,12586048,True,False,Q,0.258,not_applicable
63,6464,3167552,25288704,3167552,artifacts/Q_global_scale.hrc,3.973430586143495,selected_linear_weights_only,bca364cb489d64473cc78e816f2cc4e682658ff6b59e3233106fe889e3495980,3161088,0,0.25167169233742,6464,False,3248832,12586048,True,False,Q_global_scale,0.258,not_applicable
39,6464,3250496,25952256,3250496,artifacts/Q_block_scale.hrc,3.8720392210911814,selected_linear_weights_only,b9bac5aa253986d8b9bdc6ea4e7b6af728ce2020c8094941443247ac871d8196,3244032,0,0.2582618467687395,6464,False,3248832,12586048,True,False,Q_block_scale,0.258,not_applicable
1071,13120,3260546,25971072,3260546,artifacts/Q_S.hrc,3.860104411960451,selected_linear_weights_only,562c15f776e964813339e5e2406f8b17ff3cdd88d7ea8f7c9ad8ae08c909310b,3246384,0,0.25906035000025424,14162,False,3248832,12586048,True,False,Q+S,0.258,not_applicable
1071,13120,3260546,25971072,3260546,artifacts/Q_S_OBS.hrc,3.860104411960451,selected_linear_weights_only,8b7e44b2fed4b7d0d0d0289f4a94fdebf2a6f4dbdf8407b8a5a5defd215be7a4,3246384,0,0.25906035000025424,14162,False,3248832,12586048,True,False,Q+S_OBS,0.258,not_applicable
54,10944,3248832,25903104,3248832,artifacts/Q_L.hrc,3.874022417902803,selected_linear_weights_only,69c80718e9b5944fa9ae2df7b4fdaab80ed001b7944370e4f37a6841ba58cdfa,3237888,0,0.2581296368804568,10944,False,3248832,12586048,True,True,Q+L,0.258,not_applicable
241,14272,3248832,25749600,3233152,artifacts/Q_S_L_QL_budget.hrc,3.874022417902803,selected_linear_weights_only,d2ef7b58458b99d4bf1808b6941670c708b7457fc84dede6c694b53092b80e5e,3218700,15680,0.2581296368804568,30132,False,3248832,12586048,True,True,Q+S+L_QL_budget,0.258,True
241,14272,3248832,25749600,3233152,artifacts/Q_S_L_QL_budget_component_scale.hrc,3.874022417902803,selected_linear_weights_only,e4eabd620381ecfd3909c894793f434cc9bec13de3c08f993ff2398799e613b6,3218700,15680,0.2581296368804568,30132,False,3248832,12586048,True,True,Q+S+L_QL_budget_component_scale,0.258,True
604,14272,3253888,25912512,3253888,artifacts/Q_S_L.hrc,3.8680028323040005,selected_linear_weights_only,59722cdac3084b9e23c51c1354dc91fdb90d57efdd7997e10e3c498c3693cce5,3239064,0,0.2585313515410079,14824,False,3248832,12586048,True,False,Q+S+L,0.258,not_applicable
604,14272,3253888,25912512,3253888,artifacts/Q_S_OBS_L.hrc,3.8680028323040005,selected_linear_weights_only,eb7876b7b2a138f506871cad4417532ff2b6c15df2e006621f6b6ba37b567b09,3239064,0,0.2585313515410079,14824,False,3248832,12586048,True,False,Q+S_OBS+L,0.258,not_applicable
604,14272,3253888,25912512,3253888,artifacts/Q_S_L_component_scale.hrc,3.8680028323040005,selected_linear_weights_only,4f4529a579ca1d8e6f183c5e8a48c9bff143638578c9ee14fcfbcd96700d1320,3239064,0,0.2585313515410079,14824,False,3248832,12586048,True,False,Q+S+L_component_scale,0.258,not_applicable
