comfort_tolerance,deployable,epsilon,hessian_cost,nll,nll_delta,normalized_hessian_cost,path_kind,payload_ratio_at_codec_endpoint,perplexity,perplexity_delta,strategy,target_ratio,taylor_fit_absolute_error,taylor_fit_nll_delta,tokens,within_local_comfort_fit
0.0001,False,0.0,0.0,4.267632401834323,0.0,0.0,noncodec_interpolation,0.251220703125,71.35250142583105,0.0,Q,0.258,0.0,0.0,2032,True
0.00019102622204876242,False,0.03125,0.05079225834924728,4.266677270724079,-0.000955131110243812,9.840967043391117e-06,noncodec_interpolation,0.251220703125,71.28438296813316,-0.06811845769789215,Q,0.258,1.1530327014156252e-06,-0.0009539780775423964,2032,True
0.00029423631082377,False,0.0625,0.2031690333969891,4.266161220280204,-0.00147118155411885,3.936386817356447e-05,noncodec_interpolation,0.251220703125,71.24760612083145,-0.10489530499960154,Q,0.258,2.639379058331408e-06,-0.0014685421750605186,2032,True
0.0003087384585108733,False,0.09375,0.4571303251432255,4.266093381746548,-0.001539020087775178,8.856870339052005e-05,noncodec_interpolation,0.251220703125,71.2427729516451,-0.10972847418595677,Q,0.258,4.672204779188234e-06,-0.0015436922925543663,2032,True
0.00023626492718076264,False,0.125,0.8126761335879564,4.266451077198419,-0.0011813246359038132,0.00015745547269425787,noncodec_interpolation,0.251220703125,71.26826072566728,-0.08424070016377527,Q,0.258,1.8962058798734083e-06,-0.0011794284300239398,2032,True
0.00017721521572795497,False,0.1875,1.828521300572902,4.268518477912963,0.0008860760786397748,0.0003542748135620802,noncodec_interpolation,0.251220703125,71.41575318929445,0.06325176346339845,Q,0.258,1.873484353003864e-05,0.0008673412351097361,2032,True
0.000942140113650325,False,0.25,3.2507045343518257,4.272343102402575,0.0047107005682516245,0.0006298218907770315,noncodec_interpolation,0.251220703125,71.68941462040439,0.33691319457334146,Q,0.258,3.893374791111466e-05,0.00467176682034051,2032,True
0.0035861248106467515,False,0.375,7.314085202291608,4.285563025887557,0.017930624053233757,0.0014170992542483208,noncodec_interpolation,0.251220703125,72.64343534265663,1.2909339168255798,Q,0.258,0.0003770383021404096,0.017553585751093347,2032,True
0.007728901059608617,False,0.5,13.002818137407303,4.306276907132366,0.038644505298043086,0.002519287563108126,noncodec_interpolation,0.251220703125,74.16385537268427,2.8113539468532167,Q,0.258,0.0011784769358085118,0.037466028362234574,2032,True
0.013356976246270592,False,0.625,20.31690333969891,4.334417283065676,0.06678488123135295,0.0039363868173564465,noncodec_interpolation,0.251220703125,76.28049599960873,4.927994573777681,Q,0.258,0.0023757865775887455,0.06440909465376421,2032,True
0.02052619213194351,False,0.75,29.25634080916643,4.370263362494041,0.10263096065971755,0.005668397016993283,noncodec_interpolation,0.251220703125,79.0644515690129,7.711950143181852,Q,0.258,0.00424817603403535,0.0983827846256822,2032,True
0.029289894404373663,False,0.875,39.821130545809865,4.414081873856191,0.1464494720218683,0.007715318162018636,noncodec_interpolation,0.251220703125,82.60596338425248,11.253461958421425,Q,0.258,0.007062373743879691,0.13938709827798862,2032,True
0.039646148681640625,True,1.0,52.01127254962921,4.465863145242526,0.19823074340820312,0.010077150252432504,codec_endpoint,0.251220703125,86.99608740113311,15.64358597530206,Q,0.258,0.010808707797519745,0.18742203561068338,2032,True
0.0001,False,0.0,0.0,4.267632401834323,0.0,0.0,noncodec_interpolation,0.2578125,71.35250142583105,0.0,Q_block_scale,0.258,0.0,0.0,2032,True
0.0001,False,0.03125,0.029065635346341878,4.267382884588767,-0.00024951724555588584,5.6314479575175915e-06,noncodec_interpolation,0.2578125,71.33469996718958,-0.017801458641471868,Q_block_scale,0.258,5.003580564073981e-07,-0.00024901688749947844,2032,True
0.0001,False,0.0625,0.11626254138536751,4.2673927367202875,-0.00023966511403550328,2.2525791830070366e-05,noncodec_interpolation,0.2578125,71.33540276949766,-0.017098656333388362,Q_block_scale,0.258,6.416481643817902e-06,-0.0002460815956793212,2032,True
0.0001,False,0.09375,0.2615907181170769,4.2676331527589815,7.509246584547213e-07,5.068303161765832e-05,noncodec_interpolation,0.2578125,71.35255500620393,5.358037287805928e-05,Q_block_scale,0.258,8.054950802017158e-06,8.805875460471879e-06,2032,True
0.00010372071754272127,False,0.125,0.46505016554147005,4.268151005422037,0.0005186035877136064,9.010316732028146e-05,noncodec_interpolation,0.2578125,71.38951468583798,0.03701326000692973,Q_block_scale,0.258,2.9580617937057397e-06,0.0005156455259199006,2032,True
0.000471382441483037,False,0.1875,1.0463628724683076,4.269989314041738,0.002356912207415185,0.0002027321264706333,noncodec_interpolation,0.2578125,71.52087134608969,0.16836992025864106,Q_block_scale,0.258,7.173084261751948e-05,0.0022851813647976654,2032,True
0.0010377959003598392,False,0.25,1.8602006621658802,4.272821381336122,0.005188979501799196,0.00036041266928112586,noncodec_interpolation,0.2578125,71.72371035798632,0.3712089321552696,Q_block_scale,0.258,0.00012645358084522294,0.005062525920953973,2032,True
0.002815348707784793,False,0.375,4.1854514898732305,4.281709145373247,0.014076743538923964,0.0008109285058825332,noncodec_interpolation,0.2578125,72.36401499485225,1.0115135690212043,Q_block_scale,0.258,0.0004361023538217469,0.013640641185102217,2032,True
0.005453488207238877,False,0.5,7.440802648663521,4.294899842870517,0.027267441036194384,0.0014416506771245034,noncodec_interpolation,0.2578125,73.32487006872859,1.9723686428975356,Q_block_scale,0.258,0.0010174497178297506,0.026249991318364634,2032,True
0.008930464616910605,False,0.625,11.626254138536751,4.312284724918876,0.044652323084553025,0.002252579183007037,noncodec_interpolation,0.2578125,74.61075941693399,3.258257991102937,Q_block_scale,0.258,0.0017617467638118,0.042890576320741225,2032,True
0.0133085355983944,False,0.75,16.741805959492922,4.334175079826295,0.066542677991972,0.0032437140235301327,noncodec_interpolation,0.2578125,76.26202285359425,4.909521427763195,Q_block_scale,0.258,0.0029802817997400116,0.06356239619223199,2032,True
0.018568348321388938,False,0.875,22.787458111532032,4.360474143441268,0.0928417416069447,0.004415055198693792,noncodec_interpolation,0.2578125,78.29424832806538,6.941746902234328,Q_block_scale,0.258,0.00457629067410778,0.08826545093283691,2032,True
0.024760551152266788,True,1.0,29.763210594654083,4.391435157595657,0.12380275576133393,0.005766602708498014,codec_endpoint,0.2578125,80.75623377665758,9.40373235082653,Q_block_scale,0.258,0.006803015218777908,0.11699974054255602,2032,True
0.0001,False,0.0,0.0,4.267632401834323,0.0,0.0,noncodec_interpolation,0.2579994201660156,71.35250142583105,0.0,Q+S_OBS,0.258,0.0,0.0,2032,True
0.00010663360758488488,False,0.03125,0.029522791148338,4.267111935953456,-0.0005204658808670715,5.720021597031802e-06,noncodec_interpolation,0.2579994201660156,71.31537454579964,-0.037126880031408405,Q+S_OBS,0.258,1.270215705735287e-05,-0.0005331680379244243,2032,True
0.00017420851339515765,False,0.0625,0.118091164593352,4.266761359267347,-0.0008710425669757882,2.2880086388127206e-05,noncodec_interpolation,0.2579994201660156,71.29037742008354,-0.06212400574750632,Q+S_OBS,0.258,1.1244684965080196e-05,-0.000859797882010708,2032,True
0.00019597790645177026,False,0.09375,0.265705120335042,4.266654803058294,-0.0009775987760294313,5.148019437328621e-05,noncodec_interpolation,0.2579994201660156,71.2827813924328,-0.06972003339825505,Q+S_OBS,0.258,2.290756229419858e-06,-0.0009798895322588512,2032,True
0.00017868859773377077,False,0.125,0.472364658373408,4.2667396875817,-0.0008927142526227172,9.152034555250883e-05,noncodec_interpolation,0.2579994201660156,71.2888324541755,-0.06366897165554519,Q+S_OBS,0.258,7.287360461365536e-07,-0.0008934429886688538,2032,True
0.0001,False,0.1875,1.062820481340168,4.267531642763633,-0.00010075907068962664,0.00020592077749314485,noncodec_interpolation,0.2579994201660156,71.34531237628306,-0.007189049547989157,Q+S_OBS,0.258,1.762492848108449e-07,-0.00010093531997443748,2032,True
0.0003108197309838801,False,0.25,1.889458633493632,4.269186500489242,0.0015540986549194002,0.0003660813822100353,noncodec_interpolation,0.2579994201660156,71.46347646306434,0.11097503723328828,Q+S_OBS,0.258,3.637353084685879e-05,0.0015177251240725415,2032,True
0.0014946644700417622,False,0.375,4.251281925360672,4.275105724184532,0.007473322350208811,0.0008236831099725794,noncodec_interpolation,0.2579994201660156,71.88773918050958,0.5352377546785334,Q+S_OBS,0.258,0.00023981801198462611,0.007233504338224185,2032,True
0.0034198490653450267,False,0.5,7.557834533974528,4.284731647161048,0.017099245326725132,0.0014643255288401412,noncodec_interpolation,0.2579994201660156,72.58306623416573,1.2305648083346767,Q+S_OBS,0.258,0.0008453506729390534,0.01625389465378608,2032,True
