cols,effective_rank,frobenius_norm,has_bias,in_channel_max_over_median,in_channel_outlier_count,in_channel_top1pct_energy_frac,in_features,layer,module_type,name,out_channel_max_over_median,out_channel_outlier_count,out_channel_top1pct_energy_frac,out_features,params,participation_ratio,rank,rank_90,rank_95,rank_99,rows,sigma_max,sigma_min_positive,spectral_entropy,stable_rank,top_10_energy,top_1_energy
8960,1352.8514689330902,99.44661159803735,False,1.2365988488075772,18,0.012099708443872967,8960,0,down_proj,model.layers.0.mlp.down_proj,1.8224236820279784,2,0.014073960779142395,1536,13762560,1200.162194567923,1536,1172,1310,1462,1536,6.849689960479736,0.4540271461009979,0.9826948122744739,210.78424749092378,0.027065122424168104,0.004744187537273435
1536,1007.1088560434223,114.23305516372922,False,1.3405197608270074,11,0.014102164647755634,1536,0,gate_proj,model.layers.0.mlp.gate_proj,2.3509232876975474,242,0.029098207865313315,8960,13762560,734.7393496676999,1536,908,1069,1288,8960,11.778875350952148,0.1792731136083603,0.9424694620591905,94.05371027547496,0.05035466015070206,0.010632222770064986
1536,194.29543108344527,35.039160388253,True,1.2444584562083025,0,0.015083573471575122,1536,0,k_proj,model.layers.0.self_attn.k_proj,1.3734532096442553,0,0.02158073197713034,256,393216,168.20517222198745,256,164,189,226,256,4.164405345916748,0.2235243171453476,0.9502635207101529,70.79480525089457,0.10867490643964622,0.014125330191332984
1536,1068.6464848793066,35.24662534266246,False,1.2510916620473609,0,0.015590827156861182,1536,0,o_proj,model.layers.0.self_attn.o_proj,2.555858961243424,150,0.031550903363412326,1536,2359296,852.8392152930452,1536,937,1079,1262,1536,3.5043540000915527,0.00010064729576697573,0.9505531042902933,101.16240428210024,0.034495523282456614,0.009885095229759588
1536,269.8240420640529,74.66043318408208,True,2.9121792532921837,5,0.027438717566906082,1536,0,q_proj,model.layers.0.self_attn.q_proj,5.182421553513072,3,0.1310058857393424,1536,2359296,43.44605299919642,1536,445,607,918,1536,27.40561866760254,4.8402504035038874e-05,0.762957364405683,7.4216725635405,0.2836653465533335,0.1347405172403552
1536,1148.2583945269573,94.88127383398005,False,1.0395095729618964,0,0.011456343192279844,1536,0,up_proj,model.layers.0.mlp.up_proj,1.381101022174335,12,0.014495485307233538,8960,13762560,980.0132459881876,1536,980,1135,1344,8960,4.951335906982422,0.18830762803554535,0.960346492925239,367.2114650117484,0.021981425843313394,0.00272322652008702
1536,239.04122051123008,11.76224900565625,True,1.332826466907355,0,0.0176811059668092,1536,0,v_proj,model.layers.0.self_attn.v_proj,1.0793487812672002,0,0.013625115833824884,256,393216,225.80376534080912,256,207,228,248,256,1.1049457788467407,0.20438332855701447,0.9876394511541964,113.31797472535861,0.07230167647596607,0.00882472531320503
8960,1322.1840416833663,103.2922512721922,False,1.9064400982658731,13,0.01817689867562411,8960,1,down_proj,model.layers.1.mlp.down_proj,2.105672197699854,7,0.016482700465472042,1536,13762560,1123.689894951243,1536,1170,1318,1473,1536,7.740353107452393,0.7464613318443298,0.9795695819438116,178.07950493248055,0.03221715129289155,0.005615469339827474
1536,1249.5312144564598,119.70061957810906,False,1.2044591405493503,79,0.013143259660687072,1536,1,gate_proj,model.layers.1.mlp.gate_proj,2.5499763751152926,3,0.01656467080956733,8960,13762560,884.7996250104248,1536,1156,1311,1471,8960,13.98426628112793,0.39992693066596985,0.9718665725745561,73.26784647704955,0.044039723194288914,0.013648551828437328
1536,170.90949041558085,27.832949327720584,True,1.5142706384069373,2,0.01668107847971301,1536,1,k_proj,model.layers.1.self_attn.k_proj,1.7855439065329177,0,0.029980922614220334,256,393216,134.9746834279953,256,152,183,226,256,3.8187544345855713,0.16362488269805908,0.9271360875347754,53.122070519545254,0.14725912613426403,0.018824567457928227
