block_size,compression_ratio_actual,compression_ratio_target,has_bias,in_features,layer,method,module_type,name,out_features,params_original,params_structured,rank,relative_weight_error,terms
16,16.0,16.0,False,1536,0,block_circulant,o_proj,model.layers.0.self_attn.o_proj,1536,2359296,147456,0,0.9683178803247683,
64,16.0,16.0,False,1536,0,monarch_like,o_proj,model.layers.0.self_attn.o_proj,1536,2359296,147456,24,0.966414883225416,2
,2.0,2.0,True,1536,0,low_rank,q_proj,model.layers.0.self_attn.q_proj,1536,2359296,1179648,384,0.3587027362957946,
16,16.0,2.0,True,1536,0,block_circulant,q_proj,model.layers.0.self_attn.q_proj,1536,2359296,147456,0,0.9681462558121934,
64,6.0,2.0,True,1536,0,monarch_like,q_proj,model.layers.0.self_attn.q_proj,1536,2359296,393216,64,0.9567708458719524,2
,4.0,4.0,True,1536,0,low_rank,q_proj,model.layers.0.self_attn.q_proj,1536,2359296,589824,192,0.5336072190668785,
16,16.0,4.0,True,1536,0,block_circulant,q_proj,model.layers.0.self_attn.q_proj,1536,2359296,147456,0,0.9681462558121934,
64,6.0,4.0,True,1536,0,monarch_like,q_proj,model.layers.0.self_attn.q_proj,1536,2359296,393216,64,0.9567708458719524,2
,8.0,8.0,True,1536,0,low_rank,q_proj,model.layers.0.self_attn.q_proj,1536,2359296,294912,96,0.6541262609257347,
16,16.0,8.0,True,1536,0,block_circulant,q_proj,model.layers.0.self_attn.q_proj,1536,2359296,147456,0,0.9681462558121934,
64,8.0,8.0,True,1536,0,monarch_like,q_proj,model.layers.0.self_attn.q_proj,1536,2359296,294912,48,0.956973397014453,2
,16.0,16.0,True,1536,0,low_rank,q_proj,model.layers.0.self_attn.q_proj,1536,2359296,147456,48,0.7346556366267273,
16,16.0,16.0,True,1536,0,block_circulant,q_proj,model.layers.0.self_attn.q_proj,1536,2359296,147456,0,0.9681462558121934,
64,16.0,16.0,True,1536,0,monarch_like,q_proj,model.layers.0.self_attn.q_proj,1536,2359296,147456,24,0.9612825900056882,2
,2.0018618506795756,2.0,False,1536,0,low_rank,up_proj,model.layers.0.mlp.up_proj,8960,13762560,6874880,655,0.5146292138123644,
16,16.0,2.0,False,1536,0,block_circulant,up_proj,model.layers.0.mlp.up_proj,8960,13762560,860160,0,0.9682415866864408,
64,6.0,2.0,False,1536,0,monarch_like,up_proj,model.layers.0.mlp.up_proj,8960,13762560,2293760,64,0.9574701165318947,2
,4.009845603043186,4.0,False,1536,0,low_rank,up_proj,model.layers.0.mlp.up_proj,8960,13762560,3432192,327,0.7335038249080035,
16,16.0,4.0,False,1536,0,block_circulant,up_proj,model.layers.0.mlp.up_proj,8960,13762560,860160,0,0.9682415866864408,
64,6.0,4.0,False,1536,0,monarch_like,up_proj,model.layers.0.mlp.up_proj,8960,13762560,2293760,64,0.9574701165318947,2
,8.044291485859643,8.0,False,1536,0,low_rank,up_proj,model.layers.0.mlp.up_proj,8960,13762560,1710848,163,0.8565968908315678,
16,16.0,8.0,False,1536,0,block_circulant,up_proj,model.layers.0.mlp.up_proj,8960,13762560,860160,0,0.9682415866864408,
64,8.0,8.0,False,1536,0,monarch_like,up_proj,model.layers.0.mlp.up_proj,8960,13762560,1720320,48,0.9579643481434432,2
,16.187895212285458,16.0,False,1536,0,low_rank,up_proj,model.layers.0.mlp.up_proj,8960,13762560,850176,81,0.924143299211623,
16,16.0,16.0,False,1536,0,block_circulant,up_proj,model.layers.0.mlp.up_proj,8960,13762560,860160,0,0.9682415866864408,
64,16.0,16.0,False,1536,0,monarch_like,up_proj,model.layers.0.mlp.up_proj,8960,13762560,860160,24,0.966238594530878,2
