compression_ratio_target,has_bias,in_channel_max_over_median,in_channel_outlier_count,in_channel_top1pct_energy_frac,in_features,layer,module_type,name,out_channel_max_over_median,out_channel_outlier_count,out_channel_top1pct_energy_frac,out_features,relative_weight_error_after_residual,residual_channels,residual_density_1e_6,residual_effective_rank,residual_fraction,residual_l1,residual_l2,residual_params,residual_rank,residual_rank_90,residual_rank_95,residual_rank_99,residual_top_1pct_l1_frac,residual_type
2.0,False,1.6461237687302637,21,0.015901838197505604,8960,0,down_proj,model.layers.0.mlp.down_proj,1.2030972590982343,0,0.01430414327797619,1536,0.6162822674268279,0,0.9999513171968006,818.2792040695474,0.0,180053.16419853288,61.27502614383118,0,0,694,765,845,0.03834959497595237,none
2.0,False,1.6461237687302637,21,0.015901838197505604,8960,0,down_proj,model.layers.0.mlp.down_proj,1.2030972590982343,0,0.01430414327797619,1536,0.6162822674268279,0,0.9999513171968006,818.2792040695474,0.01,180053.16419853288,61.27502614383118,0,0,694,765,845,0.03834959497595237,none
2.0,False,1.6461237687302637,21,0.015901838197505604,8960,0,down_proj,model.layers.0.mlp.down_proj,1.2030972590982343,0,0.01430414327797619,1536,0.6090453516021549,0,0.9999513171968006,818.2792040695474,0.01,180053.16419853288,61.27502614383118,136448,13,694,765,845,0.03834959497595237,low_rank
2.0,False,1.6461237687302637,21,0.015901838197505604,8960,0,down_proj,model.layers.0.mlp.down_proj,1.2030972590982343,0,0.01430414327797619,1536,0.5864172710755734,0,0.9999513171968006,818.2792040695474,0.01,180053.16419853288,61.27502614383118,137625,0,694,765,845,0.03834959497595237,sparse
2.0,False,1.6461237687302637,21,0.015901838197505604,8960,0,down_proj,model.layers.0.mlp.down_proj,1.2030972590982343,0,0.01430414327797619,1536,0.6114122568573364,89,0.9999513171968006,818.2792040695474,0.01,180053.16419853288,61.27502614383118,136704,0,694,765,845,0.03834959497595237,channel_in
2.0,False,1.6461237687302637,21,0.015901838197505604,8960,0,down_proj,model.layers.0.mlp.down_proj,1.2030972590982343,0,0.01430414327797619,1536,0.6162822674268279,0,0.9999513171968006,818.2792040695474,0.02,180053.16419853288,61.27502614383118,0,0,694,765,845,0.03834959497595237,none
2.0,False,1.6461237687302637,21,0.015901838197505604,8960,0,down_proj,model.layers.0.mlp.down_proj,1.2030972590982343,0,0.01430414327797619,1536,0.6018017117268832,0,0.9999513171968006,818.2792040695474,0.02,180053.16419853288,61.27502614383118,272896,26,694,765,845,0.03834959497595237,low_rank
2.0,False,1.6461237687302637,21,0.015901838197505604,8960,0,down_proj,model.layers.0.mlp.down_proj,1.2030972590982343,0,0.01430414327797619,1536,0.5661936453872864,0,0.9999513171968006,818.2792040695474,0.02,180053.16419853288,61.27502614383118,275251,0,694,765,845,0.03834959497595237,sparse
2.0,False,1.6461237687302637,21,0.015901838197505604,8960,0,down_proj,model.layers.0.mlp.down_proj,1.2030972590982343,0,0.01430414327797619,1536,0.6070875928699073,179,0.9999513171968006,818.2792040695474,0.02,180053.16419853288,61.27502614383118,274944,0,694,765,845,0.03834959497595237,channel_in
2.0,False,1.6461237687302637,21,0.015901838197505604,8960,0,down_proj,model.layers.0.mlp.down_proj,1.2030972590982343,0,0.01430414327797619,1536,0.6162822674268279,0,0.9999513171968006,818.2792040695474,0.04,180053.16419853288,61.27502614383118,0,0,694,765,845,0.03834959497595237,none
2.0,False,1.6461237687302637,21,0.015901838197505604,8960,0,down_proj,model.layers.0.mlp.down_proj,1.2030972590982343,0,0.01430414327797619,1536,0.5872972675362959,0,0.9999513171968006,818.2792040695474,0.04,180053.16419853288,61.27502614383118,545792,52,694,765,845,0.03834959497595237,low_rank
2.0,False,1.6461237687302637,21,0.015901838197505604,8960,0,down_proj,model.layers.0.mlp.down_proj,1.2030972590982343,0,0.01430414327797619,1536,0.5329237259674834,0,0.9999513171968006,818.2792040695474,0.04,180053.16419853288,61.27502614383118,550502,0,694,765,845,0.03834959497595237,sparse
2.0,False,1.6461237687302637,21,0.015901838197505604,8960,0,down_proj,model.layers.0.mlp.down_proj,1.2030972590982343,0,0.01430414327797619,1536,0.5989100900585398,358,0.9999513171968006,818.2792040695474,0.04,180053.16419853288,61.27502614383118,549888,0,694,765,845,0.03834959497595237,channel_in
4.0,False,1.4116108162649557,1,0.013401102175579955,8960,0,down_proj,model.layers.0.mlp.down_proj,1.0658116590460125,0,0.011610818226598674,1536,0.7981807217076441,0,0.9999613444010417,1109.2254229849618,0.0,233162.51765924715,79.36062284397944,0,0,942,1044,1155,0.03804969367990044,none
4.0,False,1.4116108162649557,1,0.013401102175579955,8960,0,down_proj,model.layers.0.mlp.down_proj,1.0658116590460125,0,0.011610818226598674,1536,0.7981807217076441,0,0.9999613444010417,1109.2254229849618,0.01,233162.51765924715,79.36062284397944,0,0,942,1044,1155,0.03804969367990044,none
4.0,False,1.4116108162649557,1,0.013401102175579955,8960,0,down_proj,model.layers.0.mlp.down_proj,1.0658116590460125,0,0.011610818226598674,1536,0.790931663952951,0,0.9999613444010417,1109.2254229849618,0.01,233162.51765924715,79.36062284397944,136448,13,942,1044,1155,0.03804969367990044,low_rank
4.0,False,1.4116108162649557,1,0.013401102175579955,8960,0,down_proj,model.layers.0.mlp.down_proj,1.0658116590460125,0,0.011610818226598674,1536,0.7603139296037649,0,0.9999613444010417,1109.2254229849618,0.01,233162.51765924715,79.36062284397944,137625,0,942,1044,1155,0.03804969367990044,sparse
4.0,False,1.4116108162649557,1,0.013401102175579955,8960,0,down_proj,model.layers.0.mlp.down_proj,1.0658116590460125,0,0.011610818226598674,1536,0.7928708295645924,89,0.9999613444010417,1109.2254229849618,0.01,233162.51765924715,79.36062284397944,136704,0,942,1044,1155,0.03804969367990044,channel_in
4.0,False,1.4116108162649557,1,0.013401102175579955,8960,0,down_proj,model.layers.0.mlp.down_proj,1.0658116590460125,0,0.011610818226598674,1536,0.7981807217076441,0,0.9999613444010417,1109.2254229849618,0.02,233162.51765924715,79.36062284397944,0,0,942,1044,1155,0.03804969367990044,none
4.0,False,1.4116108162649557,1,0.013401102175579955,8960,0,down_proj,model.layers.0.mlp.down_proj,1.0658116590460125,0,0.011610818226598674,1536,0.7836930229883918,0,0.9999613444010417,1109.2254229849618,0.02,233162.51765924715,79.36062284397944,272896,26,942,1044,1155,0.03804969367990044,low_rank
4.0,False,1.4116108162649557,1,0.013401102175579955,8960,0,down_proj,model.layers.0.mlp.down_proj,1.0658116590460125,0,0.011610818226598674,1536,0.734098734287709,0,0.9999613444010417,1109.2254229849618,0.02,233162.51765924715,79.36062284397944,275251,0,942,1044,1155,0.03804969367990044,sparse
4.0,False,1.4116108162649557,1,0.013401102175579955,8960,0,down_proj,model.layers.0.mlp.down_proj,1.0658116590460125,0,0.011610818226598674,1536,0.7878788753798153,179,0.9999613444010417,1109.2254229849618,0.02,233162.51765924715,79.36062284397944,274944,0,942,1044,1155,0.03804969367990044,channel_in
