batch_index,nll,nll_sum,perplexity,sequence_index,strategy,tokens,window_index
0,2.644844115249754,335.89520263671875,14.081249859910384,0,dense,127,0
1,3.6715703048105315,466.2894287109375,39.31359173703824,0,dense,127,1
2,2.6712310070127954,339.246337890625,14.457755841642374,0,dense,127,2
3,2.8141008512241634,357.39080810546875,16.678172877695154,0,dense,127,3
4,3.4926447830800935,443.5658874511719,32.87277419399131,0,dense,127,4
5,4.084391436238927,518.7177124023438,59.405774546964395,0,dense,127,5
6,4.091558501476378,519.6279296875,59.83306900318375,0,dense,127,6
7,3.695296159879429,469.3026123046875,40.25749347705426,0,dense,127,7
0,2.7017968846118356,343.1282043457031,14.906492922028649,0,Q,127,0
1,3.7737945796936514,479.27191162109375,43.544986655591,0,Q,127,1
2,2.803919994924951,356.09783935546875,16.509236215420636,0,Q,127,2
3,3.0286019392839565,384.6324462890625,20.668316819286424,0,Q,127,3
4,3.5612300362173968,452.2762145996094,35.20647576279148,0,Q,127,4
5,4.179896076833169,530.8468017578125,65.35906054050552,0,Q,127,5
6,4.180388202817421,530.9093017578125,65.39123334839185,0,Q,127,6
7,3.837849534402682,487.4068908691406,46.42553050911574,0,Q,127,7
0,2.723498246801181,345.88427734375,15.233519753443769,0,Q_global_scale,127,0
1,3.7871622400959644,480.9696044921875,44.130989265112305,0,Q_global_scale,127,1
2,2.805170254444513,356.2566223144531,16.52988995373573,0,Q_global_scale,127,2
3,3.0234216404712106,383.97454833984375,20.561525606219305,0,Q_global_scale,127,3
4,3.56653793214813,452.9503173828125,35.39384490026188,0,Q_global_scale,127,4
5,4.185011495755413,531.4964599609375,65.69425611749725,0,Q_global_scale,127,5
6,4.189226766270916,532.0317993164062,65.97175964366131,0,Q_global_scale,127,6
7,3.8475048635888287,488.63311767578125,46.87595528933968,0,Q_global_scale,127,7
0,2.681089386226624,340.49835205078125,14.600990753294713,0,Q_block_scale,127,0
1,3.7245536263533463,473.018310546875,41.452725210384344,0,Q_block_scale,127,1
2,2.782767228254183,353.41143798828125,16.16368773131388,0,Q_block_scale,127,2
3,2.9621358556071606,376.1912536621094,19.339233485546398,0,Q_block_scale,127,3
4,3.512954832062008,446.145263671875,33.54724796089513,0,Q_block_scale,127,4
5,4.150885634534941,527.1624755859375,63.49020452400487,0,Q_block_scale,127,5
6,4.200252022330217,533.4320068359375,66.70313960344525,0,Q_block_scale,127,6
7,3.7853326271838093,480.73724365234375,44.05032045617702,0,Q_block_scale,127,7
0,2.609184205062746,331.36639404296875,13.58796133899378,0,Q+S,127,0
1,3.715644896499754,471.88690185546875,41.08507416328257,0,Q+S,127,1
2,2.724589430441068,346.0228576660156,15.250151393413093,0,Q+S,127,2
3,2.9059899998462106,369.06072998046875,18.28333519445026,0,Q+S,127,3
4,3.5109791192482778,445.89434814453125,33.48103366498848,0,Q+S,127,4
5,4.134675273745079,525.103759765625,62.4693023539034,0,Q+S,127,5
6,4.1252566360113185,523.9075927734375,61.88368879570735,0,Q+S,127,6
7,3.7752983513779528,479.462890625,43.610517632982166,0,Q+S,127,7
0,2.618612935223917,332.5638427734375,13.716684454025604,0,Q+S_OBS,127,0
1,3.6912846602792815,468.79315185546875,40.09632403976462,0,Q+S_OBS,127,1
2,2.704468734621063,343.467529296875,14.946374089803918,0,Q+S_OBS,127,2
3,2.8698115311269685,364.466064453125,17.633694484111878,0,Q+S_OBS,127,3
4,3.503526582492618,444.9478759765625,33.2324424989517,0,Q+S_OBS,127,4
5,4.126290869525098,524.0389404296875,61.9477240886313,0,Q+S_OBS,127,5
6,4.1279311292753444,524.2472534179688,62.049417826345476,0,Q+S_OBS,127,6
7,3.7316231314591537,473.9161376953125,41.74681376836346,0,Q+S_OBS,127,7
0,2.6198124923105315,332.7161865234375,13.733148272738287,0,Q+L,127,0
1,3.6924649936946357,468.94305419921875,40.143679012692225,0,Q+L,127,1
2,2.6894742710383857,341.563232421875,14.723933087252242,0,Q+L,127,2
3,2.8808992641178643,365.87420654296875,17.83030012141525,0,Q+L,127,3
4,3.4923989603838583,443.53466796875,32.864694313155944,0,Q+L,127,4
5,4.100620540108268,520.77880859375,60.37774278598203,0,Q+L,127,5
6,4.134843961460384,525.1251831054688,62.47984104664322,0,Q+L,127,6
7,3.7362793449341782,474.5074768066406,41.94164909058982,0,Q+L,127,7
0,2.628749096487451,333.85113525390625,13.856426004659752,0,Q+S+L_QL_budget,127,0
1,3.7006929652897393,469.9880065917969,40.475342651711884,0,Q+S+L_QL_budget,127,1
2,2.698000930425689,342.6461181640625,14.85001581788658,0,Q+S+L_QL_budget,127,2
3,2.8854374923105315,366.4505615234375,17.91140198229122,0,Q+S+L_QL_budget,127,3
4,3.510539137472318,445.8384704589844,33.466305860555956,0,Q+S+L_QL_budget,127,4
5,4.113362470011073,522.3970336914062,61.15199400424303,0,Q+S+L_QL_budget,127,5
6,4.135350505198081,525.1895141601562,62.51149783595496,0,Q+S+L_QL_budget,127,6
7,3.73586867925689,474.455322265625,41.9244286310273,0,Q+S+L_QL_budget,127,7
0,2.6336881382258857,334.4783935546875,13.92503275738312,0,Q+S+L_QL_budget_component_scale,127,0
1,3.7007078636349657,469.9898986816406,40.47594567183186,0,Q+S+L_QL_budget_component_scale,127,1
