codec_endpoint_fit_error,codec_endpoint_nll_delta,codec_endpoint_within_comfort_fit,hessian_proxy_nll_correlation,interpretation,max_contiguous_comfort_epsilon,small_epsilon_fit_max,strategy,target_ratio,taylor_linear_coefficient,taylor_quadratic_coefficient
0.016785988820987086,0.11273001122662407,True,0.999175628143926,local_fit_reaches_codec_endpoint,1.0,0.125,Q,0.258,0.008142452613031809,0.12137354743457934
0.013530930608005698,0.0792917566975273,True,0.9999809916642141,local_fit_reaches_codec_endpoint,1.0,0.125,Q_block_scale,0.258,-0.0035218881961194505,0.09634457550165246
0.0023944475882428998,0.025989051878921643,True,0.9833741220490416,local_fit_reaches_codec_endpoint,1.0,0.125,Q+S_OBS,0.258,-0.019563561270673845,0.04794706073783839
0.0019809578528630772,0.02264458363450439,True,0.9745529213284642,local_fit_reaches_codec_endpoint,1.0,0.125,Q+L,0.258,-0.021039979531125366,0.04566552101849283
0.0027043577799668664,0.029897794948788192,True,0.9944220387783463,local_fit_reaches_codec_endpoint,1.0,0.125,Q+S+L_QL_budget_component_scale,0.258,-0.013120419185177784,0.04572257191393284
0.0020641858849444333,0.021871371532049988,True,0.9656628704358248,local_fit_reaches_codec_endpoint,0.375,0.125,Q+S+L_component_scale,0.258,-0.023246525228399005,0.047182082645393426
