layer,layer_family,layer_short,selected_order,selected_predicted_hessian_cost,selected_q_method,selected_r_method,selected_s_method,selection_family
gpt_neox.layers.0.attention.dense,attention,L0:dense,rsq,0.1588040590286255,rtn,whitened_svd,wanda,hessian_layerwise
gpt_neox.layers.0.attention.query_key_value,attention,L0:query_key_value,rsq,18.56282615661621,rtn,whitened_svd,wanda,hessian_layerwise
gpt_neox.layers.0.mlp.dense_4h_to_h,mlp,L0:dense_4h_to_h,rsq,0.2372765690088272,rtn,whitened_svd,wanda,hessian_layerwise
gpt_neox.layers.0.mlp.dense_h_to_4h,mlp,L0:dense_h_to_4h,rsq,9.781353950500488,rtn,whitened_svd,wanda,hessian_layerwise
