beats_best_single_nominal,benchmark_drop_fraction,benchmark_drop_percent,benchmark_metric_effective,benchmark_metric_requested,best_single_nominal_memory_ratio,candidate_index,factorized_rank_memory_ratio,family,frontier_candidate_scope,frontier_status,frontier_triple_candidate_cap,frontier_triple_evaluated_count,frontier_triple_full_grid_count,loss_degradation,lossless_pass,lossless_threshold_percent,nll,nominal_bits,nominal_keep_fraction,nominal_memory_ratio,nominal_memory_saving,nominal_rank_fraction,order,perplexity,ppl_degradation,predicted_hessian_cost,q_method,r_method,s_method,selected_parameter_count,selection_rule,strategy,tokens,zero_shot_accuracy,zero_shot_accuracy_degradation
,0.0,0.0,ppl,ppl,0.25,5,,q_only,single_method_full_grid,pass,672,672,2688,-0.022627702848179165,True,1.0,3.8637895959568773,4,1.0,0.25,0.75,1.0,q,47.64556712927751,-1.0903998322242714,19.338533960282803,rotated_rtn,,,3145728,lowest passing bit,lossless_frontier,254,nan,nan
,0.0,0.0,ppl,ppl,0.25,19,,s_only,single_method_full_grid,pass,672,672,2688,-0.007091732475701384,True,1.0,3.879325566329355,16,0.8,0.8,0.19999999999999996,1.0,s,48.391567160889075,-0.34439980061270603,1.369477543514222,,,wanda,3145728,lowest passing keep fraction,lossless_frontier,254,nan,nan
,0.0,0.0,ppl,ppl,0.25,33,0.6666666666666666,r_only,single_method_full_grid,pass,672,672,2688,-0.017492219219057414,True,1.0,3.868925079585999,16,1.0,0.6666666666666666,0.33333333333333337,0.5,r,47.89087951901189,-0.8450874424898913,0.0033871645537146833,,whitened_svd,,3145728,lowest passing rank fraction,lossless_frontier,254,nan,nan
True,0.0,0.0,ppl,ppl,0.25,138,0.6666666666666666,qsr_stack,qsr_lowest_nominal_memory_capped,pass,672,672,2688,-0.003256129467581026,True,1.0,3.8831611693374755,4,0.8,0.13333333333333333,0.8666666666666667,0.5,rqs,48.57753442175815,-0.1584325397436288,15.101260781288147,rotated_rtn,whitened_svd,wanda,3145728,lowest passing nominal memory ratio,lossless_frontier,254,nan,nan
