family,memory_ratio,nll,perplexity,ppl_delta,selected_mean_score,status,strategy,target_memory_ratio,tokens
baseline,1.0,3.2665973873588983,26.221964188158882,0.0,0.0,ok,dense_baseline,1.0,1016
q_only,0.1875,3.3135798596960355,27.48333606403727,1.261371875878389,0.080123848374933,ok,q_only_target0.196,0.196,1016
q_l,0.194921875,3.3201971279354545,27.665803723784247,1.443839535625365,0.07741483300924301,ok,q_l_target0.196,0.196,1016
q_c,0.15625,4.754579018420122,116.11476069830148,89.8927965101426,0.6295428283512592,ok,q_c_target0.196,0.196,1016
q_c_l,0.19453125,4.189656235101655,66.0000985430387,39.778134354879825,0.5391449362039566,ok,q_c_l_target0.196,0.196,1016
q_l_c,0.191796875,4.249404787078617,70.06369711535413,43.84173292719525,0.5425818085670471,ok,q_l_c_target0.196,0.196,1016
selector,0.194921875,3.3201971279354545,27.665803723784247,1.443839535625365,0.07741483300924301,ok,selector_target0.196,0.196,1016
q_only,0.1875,3.3135798596960355,27.48333606403727,1.261371875878389,0.080123848374933,ok,q_only_target0.220,0.22,1016
q_l,0.219140625,3.3049213679756706,27.246399065052536,1.024434876893654,0.07359310584142803,ok,q_l_target0.220,0.22,1016
q_c,0.203125,3.318721320685439,27.625004443413157,1.4030402552542753,0.07907884251326322,ok,q_c_target0.220,0.22,1016
q_c_l,0.21796875,3.310087188960999,27.387513256632662,1.16554906847378,0.07475736122578383,ok,q_c_l_target0.220,0.22,1016
q_l_c,0.21796875,3.3176938154566007,27.59663418469149,1.3746699965326066,0.07474111476913095,ok,q_l_c_target0.220,0.22,1016
selector,0.219140625,3.3049213679756706,27.246399065052536,1.024434876893654,0.07359310584142803,ok,selector_target0.220,0.22,1016
q_only,0.25,3.2528432410533035,25.863772414100065,-0.35819177405881675,0.014942755387164653,ok,q_only_target0.258,0.258,1016
q_l,0.257421875,3.2505820567213646,25.805355727490863,-0.4166084606680194,0.014257591520436107,ok,q_l_target0.258,0.258,1016
q_c,0.21875,3.3165268785371556,27.564449435847063,1.342485247688181,0.07756763193756341,ok,q_c_target0.258,0.258,1016
q_c_l,0.25703125,3.297762382687546,27.052039035383878,0.8300748472249957,0.06898918151855468,ok,q_c_l_target0.258,0.258,1016
q_l_c,0.254296875,3.3107307313934085,27.405143955974577,1.1831797678156946,0.06988650104030968,ok,q_l_c_target0.258,0.258,1016
selector,0.257421875,3.2505820567213646,25.805355727490863,-0.4166084606680194,0.014257591520436107,ok,selector_target0.258,0.258,1016
