activation_error,block_circulant_projection_error,block_size,family,filter_pass,filter_threshold,hessian_cost_norm,layer,layer_short,lowrank_projection_error_at_c_memory,lowrank_projection_error_at_matched_memory,memory_ratio,oasr_layer_family,q_bits,q_method,random_block_circulant_projection_error,rank,residual_effective_rank,residual_stable_rank,rho_c_res_l_res,rho_new_vs_base,rho_q_error_c_res,rho_q_error_l_res,rho_q_plus_c_error_l_res,score,split_c,split_l,target_memory_ratio,weight_error,worst_token_p95_error
0.04644891247153282,nan,0,q_only,True,0.3,0.04644891247153282,gpt_neox.layers.0.attention.dense,L0:dense,,nan,0.1875,attention_o,3,rtn,,0,258.5830164616904,20.876575469970703,0.0,0.0,0.0,0.0,0.0,0.08644612319767475,0.0,0.0,0.196,0.2852649986743927,0.06141485646367073
0.04399210214614868,nan,0,q_l,True,0.3,0.04399210214614868,gpt_neox.layers.0.attention.dense,L0:dense,,0.9550213813781738,0.1953125,attention_o,3,rtn,,2,258.5830164616904,20.876575469970703,0.0,0.0,0.0,-0.22998432502997196,-0.22998432502997196,0.08104479871690273,0.0,1.0,0.196,0.27243417501449585,0.05650855228304863
0.3924044072628021,nan,0,q_only,True,0.3,0.3924044072628021,gpt_neox.layers.0.attention.dense,L0:dense,,nan,0.125,attention_o,2,rtn,,0,262.2813948338733,23.51021385192871,0.0,0.0,0.0,0.0,0.0,0.7369548797607421,0.0,0.0,0.196,0.7708329558372498,0.5321391820907593
0.29703381657600403,nan,0,q_l,True,0.3,0.29703381657600403,gpt_neox.layers.0.attention.dense,L0:dense,,0.8956729769706726,0.1953125,attention_o,2,rtn,,18,262.2813948338733,23.51021385192871,0.0,0.0,0.0,-0.4929925694182602,-0.4929925694182602,0.5520668536424637,0.0,1.0,0.196,0.6904142498970032,0.3912525475025177
0.3846173584461212,0.992120087146759,64,q_c,True,0.3,0.3846173584461212,gpt_neox.layers.0.attention.dense,L0:dense,0.9481847286224365,nan,0.140625,attention_o,2,rtn,1.4153960943222046,0,262.2813948338733,23.51021385192871,0.0,0.0,-0.14380912872578466,0.0,0.0,0.7226624310016632,0.25,0.0,0.196,0.764758825302124,0.5222432017326355
0.29806020855903625,0.992120087146759,64,q_c_l,True,0.3,0.29806020855903625,gpt_neox.layers.0.attention.dense,L0:dense,0.9481847286224365,0.9108029007911682,0.1953125,attention_o,2,rtn,1.4153960943222046,14,262.2813948338733,23.51021385192871,0.04912794261380694,0.0,-0.14380912872578466,-0.4753051337606058,-0.4743917379229628,0.554066589474678,0.25,0.75,0.196,0.6965445876121521,0.39278867840766907
0.29939261078834534,0.9934554696083069,64,q_l_c,True,0.3,0.29939261078834534,gpt_neox.layers.0.attention.dense,L0:dense,0.9481847286224365,0.9125109314918518,0.19140625,attention_o,2,rtn,1.4153960943222046,13,262.2813948338733,23.51021385192871,0.005151752342460053,0.0,-0.13473642409076786,-0.4693789601534686,-0.47293161179911697,0.5567099243402481,0.25,0.75,0.196,0.6987900733947754,0.3948775827884674
0.37985408306121826,0.9843034744262695,32,q_c,True,0.3,0.37985408306121826,gpt_neox.layers.0.attention.dense,L0:dense,0.9323771595954895,nan,0.15625,attention_o,2,rtn,1.4110727310180664,0,262.2813948338733,23.51021385192871,0.0,0.0,-0.17946606987472452,0.0,0.0,0.7139267206192017,0.5,0.0,0.196,0.7587335109710693,0.5162036418914795
0.30389612913131714,0.9843034744262695,32,q_c_l,True,0.3,0.30389612913131714,gpt_neox.layers.0.attention.dense,L0:dense,0.9323771595954895,0.9263032674789429,0.1953125,attention_o,2,rtn,1.4110727310180664,10,262.2813948338733,23.51021385192871,0.062136739530874584,0.0,-0.17946606987472452,-0.45018614137642815,-0.4471755819247632,0.5674925714731216,0.5,0.5,0.196,0.7028173208236694,0.40563443303108215
0.30413928627967834,0.9864896535873413,32,q_l_c,True,0.3,0.30413928627967834,gpt_neox.layers.0.attention.dense,L0:dense,0.9323771595954895,0.9266126751899719,0.19140625,attention_o,2,rtn,1.4110727310180664,9,262.2813948338733,23.51021385192871,-0.0038284450861186484,0.0,-0.15936524587093578,-0.4461917170197138,-0.4525388216902,0.5669625014066696,0.5,0.5,0.196,0.7046136260032654,0.4039907157421112
