activation_reconstruction_error,bits,candidate_kind,candidate_memory_ratio,dam_alpha,dam_alpha_grid,factor_rank,layer,layer_family,layer_short,normalized_hessian_cost,predicted_hessian_cost,same_budget_feasible,selection_family,strategy,target_memory_ratio,token_risk_p95,worst_token_risk
0.058079473378509196,4,plain_lq,0.2578125,,,396,gpt_neox.layers.0.attention.dense,attention,L0:dense,0.05807962436413998,0.4470100402832031,True,dam_factor_quant,paper_lq_factor_quant_matched_budget,0.258,0.07210417836904526,0.0843643769621849
0.08118555146237269,4,plain_lq,0.2579752604166667,,,634,gpt_neox.layers.0.mlp.dense_4h_to_h,mlp,L0:dense_4h_to_h,0.08118572455668407,2.4128737449645996,True,dam_factor_quant,paper_lq_factor_quant_matched_budget,0.258,0.14290300011634827,0.2010427862405777
0.04414809222397786,4,plain_lq,0.2579752604166667,,,634,gpt_neox.layers.0.mlp.dense_h_to_4h,mlp,L0:dense_h_to_4h,0.04414820524087895,115.28248596191406,True,dam_factor_quant,paper_lq_factor_quant_matched_budget,0.258,0.09184929728507996,0.09873726963996887
0.07425791821584068,4,plain_lq,0.2578125,,,396,gpt_neox.layers.6.attention.dense,attention,L6:dense,0.07425800016552028,0.6486214399337769,True,dam_factor_quant,paper_lq_factor_quant_matched_budget,0.258,0.10114268958568573,0.12810532748699188
0.0587149738625363,4,dam_closed,0.2578125,0.5,,396,gpt_neox.layers.0.attention.dense,attention,L0:dense,0.05871514363221805,0.45190131664276123,True,dam_factor_quant,paper_dam_closed_matched_budget,0.258,0.07308896631002426,0.08867910504341125
0.07858856555439653,4,dam_closed,0.2579752604166667,0.5,,634,gpt_neox.layers.0.mlp.dense_4h_to_h,mlp,L0:dense_4h_to_h,0.0785887314378671,2.3356900215148926,True,dam_factor_quant,paper_dam_closed_matched_budget,0.258,0.1436319798231125,0.19644783437252045
0.03262944746486906,4,dam_closed,0.2579752604166667,0.5,,634,gpt_neox.layers.0.mlp.dense_h_to_4h,mlp,L0:dense_h_to_4h,0.03262959032697643,85.20437622070312,True,dam_factor_quant,paper_dam_closed_matched_budget,0.258,0.09181024134159088,0.10053802281618118
0.07583163799022875,4,dam_closed,0.2578125,0.5,,396,gpt_neox.layers.6.attention.dense,attention,L6:dense,0.0758317258066876,0.6623674631118774,True,dam_factor_quant,paper_dam_closed_matched_budget,0.258,0.10698164999485016,0.1331338882446289
0.05526121200387222,4,dam_activation_grid,0.2578125,0.25,"0.0,0.25,0.5,0.75,1.0",396,gpt_neox.layers.0.attention.dense,attention,L0:dense,0.055261382719922716,0.4253194332122803,True,dam_factor_quant,paper_dam_activation_grid_matched_budget,0.258,0.07008122652769089,0.08144773542881012
0.07868446142300292,4,dam_activation_grid,0.2579752604166667,0.75,"0.0,0.25,0.5,0.75,1.0",634,gpt_neox.layers.0.mlp.dense_4h_to_h,mlp,L0:dense_4h_to_h,0.07868462698029831,2.3385400772094727,True,dam_factor_quant,paper_dam_activation_grid_matched_budget,0.258,0.14107172191143036,0.19731707870960236
0.02984310575745393,4,dam_activation_grid,0.2579752604166667,0.75,"0.0,0.25,0.5,0.75,1.0",634,gpt_neox.layers.0.mlp.dense_h_to_4h,mlp,L0:dense_h_to_4h,0.029843263897491756,77.92855072021484,True,dam_factor_quant,paper_dam_activation_grid_matched_budget,0.258,0.09393323212862015,0.1025955080986023
0.07205070350597281,4,dam_activation_grid,0.2578125,0.25,"0.0,0.25,0.5,0.75,1.0",396,gpt_neox.layers.6.attention.dense,attention,L6:dense,0.07205079911579848,0.6293421983718872,True,dam_factor_quant,paper_dam_activation_grid_matched_budget,0.258,0.10049234330654144,0.12673813104629517
