job_id,stage_id,lane,evidence_role,protocol_manifest_consumed,seed_aggregation_allowed,data_window_independence,model_declared,model_argument,model_scale,model_availability,seed,target_rate,tensor_scope,expected_selected_tensors,planned_calibration_tokens_per_tensor,planned_eval_nll_tokens,status,exit_code,actual_selected_tensors,actual_calibration_tokens_min,actual_calibration_tokens_max,actual_eval_tokens,artifact_scope,reference_artifact_bytes,cuda_device,reason
pythia70m_full_mlp_pilot__seed17__rate0p258,pythia70m_full_mlp_pilot,A_post_training_no_backward,scalability_smoke,False,False,shared_sequential_windows_not_independent_across_seeds,EleutherAI/pythia-70m,EleutherAI/pythia-70m,70M,required,17,0.258,full_mlp_weights,12,512,1016,completed_valid,0,12,512,512,1016,selected_linear_weights_only,25171776,NVIDIA A800 80GB PCIe,
opt125m_depth_mlp_pilot__seed17__rate0p258,opt125m_depth_mlp_pilot,A_post_training_no_backward,scalability_smoke,False,False,shared_sequential_windows_not_independent_across_seeds,facebook/opt-125m,/home/spco/base-2-bitnet/.hf_cache/hub/models--facebook--opt-125m/snapshots/27dcfa74d334bc871f3234de431e71c6eeba5dd6,125M,optional,17,0.258,five_depth_mlp_weights,10,512,1016,completed_valid,0,10,512,512,1016,selected_linear_weights_only,47190592,NVIDIA A800 80GB PCIe,
qwen3_06b_depth_mlp_pilot__seed17__rate0p258,qwen3_06b_depth_mlp_pilot,A_post_training_no_backward,scalability_smoke,False,False,shared_sequential_windows_not_independent_across_seeds,Qwen/Qwen3-0.6B,/home/zengqiuhao/.cache/huggingface/hub/models--Qwen--Qwen3-0.6B/snapshots/c1899de289a04d12100db370d81485cdf75e47ca,0.6B,optional,17,0.258,five_depth_mlp_weights,10,512,1016,completed_valid,0,10,512,512,1016,selected_linear_weights_only,62919296,NVIDIA A800 80GB PCIe,
