comfort_tolerance,deployable,epsilon,hessian_cost,nll,nll_delta,normalized_hessian_cost,path_kind,payload_ratio_at_codec_endpoint,perplexity,perplexity_delta,strategy,target_ratio,taylor_fit_absolute_error,taylor_fit_nll_delta,tokens,within_local_comfort_fit
0.0001,False,0.0,0.0,4.0257801146019165,0.0,0.0,noncodec_interpolation,0.2508138020833333,56.02399687658925,0.0,Q,0.258,0.0,0.0,1016,True
0.0002254636268915533,False,0.03125,0.016091326804598793,4.026907432736374,0.0011273181344577665,5.710499336261503e-06,noncodec_interpolation,0.2508138020833333,56.08718935655502,0.06319247996577104,Q,0.258,2.0828421478637877e-05,0.0011064897129791286,1016,True
0.0004754094517953835,False,0.0625,0.06436530721839517,4.028156550850455,0.0023764362485385604,2.284199734504601e-05,noncodec_interpolation,0.2508138020833333,56.157292655283165,0.1332957786939133,Q,0.258,6.11010438356964e-07,0.0023770472589769174,1016,True
0.0007623345275986732,False,0.09375,0.14482194124138914,4.029571773499016,0.003791658897099204,5.139449402635353e-05,noncodec_interpolation,0.2508138020833333,56.23682399173093,0.2128271151416783,Q,0.258,2.0013740894162142e-05,0.003811672637993366,1016,True
0.0010840949111097231,False,0.125,0.2574612288735807,4.031200589157465,0.005420474555548616,9.136798938018404e-05,noncodec_interpolation,0.2508138020833333,56.32849805103385,0.3045011744445958,Q,0.258,1.0108705520140565e-05,0.005410365850028475,1016,True
0.0018258943332460477,False,0.1875,0.5792877649655566,4.034909586268147,0.009129471666230238,0.0002055779761054141,noncodec_interpolation,0.2508138020833333,56.53780821299648,0.5138113364072296,Q,0.258,2.951589307556568e-05,0.009099955773154672,1016,True
0.0026891634056711022,False,0.25,1.0298449154943228,4.039158468171368,0.013378353569451384,0.0003654719575207362,noncodec_interpolation,0.2508138020833333,56.77854174517127,0.7545448685820162,Q,0.258,6.746345890412501e-05,0.01344581702835551,1016,True
0.004910368431271551,False,0.375,2.3171510598622262,4.050331956758274,0.02455184215635775,0.0008223119044216564,noncodec_interpolation,0.2508138020833333,57.41651368203485,1.3925168054455952,Q,0.258,0.0004454886213766454,0.024106353534981105,1016,True
0.007783532330370236,False,0.5,4.119379661977291,4.064697776253768,0.038917661651851176,0.0014618878300829447,noncodec_interpolation,0.2508138020833333,58.247302144291226,2.2233052677019742,Q,0.258,0.0015256862819459163,0.03739197536990526,1016,True
0.011271301029235304,False,0.625,6.436530721839517,4.082136619748093,0.056356505146176517,0.002284199734504601,noncodec_interpolation,0.2508138020833333,59.2719763287676,3.247979452178349,Q,0.258,0.00305382261304854,0.053302682533127976,1016,True
0.015352270171398175,False,0.75,9.268604239448905,4.102541465458907,0.07676135085699087,0.0032892476176866257,noncodec_interpolation,0.2508138020833333,60.493835389628686,4.469838513039434,Q,0.258,0.004922875832341633,0.07183847502464924,1016,True
0.020244928795521668,False,0.875,12.615600214805454,4.127004758579525,0.10122464397760833,0.004477031479629018,noncodec_interpolation,0.2508138020833333,61.991963680005995,5.9679668034167435,Q,0.258,0.008225291133139245,0.09299935284446909,1016,True
0.025894867904542807,True,1.0,16.477518647909164,4.155254454124631,0.12947433952271403,0.005847551320331779,codec_endpoint,0.2508138020833333,63.76818856219156,7.74419168560231,Q,0.258,0.012689023530126547,0.11678531599258749,1016,True
0.0001,False,0.0,0.0,4.0257801146019165,0.0,0.0,noncodec_interpolation,0.257421875,56.02399687658925,0.0,Q_block_scale,0.258,0.0,0.0,1016,True
0.0001,False,0.03125,0.00926734872336965,4.025439525213767,-0.00034058938814940376,3.288802059416365e-06,noncodec_interpolation,0.257421875,56.004918946826,-0.019077929763248846,Q_block_scale,0.258,1.0340668569672022e-05,-0.00033024871957973174,1016,True
0.00011270450885635356,False,0.0625,0.0370693948934786,4.0252251212052474,-0.0005549933966690901,1.315520823766546e-05,noncodec_interpolation,0.257421875,55.99291255486226,-0.03108432172699338,Q_block_scale,0.258,8.529147612677682e-06,-0.0005635225442817678,1016,True
0.0001401706004706682,False,0.09375,0.08340613851032685,4.025079261599563,-0.000700853002353341,2.9599218534747287e-05,noncodec_interpolation,0.257421875,55.98474604631223,-0.03925083027701959,Q_block_scale,0.258,1.0315282472329271e-06,-0.0006998214741061081,1016,True
0.00014801025390625002,False,0.125,0.1482775795739144,4.025040063332385,-0.00074005126953125,5.262083295066184e-05,noncodec_interpolation,0.257421875,55.98255158428866,-0.041445292300593906,Q_block_scale,0.258,9.057604784970617e-07,-0.0007391455090527529,1016,True
0.00010537377886259106,False,0.1875,0.3336245540413074,4.02542192353977,-0.0003581910621468509,0.00011839687413898915,noncodec_interpolation,0.257421875,56.00393317517609,-0.02006370141316438,Q_block_scale,0.258,0.00016867783216610436,-0.0005268688943129553,1016,False
0.00017250841996787616,False,0.25,0.5931103182956576,4.026642656701756,0.0008625420998393807,0.00021048333180264737,noncodec_interpolation,0.257421875,56.07234077882482,0.048343902235565395,Q_block_scale,0.258,0.0007892347999017557,7.330729993762497e-05,1016,False
