artifact_alignment_padding_bytes,artifact_container_bytes,artifact_file_bytes,artifact_logical_payload_bits,artifact_natural_file_bytes,artifact_path,artifact_physical_compression_ratio,artifact_scope,artifact_sha256,artifact_stream_bytes,artifact_tail_padding_bytes,artifact_to_reference_file_ratio,artifact_total_overhead_bytes,production_backend,ql_budget_file_bytes,reference_artifact_file_bytes,roundtrip_exact_fp16_endpoint,same_physical_bytes_as_ql,strategy,target_ratio,under_ql_serialized_cap_before_padding
11,9920,11844800,94679040,11844800,artifacts/Q.hrc,3.9840767256517626,selected_linear_weights_only,be0919c4574a61e48276322952fbf86c71c37c03e66addf0fbafdef9e002a55e,11834880,0,0.25099918220987777,9920,False,12158976,47190592,True,False,Q,0.258,not_applicable
11,9920,11844800,94679040,11844800,artifacts/Q_global_scale.hrc,3.9840767256517626,selected_linear_weights_only,751fe998a53c0c6d5b1f3b7f189b6b308f55426758b3185df7e5b631c1387f63,11834880,0,0.25099918220987777,9920,False,12158976,47190592,True,False,Q_global_scale,0.258,not_applicable
40,9984,12156672,97173504,12156672,artifacts/Q_block_scale.hrc,3.8818676690462652,selected_linear_weights_only,dca11753350ac5cc9fa03a64f7a9de33e682b77550d302575dfc6869f09d1b64,12146688,0,0.25760795711145135,9984,False,12158976,47190592,True,False,Q_block_scale,0.258,not_applicable
801,20352,12195064,97391680,12195064,artifacts/Q_S.hrc,3.8696469325622234,selected_linear_weights_only,fa1d2a79fc9199f1c3da1d6fc13c4d82faa6065f10007ebc78c2cf768f6e6bee,12173960,0,0.25842150910079703,21104,False,12158976,47190592,True,False,Q+S,0.258,not_applicable
801,20352,12195064,97391680,12195064,artifacts/Q_S_OBS.hrc,3.8696469325622234,selected_linear_weights_only,919787ec995c1d332841a34d7a534e208a40345cb74cb35f5816bc7677a548bf,12173960,0,0.25842150910079703,21104,False,12158976,47190592,True,False,Q+S_OBS,0.258,not_applicable
11,16896,12158976,97136640,12158976,artifacts/Q_L.hrc,3.881132095334344,selected_linear_weights_only,54d0418cdf4a93edc1c151f0b3e91c7e6b072c8d5d5dc25095ba67dd9f7aafd8,12142080,0,0.25765678040233103,16896,False,12158976,47190592,True,True,Q+L,0.258,not_applicable
652,27264,12158976,97043776,12158336,artifacts/Q_S_L_QL_budget.hrc,3.881132095334344,selected_linear_weights_only,7973830383f7dfb9d20990a7892c5715a179f557fec3cab29264e649537793fa,12130472,640,0.25765678040233103,28504,False,12158976,47190592,True,True,Q+S+L_QL_budget,0.258,True
652,27264,12158976,97043776,12158336,artifacts/Q_S_L_QL_budget_component_scale.hrc,3.881132095334344,selected_linear_weights_only,3d04c8cd246233da6d2d0eaea2806f532c29de1ea15adc94a2bf53a4f716a58f,12130472,640,0.25765678040233103,28504,False,12158976,47190592,True,True,Q+S+L_QL_budget_component_scale,0.258,True
804,27264,12201984,97391680,12201984,artifacts/Q_S_L.hrc,3.8674523749580394,selected_linear_weights_only,158639907b02e5ace671fdc0180a07d08546392efa4604d00d43d4f95e0bc965,12173960,0,0.2585681484987516,28024,False,12158976,47190592,True,False,Q+S+L,0.258,not_applicable
804,27264,12201984,97391680,12201984,artifacts/Q_S_OBS_L.hrc,3.8674523749580394,selected_linear_weights_only,7263675d4a5e916b2a4e10dae6e580038e275438562814ac3b687d04703c0fe6,12173960,0,0.2585681484987516,28024,False,12158976,47190592,True,False,Q+S_OBS+L,0.258,not_applicable
804,27264,12201984,97391680,12201984,artifacts/Q_S_L_component_scale.hrc,3.8674523749580394,selected_linear_weights_only,e3d3d4aaf92e4120ecf21e873c91e11f87f47925c034445e99db590df702545c,12173960,0,0.2585681484987516,28024,False,12158976,47190592,True,False,Q+S+L_component_scale,0.258,not_applicable
