diagonal_shift,diagonal_shift_relative,final_min_eigenvalue,final_spectral_scale,float32_storage_floor_rtol,layer,original_min_eigenvalue,original_min_relative,original_spectral_scale,psd_rejection_rtol,repair_applied
4.412055356321313e-06,9.537275915961538e-07,0.0,4.62612133929284,9.5367431640625e-07,model.decoder.layers.0.fc1,0.0,0.0,4.626116928144356,1e-07,True
1.3069040782721919e-05,9.663729003903548e-07,0.0,13.523820296667338,9.5367431640625e-07,model.decoder.layers.0.fc2,-1.716501160018643e-07,-1.2692440341326615e-08,13.523807194347892,1e-07,True
1.8739160199269616e-05,9.536657574928142e-07,0.0,19.64962890834412,9.5367431640625e-07,model.decoder.layers.3.fc1,0.0,0.0,19.649609993898533,1e-07,True
5.479724479682627e-07,9.57410595072362e-07,0.0,0.5723489763865709,9.5367431640625e-07,model.decoder.layers.3.fc2,-2.1329237955659576e-09,-3.726617730377343e-09,0.5723484268803674,1e-07,True
2.69443465488924e-05,9.536731510491188e-07,0.0,28.253256469922704,9.5367431640625e-07,model.decoder.layers.6.fc1,0.0,0.0,28.25322965132384,1e-07,True
1.468900920318511e-06,9.536675695087958e-07,0.0,1.5402666178106306,9.5367431640625e-07,model.decoder.layers.6.fc2,0.0,0.0,1.5402651482372371,1e-07,True
2.6330817490816116e-05,9.536159919107953e-07,0.0,27.611578247973398,9.5367431640625e-07,model.decoder.layers.9.fc1,0.0,0.0,27.611551939325274,1e-07,True
2.9747008309874887e-06,9.536765042955647e-07,0.0,3.1191957185276893,9.5367431640625e-07,model.decoder.layers.9.fc2,0.0,0.0,3.1191927426006556,1e-07,True
4.468729700117061e-05,9.536668326097439e-07,0.0,46.85843955732534,9.5367431640625e-07,model.decoder.layers.11.fc1,0.0,0.0,46.85839485355929,1e-07,True
1.484048468287924e-05,9.536811658313824e-07,0.0,15.561279145050792,9.5367431640625e-07,model.decoder.layers.11.fc2,0.0,0.0,15.561264303612287,1e-07,True
