activation_reconstruction_error,added_bits_over_q,added_scalars_over_q,all_requested_components_active,allocation_id,allocation_source,artifact_file_bytes,base_codes_padding_bits,base_codes_raw_bits,base_codes_stored_bits,base_scales_padding_bits,base_scales_raw_bits,base_scales_stored_bits,baseline_hessian_energy,both_s_and_l_active,cancellation_gain_ql_over_q,cancellation_gain_qs_over_q,cols,comparison_budget_bits,comparison_budget_file_bytes,component_scale_labels,component_scale_multipliers,compression_ratio,folded_repair_dof,folded_zero_bit_hessian_gain,fp16_accumulation_rounding_l2,hessian_cost,hessian_cross_ql,hessian_cross_qs,hessian_cross_sl,hessian_decomposition_residual,hessian_gain_over_q,hessian_gain_per_added_bit,hessian_gain_per_added_scalar,hessian_recovery_fraction_over_q,hessian_self_l,hessian_self_q,hessian_self_s,joint_component_constraint,l_active,layer,logical_max_sparse_nnz_before_serialized_cap,lowrank_factors_padding_bits,lowrank_factors_raw_bits,lowrank_factors_stored_bits,lowrank_rank,lowrank_scales_padding_bits,lowrank_scales_raw_bits,lowrank_scales_stored_bits,metadata_padding_bits,metadata_raw_bits,metadata_stored_bits,normalized_hessian_cost,obs_applied,obs_continuous_cost,obs_fp16_rounding_cost_gap,obs_relative_stationarity_continuous,obs_relative_stationarity_stored,obs_rhs_null_residual_max,obs_stored_cost,obs_unique_support_count,payload_bits,payload_ratio,q_active,q_col_block_size,q_reference_bits,q_reference_cost,q_scale_count,rate_cap_strategy,reference_bits,repair_padding_bits,repair_raw_bits,repair_stored_bits,rho_ql,rho_ql_kind,rho_qs,rho_qs_kind,rho_sl,rho_sl_kind,rows,s_active,scale_col_block_size,scale_cost_after_continuous,scale_cost_before_continuous,scale_gram_condition,scale_gram_rank,scale_groups_per_row,scale_max_basis_stationarity,scale_multiplier_applied,scale_multiplier_continuous,scale_repair_kind,search_family,selected_within_layer_target,serialized_alignment_guard_bytes,serialized_allocation_budget_file_bytes,serialized_rate_cap_satisfied,sparse_fraction,sparse_nnz,sparse_scales_padding_bits,sparse_scales_raw_bits,sparse_scales_stored_bits,sparse_support_padding_bits,sparse_support_raw_bits,sparse_support_stored_bits,sparse_values_padding_bits,sparse_values_raw_bits,sparse_values_stored_bits,strategy,support_encoding,target_gap,target_ratio,token_risk_p95,under_target,worst_token_risk
,,,,"rank=1,nnz=4704",,1213760,,,,,,,,True,,,,9695232,1213824,,,,,,,0.009673558175563812,,,,,,,,,,,,,,model.decoder.layers.3.fc2,4991,,,,1,,,,,,,,,,,,,,,,9686048,0.25659264458550346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q+S+L_exact_QL_bit_cap,False,,1213760,True,,4704,,,,,,,,,,Q+S+L_QL_budget,,,0.258,,True,
,,,,"rank=2,nnz=2784",,1213760,,,,,,,,True,,,,9695232,1213824,,,,,,,0.009094391949474812,,,,,,,,,,,,,,model.decoder.layers.3.fc2,3071,,,,2,,,,,,,,,,,,,,,,9686048,0.25659264458550346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q+S+L_exact_QL_bit_cap,True,,1213760,True,,2784,,,,,,,,,,Q+S+L_QL_budget,,,0.258,,True,
,,,,"rank=3,nnz=864",,1213760,,,,,,,,True,,,,9695232,1213824,,,,,,,0.009230108000338078,,,,,,,,,,,,,,model.decoder.layers.3.fc2,1151,,,,3,,,,,,,,,,,,,,,,9686048,0.25659264458550346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q+S+L_exact_QL_bit_cap,False,,1213760,True,,864,,,,,,,,,,Q+S+L_QL_budget,,,0.258,,True,
0.004362810868769884,0,0,True,,,,0,9437184,9437184,0,12288,12288,7.592082500457764,,nan,nan,3072,,,,,3.9947984395318596,0,0.0,0.0,0.01681181788444519,0.0,0.0,0.0,2.2351741790771484e-08,0.0,nan,nan,0.0,0.0,0.0168117955327034,0.0,,False,model.decoder.layers.3.fc2,,0,0,0,0,0,0,0,0,0,0,0.004428776395259542,,,,,,,,,9449472,0.2503255208333333,True,0,9449472,0.01681181788444519,768,,37748736,0,0,0,nan,inactive,nan,inactive,nan,inactive,768,False,,,,,,,,,,,selected_endpoint,True,,,,0.0,0,0,0,0,0,0,0,0,0,0,Q,empty,-0.007674479166666692,0.258,0.19554728269577026,True,0.27782008051872253
0.00422959728166461,0,0,True,,,,0,9437184,9437184,0,12288,12288,7.592082500457764,,nan,nan,3072,,,,,3.9947984395318596,1,0.0005160104483366013,0.0,0.01629580743610859,0.0,0.0,0.0,1.862645149230957e-08,0.0005160104483366013,nan,nan,0.03069331656358412,0.0,0.016295788809657097,0.0,,False,model.decoder.layers.3.fc2,,0,0,0,0,0,0,0,0,0,0,0.0042928425593705116,,,,,,,,,9449472,0.2503255208333333,True,0,9449472,0.01681181788444519,768,,37748736,0,0,0,nan,inactive,nan,inactive,nan,inactive,768,False,,0.01630574185438881,0.01681181852379571,,1,,0.0,0.9885611859493675,0.9885611859493675,global_folded_into_fp16_q_scales,selected_endpoint,True,,,,0.0,0,0,0,0,0,0,0,0,0,0,Q_global_scale,empty,-0.007674479166666692,0.258,0.19068250060081482,True,0.27137038111686707
0.0025089203845709562,282624,17664,True,,,,0,9437184,9437184,0,294912,294912,7.592082500457764,,nan,nan,3072,,,,,3.878787878787879,18432,0.0,0.0,0.00963687151670456,0.0,0.0,0.0,7.450580596923828e-09,0.007174946367740631,2.5386896964661992e-08,4.0619035143459187e-07,0.4267799245184015,0.0,0.009636864066123962,0.0,,False,model.decoder.layers.3.fc2,,0,0,0,0,0,0,0,0,0,0,0.002538663539581796,,,,,,,,,9732096,0.2578125,True,128,9449472,0.01681181788444519,18432,,37748736,0,0,0,nan,inactive,nan,inactive,nan,inactive,768,False,128,0.009636397241321627,0.01681181852379571,,,24,0.008875367201325236,,,row_x_column_block_fp16_scales,selected_endpoint,True,,,,0.0,0,0,0,0,0,0,0,0,0,0,Q_block_scale,empty,-0.0001875000000000071,0.258,0.11428049206733704,True,0.14586631953716278
0.002788958139717579,289696,8284,True,,,,0,9437184,9437184,0,12288,12288,7.592082500457764,,nan,0.7009846479478081,3072,,,,,3.8759713355391345,0,0.0,0.0,0.010644723661243916,0.0,-0.011784810572862625,0.0,1.909211277961731e-08,0.006167094223201275,2.1288158011160922e-08,7.444585011107285e-07,0.3668308963129597,0.0,0.0168117955327034,0.005617719609290361,,False,model.decoder.layers.3.fc2,,0,0,0,0,0,0,0,0,0,0,0.0028041643806168055,,,,,,,,,9739168,0.25799984402126735,True,0,9449472,0.01681181788444519,768,,37748736,0,0,0,nan,inactive,-0.6063250779578332,repair_cancellation,nan,inactive,768,True,,,,,,,,,,,selected_endpoint,True,,,,0.0035112169053819445,8284,0,0,0,0,157152,157152,0,132544,132544,Q+S,csr_fixed,-1.5597873265216222e-07,0.258,0.11066167056560516,True,0.15088048577308655
0.0022786688059568405,289696,8284,True,,,,0,9437184,9437184,0,12288,12288,7.592082500457764,,nan,0.970199307129626,3072,,,,,3.8759713355391345,8284,0.0,0.0007642440032213926,0.008656509220600128,0.0,-0.01631370186805725,0.0,2.3283064365386963e-08,0.008155308663845062,2.8151264304115563e-08,9.844650728929337e-07,0.4850938024608632,0.0,0.01681479439139366,0.008155393414199352,,False,model.decoder.layers.3.fc2,,0,0,0,0,0,0,0,0,0,0,0.0022804044134341755,True,0.008656499606101237,3.012731453200246e-10,1.902767730571499e-16,5.037323167515756e-05,3.0318608486266908e-15,0.008656499907374382,747,9739168,0.25799984402126735,True,0,9449472,0.01681181788444519,768,,37748736,0,0,0,nan,inactive,-0.6965531924097778,repair_cancellation,nan,inactive,768,True,,,,,,,,,,,selected_endpoint,True,,,,0.0035112169053819445,8284,0,0,0,0,157152,157152,0,132544,132544,Q+S_OBS,csr_fixed,-1.5597873265216222e-07,0.258,0.09427982568740845,True,0.12695561349391937
0.002382963430136442,245760,15360,True,,,,0,9437184,9437184,0,12288,12288,7.592082500457764,,0.9092744770128316,nan,3072,,,,,3.893536121673004,0,0.0,0.008622167631983757,0.009163834154605865,-0.015298490412533283,0.0,0.0,2.514570951461792e-08,0.007647983729839325,3.11197254632134e-08,4.979156074114144e-07,0.4549171173758356,0.007637357339262962,0.016824942082166672,0.0,,True,model.decoder.layers.3.fc2,,0,245760,245760,4,0,0,0,0,0,0,0.0024140502040259264,,,,,,,,,9695232,0.2568359375,True,0,9449472,0.01681181788444519,768,,37748736,0,0,0,-0.674792486943431,repair_cancellation,nan,inactive,nan,inactive,768,False,,,,,,,,,,,selected_endpoint,True,,,,0.0,0,0,0,0,0,0,0,0,0,0,Q+L,empty,-0.001164062500000007,0.258,0.12007523328065872,True,0.17350620031356812
0.002271049888804555,289696,12124,True,,,,0,9437184,9437184,0,12288,12288,7.592082500457764,,0.42860566115712084,0.5446851882378638,3072,,,,,3.8759713355391345,0,0.0,0.008621458895504475,0.008645978756248951,-0.0072112055495381355,-0.009164220653474331,0.00046463150647468865,1.696753315627575e-08,0.00816583912819624,2.818761435503507e-08,6.735268169083008e-07,0.4857201751960164,0.0033689597621560097,0.01682480238378048,0.004362994339317083,both_S_and_L_required,True,model.decoder.layers.3.fc2,,0,122880,122880,2,0,0,0,0,0,0,0.002277630348650095,,,,,,,,,9739168,0.25799984402126735,True,0,9449472,0.01681181788444519,768,,37748736,0,0,0,-0.4789111863566983,repair_cancellation,-0.5348084137525017,repair_cancellation,0.06059522792835146,hessian_orthogonal,768,True,,,,,,,,,,,selected_endpoint,True,,,,0.0018836127387152778,4444,0,0,0,0,95712,95712,0,71104,71104,Q+S+L,csr_fixed,-1.5597873265216222e-07,0.258,0.11123856902122498,True,0.15311068296432495
