adapter_module,budget_per_module,cols,effective_rank,frobenius_norm,in_channel_max_over_median,in_channel_outlier_count,in_channel_top1pct_energy_frac,method,out_channel_max_over_median,out_channel_outlier_count,out_channel_top1pct_energy_frac,params,participation_ratio,rank,rank_90,rank_95,rank_99,requested_rank,rows,sigma_max,sigma_min_positive,spectral_entropy,stable_rank,task_condition,top_10_energy,top_1_energy
model.layers.0.mlp.down_proj,65536,8960,1106.9075749461467,1.8548274643260898,1.0001045726591133,0,0.010046990584638343,structured,1.0000656499648748,0,0.010417856609448453,13762560,850.8943101450199,1536,1047,1251,1468,,1536,0.12263046205043793,0.01958487369120121,0.9553476498701515,228.77591787524622,natural,0.03360631967065561,0.004371089445460383
model.layers.0.mlp.down_proj,65536,8960,1315.6731957744216,1.8548610987318404,1.0016277967449163,2,0.01005211099554565,structured_lora,1.0001182959393426,0,0.01041879756782884,13762560,1146.2385642235258,1536,1162,1318,1480,4,1536,0.09927856177091599,0.01771668903529644,0.9788967567854031,349.06944223745836,natural,0.0244007445406356,0.0028647594976810914
model.layers.0.mlp.down_proj,65536,8960,1357.7928027834687,1.8548034096047197,1.0006969136301118,4,0.010051598112431451,structured_lora,1.0001056490920535,0,0.01041851894546196,13762560,1206.6293984240024,1536,1197,1338,1484,8,1536,0.09951146692037582,0.020824968814849854,0.9831917332873245,347.4157590585151,natural,0.022719795334780343,0.0028783956223228505
model.layers.0.mlp.down_proj,65536,8960,1357.7942602650496,1.8547981694509121,1.001070188020464,2,0.010050956802001378,structured_lora,1.0001191914357797,0,0.010418551876640043,13762560,1206.632513196087,1536,1197,1338,1484,16,1536,0.09951447695493698,0.020824356004595757,0.9831918795907703,347.39277976385506,natural,0.022719602041830385,0.0028785860220807225
model.layers.0.mlp.down_proj,65536,8960,3.3751048902441925,0.005676550963820603,2.267730038295879,0,0.03343517387942745,lora,1.0059503126336715,0,0.01056734012393297,13762560,2.9721440530110286,1536,3,4,4,4,1536,0.003910822328180075,1.9520413729878783e-07,0.23002363446701293,2.1068465747315175,natural,0.9999988705682404,0.47464301007653265
model.layers.0.mlp.down_proj,65536,8960,4.64685917154585,0.00463048539526102,2.1432215586013665,0,0.031736745887007305,lora,1.0094804039176317,0,0.010589669972576505,13762560,3.8850539474514854,1536,5,5,6,8,1536,0.002935332478955388,1.8120337585969537e-07,0.2445282262428302,2.4885045406987167,natural,0.9999963119567006,0.4018477698735572
model.layers.0.mlp.down_proj,65536,8960,4.99198359232363,0.004613500549273171,2.2433409942027773,0,0.03140289630423551,lora,1.0170324745712995,0,0.010739653107602411,13762560,4.23034634957495,1536,5,6,6,16,1536,0.0028531483840197325,1.8120215372618986e-07,0.25044152873367037,2.614643221375961,natural,0.9999961651035008,0.3824613590965379
model.layers.0.mlp.down_proj,65536,8960,3.415583954649091,0.005650179766134382,2.3205451785748523,0,0.034812732309155485,mora,1.0173763714511928,0,0.010737076425802766,13762560,3.005026760349093,1536,4,4,4,4,1536,0.003900547046214342,1.9498749281865457e-07,0.2309741932854566,2.0983285520513406,natural,0.9999987968551732,0.47656979123807514
model.layers.0.mlp.down_proj,65536,8960,4.286602899950953,0.004611023038182591,2.486346914698718,0,0.037308174510118496,mora,1.015437463978827,0,0.010713185120879161,13762560,3.4257419472310002,1536,5,5,6,8,1536,0.0030682755168527365,1.8481097185940598e-07,0.23182122925214838,2.258426051726227,natural,0.9999964450321912,0.44278624896115165
model.layers.0.mlp.down_proj,65536,8960,5.059916551586355,0.004606643958559609,2.0938009497928722,0,0.02994806888470377,mora,1.0110474012970938,0,0.010638555818357952,13762560,4.391042464562531,1536,5,6,6,16,1536,0.0027645016089081764,1.7698576471048e-07,0.2502658915283023,2.776742458030885,natural,0.9999959559603554,0.3601342274678026
model.layers.0.mlp.down_proj,65536,8960,1165.550706109484,0.12797558720990418,1.1365050920422195,3506,0.012387685240068077,fourierft,1.0016019669714766,0,0.010523482628543123,13762560,949.1098454985251,1536,1050,1239,1453,,1536,0.006396162789314985,0.0010679942788556218,0.9623837640232278,400.32733455552153,natural,0.02332383528237935,0.002497955831845176
model.layers.0.mlp.down_proj,65536,8960,1106.9075749461467,1.8548274643260898,1.0001045726591133,0,0.010046990584638343,bca,1.0000656499648748,0,0.010417856609448453,13762560,850.8943101450199,1536,1047,1251,1468,,1536,0.12263046205043793,0.01958487369120121,0.9553476498701515,228.77591787524622,natural,0.03360631967065561,0.004371089445460383
