activation_rows,input_dim,layer,layer_short,mean_diag,trace
128,512,gpt_neox.layers.0.attention.dense,L0:dense,0.07459992170333862,38.19516372680664
128,2048,gpt_neox.layers.0.mlp.dense_4h_to_h,L0:dense_4h_to_h,0.023183301091194153,47.479393005371094
128,512,gpt_neox.layers.0.mlp.dense_h_to_4h,L0:dense_h_to_4h,0.841665506362915,430.9327697753906
128,512,gpt_neox.layers.3.attention.dense,L3:dense,0.048791974782943726,24.98149299621582
