run,path,model,params,params_m,purpose,text_source_used,text_source_detail,selected_layers,selected_layer_names,bits,keep_fraction,rank_fraction,q_method,s_method,r_method,eval_tokens,zero_shot_tasks,zero_shot_examples_per_task,baseline_ppl,fixed_default_ppl,slim_proxy_ppl,hessian_layerwise_ppl,baseline_zero_shot,hessian_zero_shot,rho_additivity,rho_ppl,rho_zero_shot,rho_taylor_loss,rho_frobenius_loss,rho_trace_only_loss,rho_activation_loss,rho_order_overlap,rho_order_spectrum_entropy
70M_default_4bit_6mods,E:\Codex_work\ssh_experiment\llm_spectral_dynamics\results\pretrained_orthogonality_pythia70m_20260623_v2,EleutherAI/pythia-70m,70426624,70.426624,mild compression sanity check with fewer modules; tests whether the framework is useful before aggressive degradation,"zero_shot_backup:arc_easy,hellaswag",arc_easy:64 rows fp=3c8375eec3653bc7; hellaswag:64 rows fp=ed539f7cf7b47812,6,"gpt_neox.layers.0.mlp.dense_4h_to_h, gpt_neox.layers.0.mlp.dense_h_to_4h, gpt_neox.layers.3.mlp.dense_4h_to_h, gpt_neox.layers.3.mlp.dense_h_to_4h, gpt_neox.layers.5.mlp.dense_4h_to_h, gpt_neox.layers.5.mlp.dense_h_to_4h",4,0.5,0.5,rtn,wanda,whitened_svd,1016,"arc_easy,hellaswag",8,68.58780308596377,105.38161053068048,102.31213922955197,97.05260914257352,0.1875,0.25,0.12487100103199172,0.2941176470588235,0.28767526409079325,-0.05263157894736842,0.12899896800825592,-0.15170278637770895,-0.02373581011351909,0.006993006993006993,-0.46853146853146854
70M_mid_3bit_12mods,E:\Codex_work\ssh_experiment\llm_spectral_dynamics\results\pretrained_orthogonality_pythia70m_mid_20260623_v2,EleutherAI/pythia-70m,70426624,70.426624,main 70M configuration; same 12-module coverage used for stronger correlation and strategy comparisons,"zero_shot_backup:arc_easy,hellaswag",arc_easy:64 rows fp=3c8375eec3653bc7; hellaswag:64 rows fp=ed539f7cf7b47812,12,"gpt_neox.layers.0.attention.dense, gpt_neox.layers.0.attention.query_key_value, gpt_neox.layers.0.mlp.dense_4h_to_h, gpt_neox.layers.0.mlp.dense_h_to_4h, gpt_neox.layers.3.attention.dense, gpt_neox.layers.3.attention.query_key_value, gpt_neox.layers.3.mlp.dense_4h_to_h, gpt_neox.layers.3.mlp.dense_h_to_4h, gpt_neox.layers.5.attention.dense, gpt_neox.layers.5.attention.query_key_value, gpt_neox.layers.5.mlp.dense_4h_to_h, gpt_neox.layers.5.mlp.dense_h_to_4h",3,0.5,0.5,rtn,wanda,whitened_svd,1016,"arc_easy,hellaswag",8,68.58780308596377,398.1439577787029,455.1935591169514,353.36185458620696,0.1875,0.1875,0.14491634491634492,0.17477477477477477,-0.05027247823165228,0.7245817245817245,0.5001287001287001,0.4592020592020592,0.7199485199485199,0.08869565217391304,0.1408695652173913
70M_strong_2bit_12mods,E:\Codex_work\ssh_experiment\llm_spectral_dynamics\results\pretrained_orthogonality_pythia70m_strong_20260623_v2,EleutherAI/pythia-70m,70426624,70.426624,stress test; checks whether overlap/additivity signals become clearer under larger perturbations,"zero_shot_backup:arc_easy,hellaswag",arc_easy:64 rows fp=3c8375eec3653bc7; hellaswag:64 rows fp=ed539f7cf7b47812,12,"gpt_neox.layers.0.attention.dense, gpt_neox.layers.0.attention.query_key_value, gpt_neox.layers.0.mlp.dense_4h_to_h, gpt_neox.layers.0.mlp.dense_h_to_4h, gpt_neox.layers.3.attention.dense, gpt_neox.layers.3.attention.query_key_value, gpt_neox.layers.3.mlp.dense_4h_to_h, gpt_neox.layers.3.mlp.dense_h_to_4h, gpt_neox.layers.5.attention.dense, gpt_neox.layers.5.attention.query_key_value, gpt_neox.layers.5.mlp.dense_4h_to_h, gpt_neox.layers.5.mlp.dense_h_to_4h",2,0.4,0.4,rtn,wanda,whitened_svd,1016,"arc_easy,hellaswag",8,68.58780308596377,104248017.04217252,58989191.96160002,36071719.38109298,0.1875,0.125,0.48416988416988416,0.2164736164736165,0.11643819457192124,0.5366795366795367,0.4857142857142857,0.28957528957528955,0.5305019305019305,0.288695652173913,0.4260869565217391
160M_mid_3bit_12mods,E:\Codex_work\ssh_experiment\llm_spectral_dynamics\results\pretrained_orthogonality_pythia160m_mid_20260624,EleutherAI/pythia-160m,162322944,162.322944,larger-parameter validation run with the same mid configuration as 70M_mid,"zero_shot_backup:arc_easy,hellaswag",arc_easy:64 rows fp=3c8375eec3653bc7; hellaswag:64 rows fp=ed539f7cf7b47812,12,"gpt_neox.layers.0.attention.dense, gpt_neox.layers.0.attention.query_key_value, gpt_neox.layers.0.mlp.dense_4h_to_h, gpt_neox.layers.0.mlp.dense_h_to_4h, gpt_neox.layers.6.attention.dense, gpt_neox.layers.6.attention.query_key_value, gpt_neox.layers.6.mlp.dense_4h_to_h, gpt_neox.layers.6.mlp.dense_h_to_4h, gpt_neox.layers.11.attention.dense, gpt_neox.layers.11.attention.query_key_value, gpt_neox.layers.11.mlp.dense_4h_to_h, gpt_neox.layers.11.mlp.dense_h_to_4h",3,0.5,0.5,rtn,wanda,whitened_svd,1016,"arc_easy,hellaswag",8,45.973122681321094,135.68217546824678,113.51503962986642,112.52702347062517,0.375,0.125,0.06537966537966539,0.2931788931788932,0.040039203974512064,0.461003861003861,0.10115830115830116,0.14414414414414414,0.44787644787644787,-0.01391304347826087,0.3634782608695652
