run,model,params,purpose,selected_layers,selected_layer_names,bits,keep_fraction,rank_fraction,q_method,s_method,r_method,eval_tokens,zero_shot_tasks,zero_shot_examples_per_task,text_source_used,text_source_detail
70M_default_4bit_6mods,EleutherAI/pythia-70m,70426624,mild compression sanity check with fewer modules; tests whether the framework is useful before aggressive degradation,6,"gpt_neox.layers.0.mlp.dense_4h_to_h, gpt_neox.layers.0.mlp.dense_h_to_4h, gpt_neox.layers.3.mlp.dense_4h_to_h, gpt_neox.layers.3.mlp.dense_h_to_4h, gpt_neox.layers.5.mlp.dense_4h_to_h, gpt_neox.layers.5.mlp.dense_h_to_4h",4,0.5,0.5,rtn,wanda,whitened_svd,1016,"arc_easy,hellaswag",8,"zero_shot_backup:arc_easy,hellaswag",arc_easy:64 rows fp=3c8375eec3653bc7; hellaswag:64 rows fp=ed539f7cf7b47812
70M_mid_3bit_12mods,EleutherAI/pythia-70m,70426624,main 70M configuration; same 12-module coverage used for stronger correlation and strategy comparisons,12,"gpt_neox.layers.0.attention.dense, gpt_neox.layers.0.attention.query_key_value, gpt_neox.layers.0.mlp.dense_4h_to_h, gpt_neox.layers.0.mlp.dense_h_to_4h, gpt_neox.layers.3.attention.dense, gpt_neox.layers.3.attention.query_key_value, gpt_neox.layers.3.mlp.dense_4h_to_h, gpt_neox.layers.3.mlp.dense_h_to_4h, gpt_neox.layers.5.attention.dense, gpt_neox.layers.5.attention.query_key_value, gpt_neox.layers.5.mlp.dense_4h_to_h, gpt_neox.layers.5.mlp.dense_h_to_4h",3,0.5,0.5,rtn,wanda,whitened_svd,1016,"arc_easy,hellaswag",8,"zero_shot_backup:arc_easy,hellaswag",arc_easy:64 rows fp=3c8375eec3653bc7; hellaswag:64 rows fp=ed539f7cf7b47812
70M_strong_2bit_12mods,EleutherAI/pythia-70m,70426624,stress test; checks whether overlap/additivity signals become clearer under larger perturbations,12,"gpt_neox.layers.0.attention.dense, gpt_neox.layers.0.attention.query_key_value, gpt_neox.layers.0.mlp.dense_4h_to_h, gpt_neox.layers.0.mlp.dense_h_to_4h, gpt_neox.layers.3.attention.dense, gpt_neox.layers.3.attention.query_key_value, gpt_neox.layers.3.mlp.dense_4h_to_h, gpt_neox.layers.3.mlp.dense_h_to_4h, gpt_neox.layers.5.attention.dense, gpt_neox.layers.5.attention.query_key_value, gpt_neox.layers.5.mlp.dense_4h_to_h, gpt_neox.layers.5.mlp.dense_h_to_4h",2,0.4,0.4,rtn,wanda,whitened_svd,1016,"arc_easy,hellaswag",8,"zero_shot_backup:arc_easy,hellaswag",arc_easy:64 rows fp=3c8375eec3653bc7; hellaswag:64 rows fp=ed539f7cf7b47812
160M_mid_3bit_12mods,EleutherAI/pythia-160m,162322944,larger-parameter validation run with the same mid configuration as 70M_mid,12,"gpt_neox.layers.0.attention.dense, gpt_neox.layers.0.attention.query_key_value, gpt_neox.layers.0.mlp.dense_4h_to_h, gpt_neox.layers.0.mlp.dense_h_to_4h, gpt_neox.layers.6.attention.dense, gpt_neox.layers.6.attention.query_key_value, gpt_neox.layers.6.mlp.dense_4h_to_h, gpt_neox.layers.6.mlp.dense_h_to_4h, gpt_neox.layers.11.attention.dense, gpt_neox.layers.11.attention.query_key_value, gpt_neox.layers.11.mlp.dense_4h_to_h, gpt_neox.layers.11.mlp.dense_h_to_4h",3,0.5,0.5,rtn,wanda,whitened_svd,1016,"arc_easy,hellaswag",8,"zero_shot_backup:arc_easy,hellaswag",arc_easy:64 rows fp=3c8375eec3653bc7; hellaswag:64 rows fp=ed539f7cf7b47812
