layer,layer_short,selected_order,selected_predicted_hessian_cost,selected_q_method,selected_r_method,selected_s_method
gpt_neox.layers.0.attention.dense,L0:dense,rqs,3.0027756690979004,rtn,whitened_svd,magnitude
gpt_neox.layers.0.attention.query_key_value,L0:query_key_value,rqs,279.181396484375,rtn,whitened_svd,magnitude
gpt_neox.layers.0.mlp.dense_4h_to_h,L0:dense_4h_to_h,rqs,6.079572677612305,rtn,whitened_svd,magnitude
gpt_neox.layers.0.mlp.dense_h_to_4h,L0:dense_h_to_4h,rqs,194.47055053710938,rtn,whitened_svd,magnitude
gpt_neox.layers.3.attention.dense,L3:dense,rqs,9.9379301071167,rtn,whitened_svd,magnitude
gpt_neox.layers.3.attention.query_key_value,L3:query_key_value,srq,31583.5,rtn,svd,magnitude
gpt_neox.layers.3.mlp.dense_4h_to_h,L3:dense_4h_to_h,srq,27.75198745727539,rtn,whitened_svd,wanda
gpt_neox.layers.3.mlp.dense_h_to_4h,L3:dense_h_to_4h,rqs,332.41766357421875,rtn,whitened_svd,magnitude
gpt_neox.layers.5.attention.dense,L5:dense,srq,134.79095458984375,rtn,whitened_svd,magnitude
gpt_neox.layers.5.attention.query_key_value,L5:query_key_value,srq,729125.25,rtn,whitened_svd,magnitude
gpt_neox.layers.5.mlp.dense_4h_to_h,L5:dense_4h_to_h,sqr,1112.70263671875,rtn,svd,wanda
gpt_neox.layers.5.mlp.dense_h_to_4h,L5:dense_h_to_4h,rqs,633.7344970703125,rtn,whitened_svd,magnitude
