family,n,spearman_rho,x,y
additivity,36,0.48416988416988416,abs_rho_h,abs_additivity_error
additivity_signed,36,0.6177606177606177,rho_h,additivity_error
real_ppl,36,0.2164736164736165,abs_rho_h,ppl_degradation_pair
real_zero_shot,36,0.04600368393063958,abs_rho_h,zero_shot_accuracy_degradation_pair
taylor,36,0.5366795366795367,taylor_predicted_loss_delta,loss_degradation_pair
frobenius_baseline,36,0.4857142857142857,frobenius_delta_sum,loss_degradation_pair
parameter_cosine_baseline,36,0.29292149292149294,abs_parameter_cosine,abs_additivity_error
activation_reconstruction_baseline,36,0.5305019305019305,activation_reconstruction_sum,loss_degradation_pair
trace_only_baseline,36,0.28957528957528955,trace_only_cost,loss_degradation_pair
order_gap,24,0.288695652173913,max_abs_conditional_hessian_overlap,abs_loss_gap
order_gap_r_first_overlap,24,-0.018260869565217393,abs_r_first_conditional_hessian_overlap,abs_loss_gap
order_gap_non_r_first_overlap,24,0.288695652173913,abs_non_r_first_conditional_hessian_overlap,abs_loss_gap
spectrum_order_entropy,24,0.4260869565217391,abs_first_spectral_entropy_delta,abs_loss_gap
spectrum_order_top1,24,0.3269565217391304,abs_first_top1_energy_delta,abs_loss_gap
spectrum_order_stable_rank,24,0.49478260869565216,abs_first_stable_rank_delta,abs_loss_gap
order_disagreement,24,0.47739130434782606,final_weight_disagreement,abs_loss_gap
