bits,hessian_self_cost,input_channel_max_over_median_before,input_channel_max_over_median_quant_basis,layer,layer_short,original_input_dim,padded_input_dim,q_method,relative_weight_error
4,0.07295079529285431,1.311644801680411,1.311644801680411,gpt_neox.layers.0.attention.dense,L0:dense,512,512,rtn,0.14639926247966867
4,0.06249544769525528,1.311644801680411,1.2656069279966362,gpt_neox.layers.0.attention.dense,L0:dense,512,512,rotated_rtn,0.13324947656686043
4,9.271773338317871,1.1821248508562279,1.1821248508562279,gpt_neox.layers.0.attention.query_key_value,L0:query_key_value,512,512,rtn,0.13779249204794802
4,10.463499069213867,1.1821248508562279,1.7771322566553631,gpt_neox.layers.0.attention.query_key_value,L0:query_key_value,512,512,rotated_rtn,0.14625298478799983
4,0.13632668554782867,1.76540590042963,1.76540590042963,gpt_neox.layers.0.mlp.dense_4h_to_h,L0:dense_4h_to_h,2048,2048,rtn,0.17018529929372003
4,0.10685031116008759,1.76540590042963,1.11483644884508,gpt_neox.layers.0.mlp.dense_4h_to_h,L0:dense_4h_to_h,2048,2048,rotated_rtn,0.15198669831622483
4,7.7716569900512695,1.498837263925374,1.498837263925374,gpt_neox.layers.0.mlp.dense_h_to_4h,L0:dense_h_to_4h,512,512,rtn,0.13247735473413408
4,8.55277156829834,1.498837263925374,1.0808106972463025,gpt_neox.layers.0.mlp.dense_h_to_4h,L0:dense_h_to_4h,512,512,rotated_rtn,0.13415742899951727
