activation_reconstruction_error,added_bits_over_q,added_scalars_over_q,all_requested_components_active,allocation_id,allocation_source,base_codes_padding_bits,base_codes_raw_bits,base_codes_stored_bits,base_scales_padding_bits,base_scales_raw_bits,base_scales_stored_bits,baseline_hessian_energy,both_s_and_l_active,cancellation_gain_ql_over_q,cancellation_gain_qs_over_q,cols,comparison_budget_bits,component_scale_labels,component_scale_multipliers,compression_ratio,folded_repair_dof,folded_zero_bit_hessian_gain,fp16_accumulation_rounding_l2,hessian_cost,hessian_cross_ql,hessian_cross_qs,hessian_cross_sl,hessian_decomposition_residual,hessian_gain_over_q,hessian_gain_per_added_bit,hessian_gain_per_added_scalar,hessian_recovery_fraction_over_q,hessian_self_l,hessian_self_q,hessian_self_s,joint_component_constraint,l_active,layer,lowrank_factors_padding_bits,lowrank_factors_raw_bits,lowrank_factors_stored_bits,lowrank_rank,lowrank_scales_padding_bits,lowrank_scales_raw_bits,lowrank_scales_stored_bits,metadata_padding_bits,metadata_raw_bits,metadata_stored_bits,normalized_hessian_cost,obs_applied,obs_continuous_cost,obs_fp16_rounding_cost_gap,obs_reason,obs_relative_stationarity_continuous,obs_relative_stationarity_stored,obs_rhs_null_residual_max,obs_stored_cost,obs_unique_support_count,payload_bits,payload_ratio,q_active,q_col_block_size,q_reference_bits,q_reference_cost,q_scale_count,rate_cap_strategy,reference_bits,repair_padding_bits,repair_raw_bits,repair_stored_bits,rho_ql,rho_ql_kind,rho_qs,rho_qs_kind,rho_sl,rho_sl_kind,rows,s_active,scale_col_block_size,scale_cost_after_continuous,scale_cost_before_continuous,scale_gram_condition,scale_gram_rank,scale_groups_per_row,scale_max_basis_stationarity,scale_multiplier_applied,scale_multiplier_continuous,scale_repair_kind,search_family,selected_within_layer_target,sparse_fraction,sparse_nnz,sparse_scales_padding_bits,sparse_scales_raw_bits,sparse_scales_stored_bits,sparse_support_padding_bits,sparse_support_raw_bits,sparse_support_stored_bits,sparse_values_padding_bits,sparse_values_raw_bits,sparse_values_stored_bits,strategy,support_encoding,target_gap,target_ratio,token_risk_p95,under_target,worst_token_risk
,,,,"rank=2,nnz=767",,,,,,,,,True,,,,4325376,,,,,,,0.10895314812660217,,,,,,,,,,,,,,gpt_neox.layers.0.mlp.dense_4h_to_h,,,,2,,,,,,,,,,,,,,,,,4325376,0.2578125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q+S+L_exact_QL_bit_cap,True,,767,,,,,,,,,,Q+S+L_QL_budget,,,0.258,,True,
,,,,"rank=3,nnz=0",,,,,,,,,False,,,,4325376,,,,,,,0.10821393877267838,,,,,,,,,,,,,,gpt_neox.layers.0.mlp.dense_4h_to_h,,,,3,,,,,,,,,,,,,,,,,4325376,0.2578125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q+S+L_exact_QL_bit_cap,False,,0,,,,,,,,,,Q+S+L_QL_budget,,,0.258,,True,
0.011516395024955273,0,0,True,,,0,4194304,4194304,0,8192,8192,25.92191505432129,,nan,nan,2048,,,,3.992202729044834,0,0.0,0.0,0.147314190864563,0.0,0.0,0.0,1.4901161193847656e-08,0.0,nan,nan,0.0,0.0,0.1473141759634018,0.0,,False,gpt_neox.layers.0.mlp.dense_4h_to_h,0,0,0,0,0,0,0,0,0,0,0.01136599595792635,,,,,,,,,,4202496,0.25048828125,True,0,4202496,0.147314190864563,512,,16777216,0,0,0,nan,inactive,nan,inactive,nan,inactive,512,False,,,,,,,,,,,selected_endpoint,True,0.0,0,0,0,0,0,0,0,0,0,0,Q,empty,-0.007511718750000007,0.258,0.01494914572685957,True,0.021777521818876266
0.011344150640070438,0,0,True,,,0,4194304,4194304,0,8192,8192,25.92191505432129,,nan,nan,2048,,,,3.992202729044834,1,0.0021917223930358887,0.0,0.1451224684715271,0.0,0.0,0.0,1.4901161193847656e-08,0.0021917223930358887,nan,nan,0.014877876871013085,0.0,0.1451224535703659,0.0,,False,gpt_neox.layers.0.mlp.dense_4h_to_h,0,0,0,0,0,0,0,0,0,0,0.011196894069547889,,,,,,,,,,4202496,0.25048828125,True,0,4202496,0.147314190864563,512,,16777216,0,0,0,nan,inactive,nan,inactive,nan,inactive,512,False,,0.14513015499887796,0.14731418945765629,,1,,0.0,0.9871138357790428,0.9871138357790428,global_folded_into_fp16_q_scales,selected_endpoint,True,0.0,0,0,0,0,0,0,0,0,0,0,Q_global_scale,empty,-0.007511718750000007,0.258,0.014306854456663132,True,0.021626127883791924
0.008010921068489552,122880,7680,True,,,0,4194304,4194304,0,131072,131072,25.92191505432129,,nan,nan,2048,,,,3.878787878787879,8192,0.0,0.0,0.10738521814346313,0.0,0.0,0.0,7.450580596923828e-09,0.039928972721099854,3.24942811857909e-07,5.199084989726544e-06,0.2710463431035613,0.0,0.10738521069288254,0.0,,False,gpt_neox.layers.0.mlp.dense_4h_to_h,0,0,0,0,0,0,0,0,0,0,0.008285284317800554,,,,,,,,,,4325376,0.2578125,True,128,4202496,0.147314190864563,8192,,16777216,0,0,0,nan,inactive,nan,inactive,nan,inactive,512,False,128,0.107382650995755,0.14731418945765629,,,16,8.484117498981955e-05,,,row_x_column_block_fp16_scales,selected_endpoint,True,0.0,0,0,0,0,0,0,0,0,0,0,Q_block_scale,empty,-0.0001875000000000071,0.258,0.012007108889520168,True,0.015703286975622177
0.010342487134039402,126016,3425,True,,,0,4194304,4194304,0,8192,8192,25.92191505432129,,nan,0.2009744350823536,2048,,,,3.8759777031922287,0,0.0,0.0,0.13273116946220398,0.0,-0.02960638329386711,0.0,2.514570951461792e-08,0.014583021402359009,1.1572357004157415e-07,4.257816467842046e-06,0.09899264501792822,0.0,0.1473141759634018,0.015023351646959782,,False,gpt_neox.layers.0.mlp.dense_4h_to_h,0,0,0,0,0,0,0,0,0,0,0.01024084595478814,,,,,,,,,,4328512,0.2579994201660156,True,0,4202496,0.147314190864563,512,,16777216,0,0,0,nan,inactive,-0.3146658952759381,repair_cancellation,nan,inactive,512,True,,,,,,,,,,,selected_endpoint,True,0.0032663345336914062,3425,0,0,0,0,71216,71216,0,54800,54800,Q+S,csr_fixed,-5.798339843821054e-07,0.258,0.013770570047199726,True,0.019854964688420296
0.00919480249285698,126016,3425,True,,,0,4194304,4194304,0,8192,8192,25.92191505432129,,nan,0.3752893930615257,2048,,,,3.8759777031922287,3425,0.0,0.00046441148151643574,0.11967287957668304,0.0,-0.05528612434864044,0.0,-3.725290298461914e-09,0.027641311287879944,2.1934763274409555e-07,8.070455850475896e-06,0.18763508882380978,0.0,0.14731597900390625,0.027643028646707535,,False,gpt_neox.layers.0.mlp.dense_4h_to_h,0,0,0,0,0,0,0,0,0,0,0.009233336296789777,True,0.11967287352662608,6.0500569692978345e-09,,4.872584040555186e-17,1.0765398986567495e-05,2.044649057737547e-15,0.11967287957668304,355,4328512,0.2579994201660156,True,0,4202496,0.147314190864563,512,,16777216,0,0,0,nan,inactive,-0.43318001352881996,repair_cancellation,nan,inactive,512,True,,,,,,,,,,,selected_endpoint,True,0.0032663345336914062,3425,0,0,0,0,71216,71216,0,54800,54800,Q+S_OBS,csr_fixed,-5.798339843821054e-07,0.258,0.012577840127050877,True,0.019630683586001396
0.008270599879324436,122880,7680,True,,,0,4194304,4194304,0,8192,8192,25.92191505432129,,0.5308309775682476,nan,2048,,,,3.878787878787879,0,0.0,0.004306585993617773,0.10821393877267838,-0.07819848507642746,0.0,0.0,3.725290298461914e-09,0.03910025209188461,3.1819866611234225e-07,5.091178657797476e-06,0.2654208115485114,0.0390990786254406,0.14731334149837494,0.0,,True,gpt_neox.layers.0.mlp.dense_4h_to_h,0,122880,122880,3,0,0,0,0,0,0,0.008349224086716438,,,,,,,,,,4325376,0.2578125,True,0,4202496,0.147314190864563,512,,16777216,0,0,0,-0.5151859872608181,repair_cancellation,nan,inactive,nan,inactive,512,False,,,,,,,,,,,selected_endpoint,True,0.0,0,0,0,0,0,0,0,0,0,0,Q+L,empty,-0.0001875000000000071,0.258,0.011268667876720428,True,0.014528975822031498
0.008398729376494884,126016,5985,True,,,0,4194304,4194304,0,8192,8192,25.92191505432129,,0.43421916677540445,0.0980239061234027,2048,,,,3.8759777031922287,0,0.0,0.0043217032216489315,0.10862985253334045,-0.06396717578172684,-0.01444043219089508,0.0013683168217539787,7.450580596923828e-09,0.038684338331222534,3.069795766507629e-07,6.463548593353807e-06,0.2625975006493974,0.0312994047999382,0.14731541275978088,0.0070543186739087105,both_S_and_L_required,True,gpt_neox.layers.0.mlp.dense_4h_to_h,0,81920,81920,2,0,0,0,0,0,0,0.008381313826983736,,,,,,,,,,4328512,0.2579994201660156,True,0,4202496,0.147314190864563,512,,16777216,0,0,0,-0.47101533625157843,repair_cancellation,-0.22397449447237136,repair_cancellation,0.04604273290237464,hessian_orthogonal,512,True,,,,,,,,,,,selected_endpoint,True,0.0008249282836914062,865,0,0,0,0,30256,30256,0,13840,13840,Q+S+L,csr_fixed,-5.798339843821054e-07,0.258,0.011183507740497589,True,0.014673614874482155
0.008420356549322605,122880,5887,True,,,0,4194304,4194304,0,8192,8192,25.92191505432129,,0.4384170956646221,0.08908721404013907,2048,4325376,,,3.878787878787879,0,0.0,0.00431695394217968,0.10895314812660217,-0.06458336114883423,-0.013123465701937675,0.001243006088770926,8.731149137020111e-09,0.038361042737960815,3.121829649899155e-07,6.5162294441924265e-06,0.2604029015319305,0.03167092427611351,0.1473103165626526,0.006435719318687916,both_S_and_L_required,True,gpt_neox.layers.0.mlp.dense_4h_to_h,0,81920,81920,2,0,0,0,0,0,0,0.008406257631682134,,,,,,,,,,4325376,0.2578125,True,0,4202496,0.147314190864563,512,per_layer_exact_Q+L_payload_bits,16777216,0,0,0,-0.4727632368972853,repair_cancellation,-0.21310979731734844,repair_cancellation,0.04353257369785677,hessian_orthogonal,512,True,,,,,,,,,,,selected_endpoint,True,0.0007314682006835938,767,0,0,0,0,28688,28688,0,12272,12272,Q+S+L_QL_budget,csr_fixed,-0.0001875000000000071,0.258,0.011269966140389442,True,0.01463017612695694
