activation_reconstruction_error,added_bits_over_q,baseline_hessian_energy,cancellation_gain_ql_over_q,cancellation_gain_qs_over_q,comparison_budget_bits,compression_ratio,folded_repair_dof,folded_zero_bit_hessian_gain,heldout_evaluated,heldout_nll,heldout_perplexity,heldout_tokens,hessian_cost,hessian_cross_ql,hessian_cross_qs,hessian_cross_sl,hessian_gain_over_q,hessian_gain_per_added_bit,hessian_recovery_fraction_over_q,hessian_self_l,hessian_self_q,hessian_self_s,layers,layers_both_s_l_active,layers_l_active,layers_s_active,lowrank_rank_sum,nll_delta,normalized_hessian_cost,paired_window_count,paired_window_nll_delta_ci95_high,paired_window_nll_delta_ci95_low,paired_window_nll_delta_mean,paired_window_nll_delta_se,payload_bits,payload_ratio,perplexity_delta,q_reference_hessian_cost,q_reference_payload_bits,q_scale_count,rate_cap_satisfied,rate_cap_strategy,reference_bits,rho_ql,rho_ql_kind,rho_qs,rho_qs_kind,rho_sl,rho_sl_kind,sparse_nnz,strategy,strict_rate_match,target_gap,target_ratio,token_risk_p95,under_target,worst_token_risk
0.010218098286781349,0,10322.612474441528,nan,nan,0,3.9805636540330416,0.0,0.0,True,4.465885012168584,86.99798975894288,2032,52.01123583316803,0.0,0.0,0.0,0.0,nan,0.0,0.0,52.011234387755394,0.0,6,0,0,0,0,0.1982585276205704,0.010077145870184753,16,0.21481743767904335,0.18169961756209854,0.19825852762057095,0.008448423499220616,25288704.0,0.251220703125,15.645910545042511,52.01123583316803,25288704,7680.0,not_applicable,,100663296.0,nan,inactive,nan,inactive,nan,inactive,0.0,Q,False,-0.006779296875000007,0.258,0.0785830169916153,True,0.09560057520866394
0.01008236211934472,0,10322.612474441528,nan,nan,0,3.9805636540330416,6.0,0.6508769392967224,True,4.461728103517547,86.63709768007466,2032,51.36035889387131,0.0,0.0,0.0,0.6508769392967224,nan,0.012514160236155212,0.0,51.360366985201836,0.0,6,0,0,0,0,0.19410161896953415,0.009951038852042151,16,0.20979488633398552,0.1784083516050834,0.19410161896953446,0.008006769063495437,25288704.0,0.251220703125,15.285018466174293,52.01123583316803,25288704,7680.0,not_applicable,,100663296.0,nan,inactive,nan,inactive,nan,inactive,0.0,Q_global_scale,False,-0.006779296875000007,0.258,0.07438690960407257,True,0.08926832675933838
0.00578146081026815,663552,10322.612474441528,nan,nan,0,3.878787878787879,49152.0,0.0,True,4.391432304081954,80.7560033379667,2032,29.763178646564484,0.0,0.0,0.0,22.248057186603546,3.3528732015883525e-05,0.4277548270140461,0.0,29.763181619346142,0.0,6,0,0,0,0,0.1238058195339411,0.005766598081688565,16,0.14363069035571965,0.10398094871216311,0.12380581953394137,0.010114730011111362,25952256.0,0.2578125,9.403924124066336,52.01123583316803,25288704,49152.0,not_applicable,,100663296.0,nan,inactive,nan,inactive,nan,inactive,0.0,Q_block_scale,True,-0.0001875000000000071,0.258,0.040262434631586075,True,0.053348101675510406
0.0068693023957916485,682368,10322.612474441528,nan,0.6390772304772351,0,3.8759777031922287,0.0,0.0,True,4.390064825223186,80.64564668307692,2032,35.11078438162804,0.0,-33.23919562622905,0.0,16.900451451539993,2.476735639939152e-05,0.3249384710978627,0.0,52.011234387755394,16.338751257397234,6,0,0,6,0,0.12243834067517323,0.006802693498096778,16,0.14117830343719348,0.10369837791315421,0.12243834067517384,0.009561205490826343,25971072.0,0.2579994201660156,9.293567469176551,52.01123583316803,25288704,7680.0,not_applicable,,100663296.0,nan,inactive,-0.5701150408550636,repair_cancellation,nan,inactive,13638.0,Q+S,True,-5.798339843821054e-07,0.258,0.057045966386795044,True,0.06794291734695435
0.005901834802355225,682368,10322.612474441528,nan,0.8375120174698031,0,3.8759777031922287,13638.0,0.0,True,4.363257310521885,78.51245781849435,2032,30.231322392821312,0.0,-43.56028814613819,0.0,21.779913440346718,3.191813426237268e-05,0.41875400750346087,0.0,52.01153802871704,21.78007060661912,6,0,0,6,0,0.0956308259738714,0.005857300652847937,16,0.11348070910863899,0.07778094283910376,0.09563082597387138,0.00910708323202429,25971072.0,0.2579994201660156,7.160378604593987,52.01123583316803,25288704,7680.0,not_applicable,,100663296.0,nan,inactive,-0.6471146894041259,repair_cancellation,nan,inactive,13638.0,Q+S_OBS,True,-5.798339843821054e-07,0.258,0.03957761824131012,True,0.051496174186468124
0.004695657243008239,614400,10322.612474441528,1.080366890007992,nan,0,3.886148007590133,0.0,0.0,True,4.358167978722279,78.1138969348132,2032,23.913059391081333,-56.193778328597546,0.0,0.0,28.098176442086697,4.5732709052875484e-05,0.540232816851628,28.093225818127394,52.013606533408165,0.0,6,0,6,0,15,0.09054149417426594,0.004633140970910094,16,0.10428253893224326,0.0768004494162896,0.09054149417426643,0.007010737121416746,25903104.0,0.25732421875,6.7618177209128305,52.01123583316803,25288704,7680.0,not_applicable,,100663296.0,-0.7350196492093274,repair_cancellation,nan,inactive,nan,inactive,0.0,Q+L,True,-0.0006757812500000071,0.258,0.04080010950565338,True,0.05333958938717842
0.00468598372364171,614400,10322.612474441528,0.8129146836535414,0.2711535417276218,25903104,3.886148007590133,0.0,0.0,True,4.355450202160933,77.9018890421454,2032,23.818515688180923,-42.282120645046234,-14.103505564853549,0.5468170434469357,28.192720144987106,4.588658877764829e-05,0.5420505722151743,20.86639964208007,52.01298671960831,6.777935144491494,6,3,6,3,12,0.08782371761291952,0.004614823184955328,16,0.1014509065703117,0.07419652865552817,0.08782371761291993,0.006952647427240694,25903104.0,0.25732421875,6.549809828245031,52.01123583316803,25288704,7680.0,True,per_layer_exact_Q+L_payload_bits,100663296.0,-0.6417222662520852,repair_cancellation,-0.37557136943528785,repair_cancellation,0.022990032320165173,hessian_orthogonal,2301.0,Q+S+L_QL_budget,True,-0.0006757812500000071,0.258,0.0435742512345314,True,0.05010075867176056
0.004651364180821257,614400,10322.612474441528,0.8112389665091654,0.2716390357441257,25903104,3.886148007590133,15.0,0.0,True,4.354050043061024,77.79289032888026,2032,23.64579626172781,-41.82367956638336,-14.004435755312443,0.545552252791822,28.36543957144022,4.616770763580765e-05,0.5453713821072355,20.64323580265045,51.555313900113106,6.729815363883972,6,3,6,3,12,0.08642355851301087,0.004581358899265874,16,0.09973994825408176,0.07310716877193953,0.08642355851301065,0.006794076398505671,25903104.0,0.25732421875,6.440811114979894,52.01123583316803,25288704,7680.0,True,per_layer_exact_Q+L_payload_bits,100663296.0,-0.6410127065302124,repair_cancellation,-0.37592164077405366,repair_cancellation,0.0231427996942481,hessian_orthogonal,2301.0,Q+S+L_QL_budget_component_scale,True,-0.0006757812500000071,0.258,0.04203472658991814,True,0.04854646697640419
0.004677892402939844,623808,10322.612474441528,0.8060637693155954,0.279599034493974,0,3.8847370721912258,0.0,0.0,True,4.355817990040216,77.93054568216778,2032,23.778744965791702,-41.925926990807056,-14.542830422520638,0.6959018893539906,28.232490867376328,4.525830202141737e-05,0.5428152285774417,20.613618426024914,52.01316395401955,6.9248148100450635,6,3,6,3,12,0.08819150549220289,0.004607117631252194,16,0.10228707887299002,0.0740959321114156,0.08819150549220281,0.0071916190718302065,25912512.0,0.2574176788330078,6.578466468267408,52.01123583316803,25288704,7680.0,not_applicable,,100663296.0,-0.6402047991391487,repair_cancellation,-0.3831406452077763,repair_cancellation,0.029123047718565095,hessian_orthogonal,2595.0,Q+S+L,True,-0.0005823211669921946,0.258,0.04321751371026039,True,0.05011587217450142
0.004711621745786541,623808,10322.612474441528,0.6725056524015558,0.4136229067010178,0,3.8847370721912258,2595.0,0.0,True,4.355527442271315,77.90790642504267,2032,23.93542095273733,-34.97910103201866,-21.51380793750286,0.339862396242097,28.0758148804307,4.500714142882217e-05,0.5398028797178955,17.318697575479746,52.01309596002102,10.75667713675648,6,3,6,3,12,0.08790095772330186,0.004637473510121726,16,0.1025697087793857,0.07323220666721841,0.08790095772330206,0.0074840566612671645,25912512.0,0.2574176788330078,6.555827211142301,52.01123583316803,25288704,7680.0,not_applicable,,100663296.0,-0.5827263832872501,repair_cancellation,-0.4547700677242405,repair_cancellation,0.012450203168410357,hessian_orthogonal,2595.0,Q+S_OBS+L,True,-0.0005823211669921946,0.258,0.0429425984621048,True,0.05053781718015671
