accuracy,layer,loss,pair,perplexity,x,x_op,y,y_op
1.0,fc2,0.0004508339954781503,qs,1.0004509356363978,-0.5,q,-0.5,s
1.0,fc2,0.0004385436821300855,qs,1.000438639856469,-0.375,q,-0.5,s
1.0,fc2,0.0004296985063200912,qs,1.000429790839948,-0.25,q,-0.5,s
1.0,fc2,0.00042411717836697267,qs,1.0004242071287734,-0.125,q,-0.5,s
1.0,fc2,0.0004217096508769797,qs,1.0004217985828925,0.0,q,-0.5,s
1.0,fc2,0.0004224533170762228,qs,1.0004225425630457,0.125,q,-0.5,s
1.0,fc2,0.0004264109518634005,qs,1.0004265018779368,0.25,q,-0.5,s
1.0,fc2,0.00043368929641863244,qs,1.0004337833532182,0.375,q,-0.5,s
1.0,fc2,0.00044453255536175884,qs,1.0004446313746005,0.5,q,-0.5,s
1.0,fc2,0.0004592130932966042,qs,1.0004593185477706,0.625,q,-0.5,s
1.0,fc2,0.00047818685524293145,qs,1.0004783012048033,0.75,q,-0.5,s
1.0,fc2,0.0005020024892498345,qs,1.0005021285135867,0.875,q,-0.5,s
1.0,fc2,0.0005313810894680198,qs,1.0005315222974098,1.0,q,-0.5,s
1.0,fc2,0.0005672574635312727,qs,1.0005674183844726,1.125,q,-0.5,s
1.0,fc2,0.0006108422761368576,qs,1.0006110288782728,1.25,q,-0.5,s
1.0,fc2,0.0006636788859089021,qs,1.0006638991694705,1.375,q,-0.5,s
1.0,fc2,0.0007277096366660082,qs,1.0007279744815631,1.5,q,-0.5,s
1.0,fc2,0.0004551489666687247,qs,1.0004552525626762,-0.5,q,-0.375,s
1.0,fc2,0.00044262378640509323,qs,1.0004427217587677,-0.375,q,-0.375,s
1.0,fc2,0.00043359738182558843,qs,1.0004336913987584,-0.25,q,-0.375,s
1.0,fc2,0.00042792071057779575,qs,1.0004280122817064,-0.125,q,-0.375,s
1.0,fc2,0.0004254508954825786,qs,1.0004255414125511,0.0,q,-0.375,s
1.0,fc2,0.0004261857385958902,qs,1.000426276568641,0.125,q,-0.375,s
1.0,fc2,0.0004301612620631319,qs,1.0004302537946863,0.25,q,-0.375,s
1.0,fc2,0.0004375044843933402,qs,1.000437600203439,0.375,q,-0.375,s
1.0,fc2,0.00044843602884551715,qs,1.000448536591313,0.5,q,-0.375,s
1.0,fc2,0.00046323672560906644,qs,1.0004633440363104,0.625,q,-0.375,s
1.0,fc2,0.0004823532850369993,qs,1.0004824696360894,0.75,q,-0.375,s
1.0,fc2,0.0005063380428970152,qs,1.0005064662536423,0.875,q,-0.375,s
1.0,fc2,0.0005359161112339106,qs,1.0005360597399295,1.0,q,-0.375,s
1.0,fc2,0.0005720196984034296,qs,1.0005721833328702,1.125,q,-0.375,s
1.0,fc2,0.0006158496993240926,qs,1.0006160393736852,1.25,q,-0.375,s
1.0,fc2,0.0006689423522149146,qs,1.0006691661440488,1.375,q,-0.375,s
1.0,fc2,0.0007332713914748217,qs,1.0007335403006654,1.5,q,-0.375,s
1.0,fc2,0.000462996858811976,qs,1.0004631040584013,-0.5,q,-0.25,s
1.0,fc2,0.0004501371407621793,qs,1.000450238467688,-0.375,q,-0.25,s
1.0,fc2,0.0004408850749011873,qs,1.0004409822790106,-0.25,q,-0.25,s
1.0,fc2,0.00043504489733766955,qs,1.0004351395430935,-0.125,q,-0.25,s
1.0,fc2,0.0004325055939653173,qs,1.0004325991379954,0.0,q,-0.25,s
1.0,fc2,0.00043322144800337134,qs,1.0004333153019676,0.125,q,-0.25,s
1.0,fc2,0.00043724440857950225,qs,1.0004373400138498,0.25,q,-0.25,s
1.0,fc2,0.0004446915564899194,qs,1.0004447904464382,0.375,q,-0.25,s
1.0,fc2,0.000455766648719028,qs,1.0004558705261188,0.5,q,-0.25,s
1.0,fc2,0.00047079149023390634,qs,1.000470902329941,0.625,q,-0.25,s
1.0,fc2,0.0004901682552687987,qs,1.0004902884073588,0.75,q,-0.25,s
1.0,fc2,0.0005144720833320489,qs,1.0005146044467925,0.875,q,-0.25,s
1.0,fc2,0.0005444227979680145,qs,1.0005445710229572,1.0,q,-0.25,s
1.0,fc2,0.0005809606490133007,qs,1.0005811294393365,1.125,q,-0.25,s
1.0,fc2,0.0006252971083873059,qs,1.0006254926473788,1.25,q,-0.25,s
1.0,fc2,0.0006789592411232461,qs,1.0006791897861227,1.375,q,-0.25,s
1.0,fc2,0.000743935358298437,qs,1.0007442121468404,1.5,q,-0.25,s
1.0,fc2,0.00047454477258226984,qs,1.0004746573867656,-0.5,q,-0.125,s
1.0,fc2,0.0004612629092355375,qs,1.0004613693073299,-0.375,q,-0.125,s
1.0,fc2,0.000451714904810368,qs,1.0004518169433516,-0.25,q,-0.125,s
1.0,fc2,0.00044567175186751526,qs,1.000445771078278,-0.125,q,-0.125,s
1.0,fc2,0.0004430293893409679,qs,1.000443127541355,0.0,q,-0.125,s
1.0,fc2,0.0004437336843907104,qs,1.0004438321487454,0.125,q,-0.125,s
1.0,fc2,0.00044781807923921746,qs,1.0004479183647246,0.25,q,-0.125,s
1.0,fc2,0.0004554217314680077,qs,1.0004555254516896,0.375,q,-0.125,s
1.0,fc2,0.0004667193392032079,qs,1.00046682826962,0.5,q,-0.125,s
1.0,fc2,0.0004820418168396705,qs,1.0004821580176668,0.625,q,-0.125,s
1.0,fc2,0.0005018145032682454,qs,1.0005019404332296,0.75,q,-0.125,s
1.0,fc2,0.0005265873524389961,qs,1.0005267260238986,0.875,q,-0.125,s
1.0,fc2,0.000557100229548213,qs,1.000557255438702,1.0,q,-0.125,s
1.0,fc2,0.0005943010080705937,qs,1.0005944776399038,1.125,q,-0.125,s
1.0,fc2,0.0006394084351715657,qs,1.0006396129003217,1.25,q,-0.125,s
1.0,fc2,0.0006939579794197036,qs,1.000694198823967,1.375,q,-0.125,s
1.0,fc2,0.0007599624930391393,qs,1.0007602513377003,1.5,q,-0.125,s
1.0,fc2,0.0004900943141767624,qs,1.000490214430017,-0.5,q,0.0,s
1.0,fc2,0.000476280507383399,qs,1.0004763939469532,-0.375,q,0.0,s
1.0,fc2,0.0004663331135834196,qs,1.0004664418637739,-0.25,q,0.0,s
1.0,fc2,0.0004600554586258378,qs,1.0004601613003687,-0.125,q,0.0,s
1.0,fc2,0.00045728389501644524,qs,1.0004573884652357,0.0,q,0.0,s
1.0,fc2,0.00045797648591451654,qs,1.0004580813731567,0.125,q,0.0,s
1.0,fc2,0.0004621530224940305,qs,1.0004622598316555,0.25,q,0.0,s
1.0,fc2,0.0004699465563671076,qs,1.00047005699855,0.375,q,0.0,s
1.0,fc2,0.0004815587712438153,qs,1.0004816747392833,0.5,q,0.0,s
1.0,fc2,0.0004972838625894782,qs,1.0004974075287076,0.625,q,0.0,s
1.0,fc2,0.0005175727043838256,qs,1.000517706668247,0.75,q,0.0,s
1.0,fc2,0.0005429738911647522,qs,1.0005431213281717,0.875,q,0.0,s
1.0,fc2,0.000574247305871222,qs,1.0005744122174205,1.0,q,0.0,s
1.0,fc2,0.0006123508581741369,qs,1.000612538383236,1.125,q,0.0,s
1.0,fc2,0.0006585049711641443,qs,1.0006587218331615,1.25,q,0.0,s
1.0,fc2,0.0007142864536575991,qs,1.0007145416169763,1.375,q,0.0,s
1.0,fc2,0.000781695254848391,qs,1.0007820008582085,1.5,q,0.0,s
1.0,fc2,0.0005099891131620826,qs,1.0005101191797197,-0.5,q,0.125,s
1.0,fc2,0.0004955301548566095,qs,1.0004956529502058,-0.375,q,0.125,s
1.0,fc2,0.00048512498185512197,qs,1.00048524267401,-0.25,q,0.125,s
1.0,fc2,0.0004785378682165245,qs,1.0004786523857285,-0.125,q,0.125,s
1.0,fc2,0.00047560490116768477,qs,1.000475718019111,0.0,q,0.125,s
1.0,fc2,0.0004762878964830436,qs,1.000476401339573,0.125,q,0.125,s
1.0,fc2,0.00048059021967547446,qs,1.0004807057216574,0.25,q,0.125,s
1.0,fc2,0.0004886304834415831,qs,1.0004887498827628,0.375,q,0.125,s
1.0,fc2,0.0005006214414784698,qs,1.000500746773306,0.5,q,0.125,s
1.0,fc2,0.0005168707387790557,qs,1.0005170043394764,0.625,q,0.125,s
1.0,fc2,0.0005378141307014708,qs,1.0005379587786511,0.75,q,0.125,s
1.0,fc2,0.0005640317367111995,qs,1.0005641908325216,0.875,q,0.125,s
1.0,fc2,0.000596271326861055,qs,1.000596449131947,1.0,q,0.125,s
1.0,fc2,0.0006355236166027035,qs,1.0006357256045235,1.125,q,0.125,s
1.0,fc2,0.0006830220504647945,qs,1.0006832553631417,1.25,q,0.125,s
1.0,fc2,0.0007403768407759282,qs,1.0007406509873622,1.375,q,0.125,s
1.0,fc2,0.0008096336967751274,qs,1.000809961538608,1.5,q,0.125,s
1.0,fc2,0.0005347157138556898,qs,1.0005348586997875,-0.5,q,0.25,s
1.0,fc2,0.0005194805983754563,qs,1.000519615551789,-0.375,q,0.25,s
1.0,fc2,0.000508517982133079,qs,1.0005086472993212,-0.25,q,0.25,s
1.0,fc2,0.0005015617846750397,qs,1.0005016875878188,-0.125,q,0.25,s
1.0,fc2,0.0004984546739671807,qs,1.0004985789231415,0.0,q,0.25,s
1.0,fc2,0.0004991207494967432,qs,1.0004992453309842,0.125,q,0.25,s
1.0,fc2,0.0005035755568363848,qs,1.0005037023722934,0.25,q,0.25,s
1.0,fc2,0.0005119246337335092,qs,1.0005120556895115,0.375,q,0.25,s
1.0,fc2,0.0005243882618862725,qs,1.000524525777447,0.5,q,0.25,s
1.0,fc2,0.0005412641958240192,qs,1.0005414107057211,0.625,q,0.25,s
1.0,fc2,0.0005630208236281476,qs,1.0005631793496017,0.75,q,0.25,s
1.0,fc2,0.0005902376590629078,qs,1.0005904118835862,0.875,q,0.25,s
1.0,fc2,0.0006236796105658513,qs,1.0006238741391333,1.0,q,0.25,s
1.0,fc2,0.0006643477610988693,qs,1.00066456848895,1.125,q,0.25,s
1.0,fc2,0.0007135345803204842,qs,1.000713789206677,1.25,q,0.25,s
1.0,fc2,0.0007728480365045351,qs,1.0007731467604994,1.375,q,0.25,s
1.0,fc2,0.0008443909080148035,qs,1.00084474750638,1.5,q,0.25,s
1.0,fc2,0.000564893696247657,qs,1.0005650532787393,-0.5,q,0.375,s
1.0,fc2,0.0005487257792343429,qs,1.0005488763567654,-0.375,q,0.375,s
1.0,fc2,0.0005370988715485577,qs,1.0005372431349742,-0.25,q,0.375,s
1.0,fc2,0.0005297077783271853,qs,1.0005298480982674,-0.125,q,0.375,s
1.0,fc2,0.0005263896775147297,qs,1.0005265282448734,0.0,q,0.375,s
1.0,fc2,0.0005270461540459712,qs,1.0005271850672737,0.125,q,0.375,s
1.0,fc2,0.0005316868661231108,qs,1.0005318282366387,0.25,q,0.375,s
